序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2011/11,松山,2.9,0.5,407.69,17.8,32,20,28.88,7.39,21.49,2.134,0.193,1.941,22.92,77.47
2,臺北市,2011/11,古亭,2.5,0.54,-,21.4,37,20,30.22,9.79,20.43,2.132,0.187,1.945,23.39,79.88
3,臺北市,2011/11,中山,2.9,0.69,-,16.8,43,27,42.22,16.23,25.99,2.27,0.276,1.994,23.7,76.91
4,臺北市,2011/11,大同,3.8,1.6,-,-,45,29,82.74,50.52,32.22,2.671,0.617,2.054,-,-
5,臺北市,2011/11,萬華,2.7,0.6,-,17.0,33,22,37.58,12.53,25.05,-,-,-,23.5,77.03
6,臺北市,2011/11,陽明,1.5,0.18,394.37,36.9,11,7,3.3,1.01,2.27,-,-,-,16.88,96.64
7,臺北市,2011/11,士林,2.3,0.41,-,29.0,32,18,19.16,5.69,13.48,-,-,-,22.98,74.49
8,新北市,2011/11,板橋,3.1,0.63,-,20.1,34,23,31.17,8.62,22.55,2.302,0.32,1.982,23.31,74.09
9,新北市,2011/11,三重,3.0,1.8,-,-,52,28,122.51,83.72,38.78,2.837,0.758,2.079,23.22,73.94
10,新北市,2011/11,菜寮,2.9,0.63,-,22.5,32,23,29.3,8.26,21.04,-,-,-,23.24,75.14
11,新北市,2011/11,永和,2.8,0.79,-,20.3,32,19,33.04,14.6,18.44,2.256,0.335,1.921,23.27,75.92
12,新北市,2011/11,新莊,3.0,0.51,-,21.7,29,20,25.84,6.21,19.62,-,-,-,23.75,78.4
13,新北市,2011/11,新店,2.1,0.37,-,25.9,23,15,16.15,3.75,12.4,-,-,-,23.04,77.55
14,新北市,2011/11,淡水,1.7,0.3,-,30.3,25,16,12.26,3.37,8.88,-,-,-,-,-
15,新北市,2011/11,汐止,3.7,0.36,-,22.8,27,17,24.76,8.03,16.74,-,-,-,23.01,84.24
16,新北市,2011/11,土城,2.8,0.53,-,22.6,31,19,24.51,7.75,16.77,2.26,0.255,2.005,23.37,79.49
17,新北市,2011/11,林口,2.3,0.3,-,29.4,30,16,15.86,3.31,12.54,-,-,-,21.63,85.59
18,新北市,2011/11,萬里,2.2,0.21,-,35.7,40,13,7.37,2.0,5.35,-,-,-,22.64,82.31
19,臺中市,2011/11,西屯,3.3,0.51,-,25.6,65,37,27.09,7.53,19.55,2.218,0.232,1.987,23.88,79.24
20,臺中市,2011/11,忠明,3.3,0.62,-,24.0,58,42,35.87,10.91,24.96,2.189,0.294,1.895,23.71,76.38
21,臺中市,2011/11,豐原,3.6,0.62,-,25.1,62,32,22.57,4.03,18.54,2.208,0.246,1.962,22.98,77.9
22,臺中市,2011/11,沙鹿,3.4,0.43,-,26.3,62,40,23.04,5.09,17.95,-,-,-,23.5,78.69
23,臺中市,2011/11,大里,3.8,0.72,431.26,20.8,70,41,33.98,8.58,25.4,2.393,0.383,2.009,23.81,71.06
24,臺南市,2011/11,新營,3.4,0.45,-,24.7,81,38,23.12,6.24,16.88,2.168,0.153,2.016,23.98,85.17
25,臺南市,2011/11,善化,3.8,0.39,430.21,26.2,65,34,20.03,4.45,15.57,-,-,-,24.08,85.57
26,臺南市,2011/11,安南,3.6,0.45,-,28.1,75,34,22.6,6.37,16.23,2.256,0.227,2.028,24.31,80.57
27,臺南市,2011/11,臺南,3.7,0.63,-,26.2,68,39,25.12,5.13,19.99,2.282,0.317,1.965,24.36,84.1
28,高雄市,2011/11,左營,5.3,0.6,-,27.4,77,42,27.73,5.45,22.27,2.268,0.271,1.997,24.72,80.1
29,高雄市,2011/11,楠梓,4.3,0.49,-,24.6,82,41,26.41,7.18,19.23,2.084,0.232,1.852,24.75,80.77
30,高雄市,2011/11,前金,5.6,0.64,-,26.4,83,47,28.54,5.55,22.99,2.271,0.268,2.002,25.11,78.02
31,高雄市,2011/11,前鎮,6.5,0.76,-,23.7,76,48,34.96,7.86,27.1,2.373,0.404,1.969,25.33,82.33
32,高雄市,2011/11,復興,7.7,1.06,-,20.3,74,39,43.94,11.75,32.19,2.669,0.577,2.092,25.18,78.39
33,高雄市,2011/11,小港,10.5,0.75,-,21.6,87,49,41.06,10.79,30.27,2.215,0.368,1.847,25.51,76.86
34,高雄市,2011/11,鳳山,7.6,0.73,-,25.7,91,49,31.73,5.94,25.8,2.329,0.395,1.934,25.07,80.77
35,高雄市,2011/11,林園,7.5,0.48,-,33.5,82,49,23.43,4.49,18.93,2.231,0.142,2.09,24.86,80.85
36,高雄市,2011/11,大寮,6.3,0.57,-,27.6,78,48,27.59,5.05,22.53,2.445,0.335,2.11,24.6,82.21
37,高雄市,2011/11,仁武,8.9,0.55,-,23.7,89,45,33.62,7.12,26.5,2.284,0.319,1.965,24.82,80.26
38,高雄市,2011/11,橋頭,4.6,0.52,-,24.7,81,46,24.31,4.48,19.82,-,-,-,25.12,82.04
39,高雄市,2011/11,美濃,1.9,0.38,-,26.8,62,32,13.31,3.62,9.69,-,-,-,24.79,84.94
40,基隆市,2011/11,基隆,1.5,0.31,-,30.9,24,15,12.45,3.45,8.99,2.042,0.146,1.896,22.56,85.73
41,新竹市,2011/11,新竹,3.3,0.46,-,25.6,42,27,24.38,6.84,17.54,2.101,0.21,1.89,22.87,76.79
42,嘉義市,2011/11,嘉義,4.5,0.56,-,22.1,85,54,25.63,5.4,20.22,2.172,0.254,1.918,24.13,77.95
43,宜蘭縣,2011/11,宜蘭,2.0,0.36,406.28,23.0,29,14,12.16,2.57,9.58,-,-,-,22.45,87.78
44,宜蘭縣,2011/11,冬山,2.2,0.37,-,20.1,27,15,19.3,6.62,12.67,-,-,-,22.15,88.01
45,桃園市,2011/11,桃園,4.6,0.52,-,23.2,40,18,25.58,7.64,17.95,2.122,0.22,1.902,22.61,73.76
46,桃園市,2011/11,中壢,5.2,0.93,-,18.8,55,23,45.2,20.15,25.06,2.6,0.477,2.123,22.32,81.87
47,桃園市,2011/11,大園,4.7,0.33,-,26.0,36,21,21.92,6.12,15.79,-,-,-,22.84,76.66
48,桃園市,2011/11,龍潭,3.2,0.44,-,22.9,45,17,21.98,6.18,15.8,-,-,-,21.94,81.55
49,桃園市,2011/11,平鎮,4.3,0.46,-,23.9,48,20,24.6,6.14,18.47,-,-,-,22.56,78.9
50,桃園市,2011/11,觀音,7.6,0.28,-,28.4,56,22,15.47,3.29,12.18,-,-,-,22.94,84.23
51,新竹縣,2011/11,竹東,1.7,0.37,-,26.3,34,19,16.07,3.66,12.4,-,-,-,23.63,74.88
52,新竹縣,2011/11,湖口,3.6,0.35,-,29.8,39,29,17.59,4.48,13.1,-,-,-,22.69,79.26
53,苗栗縣,2011/11,苗栗,3.4,0.49,-,23.1,47,31,24.24,6.7,17.54,-,-,-,23.11,79.08
54,苗栗縣,2011/11,頭份,2.7,0.39,-,26.9,43,26,21.76,5.16,16.61,2.142,0.145,1.997,23.02,77.0
55,苗栗縣,2011/11,三義,2.1,0.34,-,29.1,43,27,14.19,2.04,12.15,-,-,-,20.69,87.41
56,彰化縣,2011/11,彰化,4.3,0.6,-,21.1,63,41,28.55,5.79,22.77,2.057,0.285,1.772,23.91,74.87
57,彰化縣,2011/11,線西,5.0,0.41,-,26.9,61,32,20.33,3.87,16.46,2.102,0.152,1.95,22.92,82.56
58,彰化縣,2011/11,二林,3.8,0.34,-,27.2,72,41,16.66,4.3,12.36,-,-,-,23.19,79.41
59,南投縣,2011/11,南投,2.7,0.6,-,21.4,72,38,25.58,6.2,19.38,2.174,0.233,1.941,23.59,78.61
60,南投縣,2011/11,埔里,2.2,0.46,-,25.8,45,33,16.55,3.5,13.05,-,-,-,22.85,77.3
61,南投縣,2011/11,竹山,2.9,0.42,-,24.2,61,38,20.25,3.72,16.53,-,-,-,22.73,81.9
62,雲林縣,2011/11,斗六,3.3,0.45,-,24.9,76,47,21.93,3.9,18.04,-,-,-,23.76,76.97
63,雲林縣,2011/11,崙背,3.1,0.39,-,26.6,70,22,18.04,3.17,14.86,-,-,-,23.41,87.01
64,雲林縣,2011/11,麥寮,3.5,0.37,-,28.7,61,33,15.76,4.72,11.04,2.152,0.099,2.053,24.94,90.8
65,雲林縣,2011/11,臺西,3.4,0.29,-,34.7,49,32,12.17,2.41,9.76,2.015,0.086,1.93,23.43,84.12
66,嘉義縣,2011/11,朴子,2.9,0.38,-,28.4,77,41,16.52,2.69,13.83,-,-,-,23.77,84.03
67,嘉義縣,2011/11,新港,3.5,0.41,-,26.6,65,40,18.02,3.8,14.21,-,-,-,22.95,78.89
68,屏東縣,2011/11,屏東,3.9,0.62,-,29.4,78,41,19.2,3.4,15.8,2.247,0.227,2.02,25.04,79.46
69,屏東縣,2011/11,潮州,3.4,0.41,-,30.1,68,48,12.62,2.42,10.2,-,-,-,24.46,80.13
70,屏東縣,2011/11,恆春,1.9,0.12,395.07,33.3,18,10,4.34,2.18,2.16,-,-,-,24.03,78.98
71,臺東縣,2011/11,臺東,1.2,0.35,-,23.6,24,9,9.73,3.39,6.34,-,-,-,24.03,79.22
72,臺東縣,2011/11,關山,1.7,-,-,20.3,19,10,6.54,2.32,4.22,-,-,-,22.0,82.21
