序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/01,松山,2.5,0.6,419.68,24.0,37,33,9.68,23.2,2.08,0.171,1.912,16.31,74.81
2,臺北市,2013/01,古亭,2.7,0.64,-,23.6,49,32,9.88,22.45,2.12,0.196,1.925,16.62,75.97
3,臺北市,2013/01,中山,2.8,0.83,-,16.8,43,46,16.77,29.72,2.32,0.274,2.046,17.37,73.33
4,臺北市,2013/01,大同,3.8,1.67,-,-,54,88,52.92,35.39,2.66,0.584,2.079,-,-
5,臺北市,2013/01,萬華,3.2,0.72,-,18.1,43,39,11.45,27.65,-,-,-,17.14,74.14
6,臺北市,2013/01,陽明,1.6,0.27,406.23,41.5,15,3,0.93,2.15,-,-,-,10.75,94.98
7,臺北市,2013/01,士林,2.3,0.51,-,28.7,43,22,6.34,15.76,-,-,-,16.85,76.85
8,新北市,2013/01,板橋,4.2,0.72,-,22.2,45,34,8.99,25.3,2.25,0.287,1.96,17.09,71.35
9,新北市,2013/01,三重,4.2,1.91,-,-,69,131,88.84,41.88,2.85,0.754,2.093,16.77,71.5
10,新北市,2013/01,菜寮,3.2,0.69,-,18.2,42,32,9.39,22.53,-,-,-,16.71,73.07
11,新北市,2013/01,永和,2.6,0.91,-,21.8,41,42,17.98,23.82,2.38,0.374,2.006,17.11,79.44
12,新北市,2013/01,新莊,4.0,0.67,-,23.8,45,37,12.42,24.2,-,-,-,16.67,74.9
13,新北市,2013/01,淡水,2.3,0.46,-,31.7,36,16,4.16,11.72,-,-,-,-,-
14,新北市,2013/01,汐止,3.6,0.49,-,22.5,37,32,11.28,20.69,-,-,-,16.48,83.02
15,新北市,2013/01,土城,3.4,0.61,-,25.5,41,31,10.2,20.59,2.3,0.271,2.023,16.9,76.3
16,新北市,2013/01,林口,2.8,0.39,-,27.2,36,16,2.74,13.31,-,-,-,15.08,86.66
17,新北市,2013/01,萬里,1.9,0.3,-,42.1,51,6,1.6,4.85,-,-,-,17.19,77.85
18,臺中市,2013/01,西屯,2.5,0.5,-,27.1,67,27,8.84,17.8,2.09,0.227,1.864,17.29,74.51
19,臺中市,2013/01,忠明,3.1,0.68,-,20.5,53,36,12.87,23.19,2.14,0.227,1.909,16.92,71.25
20,臺中市,2013/01,沙鹿,2.7,0.46,-,29.5,54,19,3.97,15.37,-,-,-,15.99,77.66
21,臺中市,2013/01,大里,2.3,0.73,434.89,21.9,54,36,10.55,25.03,2.26,0.324,1.936,16.97,70.88
22,臺南市,2013/01,新營,3.3,0.52,-,25.6,98,23,4.39,18.62,2.13,0.122,2.01,17.94,77.82
23,臺南市,2013/01,善化,3.8,0.48,424.92,24.3,82,21,3.8,17.49,-,-,-,16.54,76.02
24,臺南市,2013/01,安南,3.0,0.47,-,30.4,88,20,4.06,15.91,2.08,0.16,1.923,17.32,73.27
25,臺南市,2013/01,臺南,3.4,0.62,-,27.9,84,23,3.71,19.76,2.09,0.227,1.867,17.71,76.51
26,高雄市,2013/01,左營,4.4,0.67,-,26.7,98,28,4.48,23.61,2.3,0.239,2.063,18.55,73.54
27,高雄市,2013/01,楠梓,3.8,0.57,-,24.0,107,30,5.72,24.2,2.08,0.177,1.901,18.45,74.44
28,高雄市,2013/01,前金,4.5,0.72,-,25.1,108,31,5.34,25.71,2.24,0.256,1.984,18.94,71.54
29,高雄市,2013/01,前鎮,5.0,0.8,-,23.5,97,38,7.79,30.6,2.32,0.35,1.974,19.09,69.61
30,高雄市,2013/01,復興,6.0,1.03,-,21.1,104,45,11.66,33.68,2.56,0.483,2.074,19.42,69.57
31,高雄市,2013/01,小港,8.4,0.78,-,20.6,91,51,14.86,36.08,2.28,0.354,1.929,19.94,68.49
32,高雄市,2013/01,鳳山,9.2,0.75,-,21.5,110,39,9.28,29.63,2.43,0.39,2.044,19.83,70.28
33,高雄市,2013/01,林園,10.2,0.58,-,28.1,61,36,7.09,28.63,2.29,0.262,2.029,19.12,69.84
34,高雄市,2013/01,大寮,6.3,0.63,-,25.8,89,32,4.95,26.59,2.28,0.299,1.977,19.54,73.21
35,高雄市,2013/01,仁武,7.2,0.62,-,22.5,102,37,8.54,28.17,2.29,0.287,2.003,18.64,73.67
36,高雄市,2013/01,橋頭,4.2,0.59,-,23.7,91,27,4.49,22.16,-,-,-,18.35,75.94
37,高雄市,2013/01,美濃,1.6,0.48,-,27.9,68,14,2.69,11.28,-,-,-,18.7,76.25
38,基隆市,2013/01,基隆,2.2,0.45,-,30.1,29,17,4.53,12.16,2.09,0.13,1.962,16.51,83.81
39,新竹市,2013/01,新竹,3.3,0.53,-,26.7,51,23,5.43,17.84,2.12,0.19,1.933,16.11,75.73
40,嘉義市,2013/01,嘉義,4.3,0.63,-,21.3,83,27,5.62,21.01,2.18,0.232,1.943,17.6,73.05
41,宜蘭縣,2013/01,宜蘭,2.1,0.4,407.99,27.9,35,10,1.96,8.3,-,-,-,16.47,81.52
42,宜蘭縣,2013/01,冬山,1.7,0.43,-,22.6,35,18,5.49,12.51,-,-,-,16.44,84.6
43,桃園市,2013/01,桃園,5.8,0.63,-,25.2,43,27,6.68,19.94,2.11,0.203,1.909,16.44,77.34
44,桃園市,2013/01,中壢,5.5,1.03,-,20.7,63,51,21.83,28.99,2.59,0.44,2.149,15.92,73.35
45,桃園市,2013/01,大園,5.0,0.39,-,31.8,45,22,5.16,16.54,-,-,-,16.23,79.87
46,桃園市,2013/01,龍潭,3.0,0.52,-,28.6,60,23,5.88,17.35,-,-,-,15.05,76.3
47,桃園市,2013/01,平鎮,5.0,0.53,-,26.7,57,25,5.4,19.42,-,-,-,15.77,79.37
48,桃園市,2013/01,觀音,6.6,0.37,-,29.2,61,14,2.23,11.99,-,-,-,15.68,80.46
49,新竹縣,2013/01,竹東,2.4,0.46,-,28.5,38,17,3.68,13.23,-,-,-,16.02,77.94
50,新竹縣,2013/01,湖口,3.5,0.42,-,32.5,47,18,4.33,13.47,-,-,-,15.76,80.78
