序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/03,松山,9.6,1.63,12.4,90.0,84,38,45.6,-,-,-,17.08,-,-
2,臺北市,1995/03,古亭,7.5,1.69,13.4,96.0,77,35,42.16,3.01,0.73,2.3,17.33,-,-
3,臺北市,1995/03,中山,10.0,1.84,12.3,92.0,85,40,44.63,3.14,0.8,2.37,17.16,-,-
4,臺北市,1995/03,大同,13.6,4.66,-,111.0,231,170,60.79,5.04,2.35,2.69,17.81,-,-
5,臺北市,1995/03,萬華,9.6,1.65,13.8,84.0,66,25,41.24,-,-,-,17.1,-,-
6,臺北市,1995/03,陽明,2.6,0.3,46.7,21.0,4,0,3.98,-,-,-,11.92,-,-
7,臺北市,1995/03,士林,7.0,1.08,20.4,80.0,55,20,34.78,-,-,-,17.06,-,-
8,新北市,1995/03,板橋,15.7,1.56,15.0,98.0,73,27,46.16,3.22,0.85,2.37,17.14,-,-
9,新北市,1995/03,菜寮,11.3,1.77,11.7,99.0,74,33,41.47,-,-,-,17.16,-,-
10,新北市,1995/03,新莊,18.2,1.32,16.2,90.0,61,23,38.03,3.17,0.73,2.44,16.72,-,-
11,新北市,1995/03,新店,5.7,1.14,15.6,66.0,46,14,31.79,-,-,-,17.11,-,-
12,新北市,1995/03,淡水,5.5,1.03,18.3,76.0,38,12,25.33,-,-,-,16.34,-,-
13,新北市,1995/03,汐止,10.8,1.27,12.9,98.0,90,46,43.71,-,-,-,16.29,-,-
14,新北市,1995/03,土城,12.8,1.17,15.7,85.0,60,22,37.89,-,-,-,17.07,-,-
15,新北市,1995/03,林口,8.2,0.67,45.4,66.0,25,9,15.81,-,-,-,14.9,-,-
16,新北市,1995/03,萬里,3.4,0.44,34.9,61.0,14,2,11.85,2.17,0.13,2.04,16.14,-,-
17,臺中市,1995/03,西屯,4.8,0.82,18.2,67.0,45,17,28.35,2.43,0.39,2.05,17.91,-,-
18,臺中市,1995/03,忠明,5.7,1.34,15.5,99.0,64,27,37.83,-,-,-,18.01,-,-
19,臺中市,1995/03,豐原,8.2,1.21,15.2,85.0,57,21,36.47,-,-,-,17.08,-,-
20,臺中市,1995/03,沙鹿,8.6,0.64,20.6,85.0,35,8,26.81,-,-,-,17.29,-,-
21,臺中市,1995/03,大里,6.3,1.18,14.2,100.0,56,21,34.71,-,-,-,18.82,-,-
22,臺南市,1995/03,新營,6.8,0.69,16.3,104.0,37,10,27.24,-,-,-,19.13,-,-
23,臺南市,1995/03,善化,8.3,0.64,26.4,97.0,32,8,23.73,-,-,-,19.51,-,-
24,臺南市,1995/03,安南,7.8,0.61,17.2,108.0,38,11,26.88,-,-,-,19.64,-,-
25,臺南市,1995/03,臺南,9.3,1.09,16.2,132.0,47,15,31.27,3.03,0.88,2.15,20.3,-,-
26,高雄市,1995/03,左營,11.6,0.95,20.4,100.0,47,15,32.22,3.16,0.4,2.76,22.38,-,-
27,高雄市,1995/03,楠梓,9.6,0.66,12.9,95.0,55,18,37.58,2.14,0.32,1.82,21.36,-,-
28,高雄市,1995/03,前金,13.8,1.12,20.1,112.0,50,15,34.73,-,-,-,20.99,-,-
29,高雄市,1995/03,前鎮,21.4,-,-,109.0,73,27,46.34,2.55,0.59,1.95,21.3,-,-
30,高雄市,1995/03,小港,26.5,1.3,14.6,110.0,69,30,39.14,2.64,0.63,2.01,22.63,-,-
31,高雄市,1995/03,鳳山,25.7,1.22,17.3,137.0,66,25,41.01,-,-,-,21.04,-,-
32,高雄市,1995/03,林園,21.6,0.82,22.6,125.0,44,12,31.84,3.04,0.45,2.59,20.41,-,-
33,高雄市,1995/03,大寮,17.8,0.85,17.0,142.0,47,13,34.48,-,-,-,23.45,-,-
34,高雄市,1995/03,仁武,25.3,0.87,13.9,116.0,62,25,37.6,2.77,0.58,2.21,20.61,-,-
35,高雄市,1995/03,橋頭,9.6,0.79,15.6,108.0,43,15,28.02,2.87,0.41,2.46,20.77,-,-
36,高雄市,1995/03,美濃,4.2,0.67,28.0,118.0,29,4,24.25,-,-,-,20.74,-,-
37,基隆市,1995/03,基隆,14.0,1.2,19.1,83.0,64,27,36.43,2.96,0.61,2.35,16.45,-,-
38,新竹市,1995/03,新竹,7.4,0.97,18.2,70.0,44,17,27.45,3.16,0.54,2.61,-,-,-
39,嘉義市,1995/03,嘉義,8.2,1.1,17.7,87.0,60,19,39.87,2.8,0.5,2.3,18.95,-,-
40,宜蘭縣,1995/03,宜蘭,4.5,0.78,25.0,62.0,28,5,21.51,-,-,-,17.67,-,-
41,宜蘭縣,1995/03,冬山,3.2,-,-,62.0,28,8,19.76,2.23,0.21,2.01,17.38,-,-
42,桃園市,1995/03,桃園,18.5,1.21,16.0,89.0,-,-,-,3.03,0.66,2.4,16.51,-,-
43,桃園市,1995/03,大園,6.2,0.57,32.4,62.0,28,9,18.79,-,-,-,15.98,-,-
44,桃園市,1995/03,龍潭,8.7,0.83,20.6,80.0,38,12,25.82,-,-,-,15.0,-,-
45,桃園市,1995/03,平鎮,10.4,1.03,17.1,78.0,44,16,28.33,3.06,0.77,2.28,15.37,-,-
46,桃園市,1995/03,觀音,10.2,0.33,33.4,67.0,19,3,15.49,2.58,0.48,2.1,15.52,-,-
47,新竹縣,1995/03,竹東,4.2,0.71,19.1,87.0,41,13,27.63,-,-,-,16.09,-,-
48,新竹縣,1995/03,湖口,6.8,0.69,23.2,69.0,34,11,22.52,-,-,-,16.0,-,-
49,苗栗縣,1995/03,苗栗,6.4,0.79,19.8,72.0,45,16,29.23,-,-,-,16.41,-,-
50,苗栗縣,1995/03,頭份,26.0,-,-,77.0,54,27,26.49,2.83,0.51,2.32,16.33,-,-
51,苗栗縣,1995/03,三義,3.3,0.52,20.7,56.0,30,8,22.42,3.07,1.28,1.79,14.89,-,-
52,彰化縣,1995/03,彰化,4.7,1.14,-,100.0,61,27,34.36,2.86,0.54,2.41,18.06,-,-
53,彰化縣,1995/03,線西,7.2,-,-,79.0,36,9,27.21,1.85,0.13,1.72,17.16,-,-
54,彰化縣,1995/03,二林,7.0,0.53,24.4,92.0,30,5,24.88,-,-,-,17.7,-,-
55,南投縣,1995/03,南投,3.5,1.02,16.7,89.0,49,15,33.25,-,-,-,18.58,-,-
56,雲林縣,1995/03,斗六,5.8,0.93,14.6,108.0,51,19,31.13,-,-,-,18.28,-,-
57,雲林縣,1995/03,崙背,6.7,0.56,21.0,117.0,36,8,28.2,-,-,-,17.64,-,-
58,雲林縣,1995/03,臺西,3.4,0.38,33.3,97.0,11,1,9.83,-,-,-,17.67,-,-
59,嘉義縣,1995/03,朴子,5.3,0.52,25.8,62.0,25,4,21.34,-,-,-,18.43,-,-
60,嘉義縣,1995/03,新港,5.9,0.53,22.0,107.0,30,6,24.03,-,-,-,18.21,-,-
61,屏東縣,1995/03,屏東,8.2,0.92,22.6,122.0,44,8,36.75,-,-,-,22.14,-,-
62,屏東縣,1995/03,潮州,7.2,0.65,19.8,117.0,40,10,30.01,-,-,-,22.37,-,-
