序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/08,松山,2.8,1.04,13.4,36.0,-,41,17.68,23.13,-,-,-,28.97,-,-
2,臺北市,1997/08,古亭,3.1,1.16,12.2,41.0,25,46,23.63,21.9,2.27,0.33,1.95,29.08,-,-
3,臺北市,1997/08,中山,4.5,1.25,12.3,47.0,-,50,22.99,27.49,2.64,0.42,2.22,29.38,-,-
4,臺北市,1997/08,大同,7.8,3.57,-,41.0,-,134,101.23,32.72,3.97,1.51,2.46,30.04,-,-
5,臺北市,1997/08,萬華,3.3,0.92,15.7,-,-,27,7.46,19.81,-,-,-,29.05,-,-
6,臺北市,1997/08,陽明,1.9,0.26,17.1,17.0,-,-,-,-,-,-,-,22.77,-,-
7,臺北市,1997/08,士林,3.1,0.85,13.5,38.0,-,34,14.5,19.22,-,-,-,28.48,-,-
8,新北市,1997/08,板橋,8.2,0.95,14.9,53.0,-,42,16.23,25.93,2.81,0.58,2.23,29.5,-,-
9,新北市,1997/08,三重,7.3,2.92,-,72.0,46,135,101.29,33.75,-,-,-,29.94,-,-
10,新北市,1997/08,菜寮,5.3,1.33,9.0,55.0,-,46,20.76,25.34,-,-,-,28.88,-,-
11,新北市,1997/08,永和,6.4,2.16,-,52.0,-,74,49.53,24.64,3.33,0.86,2.47,31.98,-,-
12,新北市,1997/08,新莊,8.9,0.83,14.8,42.0,-,40,17.7,21.88,2.53,0.46,2.07,29.25,-,-
13,新北市,1997/08,新店,1.9,0.65,18.4,30.0,-,18,3.72,13.89,-,-,-,28.33,-,-
14,新北市,1997/08,淡水,2.4,0.76,13.5,42.0,-,22,6.72,15.45,-,-,-,29.05,-,-
15,新北市,1997/08,汐止,3.1,0.81,13.8,46.0,-,40,18.24,21.29,-,-,-,28.47,-,-
16,新北市,1997/08,土城,5.5,0.78,15.5,46.0,-,33,13.51,19.41,-,-,-,28.8,-,-
17,新北市,1997/08,林口,5.5,0.54,20.2,57.0,-,26,8.02,18.34,-,-,-,26.87,-,-
18,新北市,1997/08,萬里,1.4,0.38,15.9,27.0,-,10,3.9,7.26,1.95,0.07,1.88,28.2,-,-
19,臺中市,1997/08,西屯,2.9,0.55,16.6,-,-,27,8.33,18.69,2.26,0.19,2.07,27.87,-,-
20,臺中市,1997/08,忠明,3.2,0.98,17.2,47.0,32,32,9.71,22.77,-,-,-,27.7,-,-
21,臺中市,1997/08,豐原,3.1,0.68,18.8,48.0,-,21,3.31,17.47,-,-,-,27.24,-,-
22,臺中市,1997/08,沙鹿,3.3,0.48,19.4,37.0,-,17,2.23,14.34,-,-,-,28.28,-,-
23,臺中市,1997/08,大里,0.4,0.65,18.0,55.0,-,21,5.49,15.52,-,-,-,28.43,-,-
24,臺南市,1997/08,新營,2.4,0.54,19.9,33.0,-,11,1.32,10.16,2.31,0.11,2.2,28.72,-,-
25,臺南市,1997/08,善化,4.5,0.34,19.4,30.0,-,11,2.29,8.32,-,-,-,27.78,-,-
26,臺南市,1997/08,安南,4.5,0.53,23.8,41.0,-,18,3.98,13.53,-,-,-,28.14,-,-
27,臺南市,1997/08,臺南,5.0,0.61,17.2,40.0,-,20,5.03,14.61,2.33,0.22,2.11,27.77,-,-
28,高雄市,1997/08,左營,6.6,0.68,18.8,35.0,-,-,-,-,2.37,0.37,2.01,28.3,-,-
29,高雄市,1997/08,楠梓,4.8,0.5,16.3,45.0,-,28,9.98,18.26,2.75,0.36,2.38,28.14,-,-
30,高雄市,1997/08,前金,7.2,0.77,15.8,52.0,-,26,9.38,16.17,-,-,-,28.15,-,-
31,高雄市,1997/08,前鎮,15.2,-,-,46.0,-,35,13.03,21.6,2.6,0.52,2.08,28.45,-,-
32,高雄市,1997/08,復興,8.8,1.0,-,50.0,-,36,16.04,20.44,2.63,0.6,2.02,28.1,-,-
33,高雄市,1997/08,小港,13.3,0.87,13.6,47.0,-,33,13.53,19.21,2.34,0.24,2.1,28.3,-,-
34,高雄市,1997/08,鳳山,4.2,0.77,14.7,47.0,29,29,8.65,20.07,-,-,-,28.35,-,-
35,高雄市,1997/08,林園,3.2,0.38,19.5,53.0,-,9,1.84,7.42,2.18,0.21,1.96,27.84,-,-
36,高雄市,1997/08,大寮,5.3,0.54,16.1,43.0,-,-,-,-,2.41,0.17,2.24,28.52,-,-
37,高雄市,1997/08,仁武,4.4,0.49,16.6,50.0,-,24,8.58,15.33,2.48,0.23,2.25,28.07,-,-
38,高雄市,1997/08,橋頭,5.1,0.52,18.2,42.0,-,20,5.99,14.35,2.39,0.16,2.23,26.85,-,-
39,高雄市,1997/08,美濃,1.0,0.41,19.7,42.0,-,9,1.09,7.5,-,-,-,27.66,-,-
40,基隆市,1997/08,基隆,4.0,0.67,18.3,58.0,-,24,8.31,15.43,2.4,0.32,2.07,28.7,-,-
41,新竹市,1997/08,新竹,3.2,0.76,16.0,37.0,-,24,8.15,15.72,-,-,-,29.87,-,-
42,嘉義市,1997/08,嘉義,2.2,0.6,21.5,42.0,-,-,-,-,2.57,0.24,2.33,28.1,-,-
43,宜蘭縣,1997/08,宜蘭,1.3,0.52,17.3,37.0,-,14,3.15,10.91,-,-,-,28.38,-,-
44,宜蘭縣,1997/08,冬山,2.1,0.55,10.7,36.0,-,21,8.86,12.18,2.1,0.09,2.01,28.72,-,-
45,桃園市,1997/08,桃園,12.8,0.74,15.7,48.0,-,33,9.63,23.38,2.63,0.34,2.26,28.52,-,-
46,桃園市,1997/08,中壢,5.3,1.67,-,49.0,-,64,37.76,25.83,-,-,-,26.8,-,-
47,桃園市,1997/08,大園,5.2,0.44,21.0,39.0,-,21,6.69,14.19,-,-,-,28.47,-,-
48,桃園市,1997/08,龍潭,3.8,0.53,15.5,39.0,-,21,5.34,15.39,-,-,-,27.09,-,-
49,桃園市,1997/08,平鎮,5.7,0.63,16.5,43.0,-,27,7.79,18.93,2.16,0.18,1.97,28.81,-,-
50,桃園市,1997/08,觀音,5.3,0.39,21.4,48.0,-,13,3.01,10.23,2.49,0.11,2.38,28.34,-,-
51,新竹縣,1997/08,竹東,1.3,0.55,15.5,39.0,-,17,4.94,12.42,-,-,-,27.85,-,-
