序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2006/11,松山,6.3,0.71,413.04,25.3,51,34,42.73,12.71,30.03,2.371,0.279,2.092,22.64,-,-,78.32,-
2,臺北市,2006/11,古亭,4.9,0.76,-,24.6,55,37,39.16,11.89,27.27,2.139,0.235,1.904,22.48,-,-,76.19,-
3,臺北市,2006/11,中山,5.8,0.94,-,18.0,56,35,52.47,17.96,34.52,2.353,0.282,2.072,22.75,-,-,68.77,-
4,臺北市,2006/11,萬華,5.5,0.86,-,24.6,51,-,37.34,9.27,28.07,-,-,-,23.75,-,-,76.51,-
5,臺北市,2006/11,陽明,2.9,0.28,392.06,27.0,30,21,4.0,1.17,2.83,-,-,-,16.04,-,-,-,-
6,臺北市,2006/11,士林,4.3,0.53,-,33.7,57,29,23.69,5.0,18.68,-,-,-,23.08,-,-,72.13,-
7,新北市,2006/11,板橋,6.4,0.85,-,27.5,52,33,36.23,8.3,27.93,2.544,0.405,2.139,22.78,-,-,76.9,-
8,新北市,2006/11,三重,6.2,1.96,-,-,72,38,118.78,72.71,46.07,3.118,0.945,2.173,23.18,-,-,66.81,-
9,新北市,2006/11,菜寮,5.8,0.89,-,22.1,54,29,40.79,11.48,29.3,-,-,-,23.65,-,-,68.87,-
10,新北市,2006/11,永和,5.6,1.27,-,22.7,52,33,48.99,19.52,29.47,-,-,-,21.84,-,-,71.16,-
11,新北市,2006/11,新莊,6.4,0.82,-,29.2,53,32,35.06,8.63,26.42,-,-,-,22.44,-,-,70.49,-
12,新北市,2006/11,新店,3.5,0.54,-,27.1,43,25,21.07,3.83,17.23,-,-,-,22.45,-,-,76.3,-
13,新北市,2006/11,淡水,3.4,0.57,-,36.1,47,26,21.08,4.75,16.32,-,-,-,-,-,-,-,-
14,新北市,2006/11,汐止,6.7,0.57,-,24.8,50,27,33.82,10.65,23.17,-,-,-,22.1,-,-,74.64,-
15,新北市,2006/11,土城,4.4,0.67,-,27.8,53,30,35.52,11.17,24.34,2.239,0.355,1.884,22.66,-,-,75.51,-
16,新北市,2006/11,林口,4.7,0.53,-,32.1,62,31,26.25,4.29,21.95,-,-,-,20.61,-,-,81.96,-
17,新北市,2006/11,萬里,3.0,0.3,-,44.4,60,27,8.82,1.43,7.37,-,-,-,21.94,-,-,76.89,-
18,臺中市,2006/11,西屯,4.1,0.63,-,30.4,72,41,31.78,9.1,22.67,2.393,0.393,2.0,23.83,-,-,75.5,-
19,臺中市,2006/11,忠明,3.5,0.89,-,23.8,68,40,42.55,13.31,29.24,2.522,0.502,2.02,23.25,-,-,69.69,-
20,臺中市,2006/11,豐原,3.8,0.71,-,23.7,60,35,27.28,5.61,21.66,2.191,0.288,1.903,22.07,-,-,71.88,-
21,臺中市,2006/11,沙鹿,3.6,0.54,-,33.2,66,39,24.25,4.49,19.75,-,-,-,23.08,-,-,73.3,-
22,臺中市,2006/11,大里,4.4,0.91,419.28,22.5,73,45,37.29,11.45,25.84,-,-,-,22.37,-,-,70.57,-
23,臺南市,2006/11,新營,4.5,0.53,-,30.4,96,42,25.57,5.64,19.93,2.294,0.178,2.117,23.66,-,-,73.9,-
24,臺南市,2006/11,善化,5.8,0.43,436.41,30.4,91,62,27.18,6.1,21.08,-,-,-,24.07,-,-,76.64,-
25,臺南市,2006/11,安南,5.6,0.52,-,33.6,84,49,26.28,6.18,20.1,2.336,0.25,2.086,24.11,-,-,67.61,-
26,臺南市,2006/11,臺南,5.9,0.68,-,38.5,85,49,28.52,3.68,24.83,2.183,0.277,1.906,24.28,-,-,67.31,-
27,高雄市,2006/11,左營,7.8,0.73,-,32.0,84,53,33.02,5.7,27.33,2.162,0.336,1.826,25.28,-,-,68.48,-
28,高雄市,2006/11,楠梓,5.7,0.63,-,34.1,85,58,29.53,5.87,23.65,2.286,0.228,2.058,25.14,-,-,67.76,-
29,高雄市,2006/11,前金,10.0,0.79,-,40.0,97,56,34.99,8.64,26.35,2.465,0.335,2.13,26.53,-,-,68.64,-
30,高雄市,2006/11,前鎮,11.2,0.88,-,27.4,98,61,42.9,9.37,33.53,-,-,-,25.76,-,-,71.13,-
31,高雄市,2006/11,復興,10.7,1.32,-,30.5,91,55,59.81,15.5,44.31,-,-,-,25.71,-,-,73.79,-
32,高雄市,2006/11,小港,13.9,0.75,-,25.2,87,61,47.2,11.91,35.3,2.145,0.429,1.716,26.52,-,-,66.47,-
33,高雄市,2006/11,鳳山,10.3,0.79,-,36.8,86,50,33.62,5.63,27.98,2.171,0.389,1.783,26.64,-,-,71.55,-
34,高雄市,2006/11,林園,10.0,0.55,-,42.9,95,52,27.08,5.69,21.4,3.011,0.5,2.511,25.47,-,-,70.82,-
35,高雄市,2006/11,大寮,9.5,0.65,-,33.8,110,60,31.41,5.01,26.4,-,-,-,25.52,-,-,70.54,-
36,高雄市,2006/11,仁武,11.6,0.73,-,22.6,83,55,39.81,9.36,30.45,2.39,0.374,2.017,25.98,-,-,67.77,-
37,高雄市,2006/11,橋頭,6.0,0.57,-,30.4,92,63,29.18,4.49,24.69,-,-,-,25.47,-,-,73.57,-
38,高雄市,2006/11,美濃,3.5,0.43,-,41.8,71,47,13.99,2.51,11.48,-,-,-,24.94,-,-,74.58,-
39,基隆市,2006/11,基隆,4.6,0.55,-,33.4,39,26,21.86,5.59,16.26,2.183,0.138,2.045,22.35,-,-,76.05,-
40,新竹市,2006/11,新竹,5.3,0.66,-,28.5,62,36,31.85,7.23,24.61,2.39,0.257,2.133,22.94,-,-,69.48,-
41,嘉義市,2006/11,嘉義,5.1,0.67,-,26.3,88,51,29.82,6.29,23.53,2.374,0.236,2.138,23.54,-,-,70.23,-
42,宜蘭縣,2006/11,宜蘭,2.9,0.56,400.34,26.0,42,25,15.95,2.2,13.74,-,-,-,21.66,-,-,79.1,-
43,宜蘭縣,2006/11,冬山,3.0,0.56,-,22.0,47,24,22.35,6.15,16.19,-,-,-,21.98,-,-,80.42,-
44,桃園市,2006/11,桃園,12.2,0.77,-,26.4,61,35,35.8,8.55,27.25,2.389,0.392,1.998,23.78,-,-,72.86,-
45,桃園市,2006/11,中壢,8.1,1.05,-,17.7,68,36,49.77,18.43,31.34,2.716,0.563,2.153,21.97,-,-,72.13,-
46,桃園市,2006/11,大園,5.5,0.5,-,33.7,57,34,29.19,7.76,21.43,-,-,-,22.08,-,-,77.26,-
47,桃園市,2006/11,龍潭,3.1,0.54,-,30.4,57,25,26.14,5.39,20.75,-,-,-,20.79,-,-,74.25,-
