序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2005/07,松山,6.1,0.61,401.81,30.2,60,38,36.28,11.97,24.31,-,-,-,30.17,-,-,68.18,-
2,臺北市,2005/07,古亭,4.8,0.74,-,24.5,57,37,38.38,12.81,25.57,2.399,0.325,2.074,29.36,-,-,72.18,-
3,臺北市,2005/07,中山,6.1,0.86,-,18.6,55,38,46.73,17.73,28.99,2.255,0.629,1.626,30.04,-,-,66.95,-
4,臺北市,2005/07,大同,5.9,0.93,-,17.5,59,40,57.57,27.19,30.39,-,-,-,30.32,-,-,-,-
5,臺北市,2005/07,萬華,4.6,0.65,-,26.7,50,-,28.04,7.14,20.89,-,-,-,31.17,-,-,68.65,-
6,臺北市,2005/07,陽明,3.2,0.19,379.94,40.3,30,25,7.21,1.65,5.55,-,-,-,23.04,-,-,-,-
7,臺北市,2005/07,士林,4.6,0.48,-,24.7,51,33,24.94,5.93,19.02,-,-,-,30.15,-,-,70.12,-
8,新北市,2005/07,板橋,7.2,0.63,-,26.7,55,33,32.48,10.04,22.44,2.365,0.402,1.962,29.99,-,-,68.54,-
9,新北市,2005/07,三重,7.3,1.76,-,12.1,69,44,115.96,76.84,39.12,-,-,-,30.31,-,-,-,-
10,新北市,2005/07,菜寮,6.4,0.71,-,23.5,51,29,36.54,12.29,24.26,-,-,-,30.7,-,-,67.12,-
11,新北市,2005/07,永和,6.0,1.23,-,18.5,51,33,53.63,25.59,28.04,-,-,-,31.13,-,-,68.2,-
12,新北市,2005/07,新莊,10.8,0.57,-,27.7,56,36,32.07,10.1,21.97,-,-,-,29.74,-,-,73.57,-
13,新北市,2005/07,新店,4.2,0.41,-,32.1,43,32,18.51,3.85,14.65,-,-,-,29.23,-,-,70.53,-
14,新北市,2005/07,淡水,3.6,0.43,-,21.7,49,26,20.79,5.23,15.55,-,-,-,-,-,-,-,-
15,新北市,2005/07,汐止,7.2,0.47,-,29.6,48,32,29.83,9.75,20.07,-,-,-,29.39,-,-,72.19,-
16,新北市,2005/07,土城,5.2,0.57,-,27.4,56,34,37.23,13.5,23.73,-,-,-,30.2,-,-,69.41,-
17,新北市,2005/07,林口,6.4,0.24,-,25.0,51,35,24.98,5.86,19.11,-,-,-,27.8,-,-,73.54,-
18,新北市,2005/07,萬里,3.8,0.23,-,32.6,36,27,11.02,1.74,9.26,-,-,-,27.7,-,-,77.78,-
19,臺中市,2005/07,西屯,3.3,0.33,-,25.3,61,37,16.63,4.54,12.08,-,-,-,29.73,-,-,69.59,-
20,臺中市,2005/07,忠明,4.0,0.5,-,24.0,57,36,22.21,5.61,16.6,-,-,-,29.23,-,-,67.49,-
21,臺中市,2005/07,豐原,3.3,0.44,-,27.3,52,35,16.47,3.03,13.44,2.004,0.249,1.756,28.15,-,-,73.51,-
22,臺中市,2005/07,沙鹿,5.4,0.32,-,26.8,49,29,17.23,3.9,13.33,-,-,-,29.57,-,-,73.3,-
23,臺中市,2005/07,大里,4.1,0.38,396.97,28.1,66,41,18.4,3.42,14.98,-,-,-,30.84,-,-,69.58,-
24,臺南市,2005/07,新營,2.1,0.27,-,30.0,52,24,10.64,2.45,8.18,2.214,0.178,2.036,28.68,-,-,74.53,-
25,臺南市,2005/07,善化,4.7,0.18,410.76,25.1,47,24,11.99,2.62,9.36,-,-,-,28.89,-,-,77.15,-
26,臺南市,2005/07,安南,5.0,0.3,-,23.9,51,28,13.33,3.26,10.06,-,-,-,29.49,-,-,70.15,-
27,臺南市,2005/07,臺南,5.5,0.35,-,24.5,45,24,16.18,4.89,11.29,2.007,0.226,1.781,28.98,-,-,70.74,-
28,高雄市,2005/07,左營,6.9,0.39,-,23.3,52,32,22.1,5.89,16.21,-,-,-,30.06,-,-,73.88,-
29,高雄市,2005/07,楠梓,9.0,0.38,-,20.6,52,29,22.24,7.15,15.1,1.966,0.24,1.726,29.78,-,-,69.65,-
30,高雄市,2005/07,前金,7.0,0.45,-,26.5,51,32,22.72,5.95,16.77,-,-,-,29.81,-,-,74.32,-
31,高雄市,2005/07,前鎮,13.9,0.34,-,18.3,50,28,24.85,8.04,16.81,-,-,-,29.49,-,-,69.45,-
32,高雄市,2005/07,復興,9.7,0.55,-,16.5,42,23,26.82,7.83,18.98,-,-,-,29.55,-,-,71.29,-
33,高雄市,2005/07,小港,12.9,0.4,-,18.7,57,35,25.21,8.26,16.95,2.035,0.342,1.693,30.14,-,-,72.0,-
34,高雄市,2005/07,鳳山,5.2,0.57,-,22.8,56,30,22.98,6.05,16.94,-,-,-,29.81,-,-,74.88,-
35,高雄市,2005/07,林園,4.4,0.25,-,26.8,54,28,11.64,3.82,7.82,2.03,0.282,1.748,29.02,-,-,74.73,-
