序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppmC),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),大氣溫度
AMB_TEMP
(℃),降雨量
RAINFALL
(mm),酸雨pH值
56,彰化縣,1996/12,彰化,7.8,1.03,16.5,-,56.35,22.61,33.74,2.556,0.76,1.8,18.03,-,-
57,彰化縣,1996/12,線西,7.8,-,-,76,33.6,8.34,25.26,2.211,0.15,2.06,17.77,-,-
58,彰化縣,1996/12,二林,8.1,0.49,25.5,97,27.94,5.91,21.95,-,-,-,17.51,-,-
59,南投縣,1996/12,南投,4,0.91,20,103,42.53,12.48,30.05,-,-,-,17.94,-,-
60,南投縣,1996/12,竹山,5.1,-,16.1,145,36.59,7.05,29.54,-,-,-,16.32,-,-
61,雲林縣,1996/12,斗六,7,0.93,17.9,113,42.25,13.11,29.14,-,-,-,18.02,-,-
62,雲林縣,1996/12,崙背,-,-,-,-,-,-,-,-,-,-,-,-,-
63,雲林縣,1996/12,臺西,4,0.38,33.6,92,18.66,2.72,15.95,-,-,-,17.48,-,-
64,嘉義縣,1996/12,朴子,6.7,0.47,17.9,92,28.72,5.48,23.32,-,-,-,17.77,-,-
65,嘉義縣,1996/12,新港,5.3,0.56,22.8,115,33.02,8.89,24.17,-,-,-,17.58,-,-
66,屏東縣,1996/12,屏東,6.9,0.96,30.4,148,35.07,4.39,30.68,2.958,0.45,2.51,20.64,-,-
67,屏東縣,1996/12,潮州,6.9,0.78,36.8,143,33.92,5.54,28.15,-,-,-,19.56,-,-
68,屏東縣,1996/12,恆春,0.1,0.22,45.3,23,0.75,0.02,0.73,-,-,-,20.49,-,-
69,臺東縣,1996/12,臺東,0.5,0.55,27.2,37,11.07,2.23,8.84,2.224,0.15,2.07,19.69,-,-
70,花蓮縣,1996/12,花蓮,0.6,0.75,16.5,47,25.1,7.99,17.11,2.33,0.35,1.98,18.67,-,-
,,,,,,,,,,,,,,,,
