序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppmC),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),大氣溫度
AMB_TEMP
(℃),降雨量
RAINFALL
(mm),酸雨pH值
pH_RAIN
1,臺北市,1996/12,松山,5.3,1.05,17.4,56,58.04,23.93,33.54,-,-,-,17.42,-,-
2,臺北市,1996/12,古亭,4,1.04,17.1,60,54.14,23.73,30.4,2.429,0.39,2.03,17.59,-,-
3,臺北市,1996/12,中山,5.2,1.14,16.2,56,61.05,24.59,35.95,2.701,0.49,2.22,17.77,-,-
4,臺北市,1996/12,大同,9.9,4.21,-,58,208.63,157.04,51.59,4.801,2.21,2.58,18.02,-,-
5,臺北市,1996/12,萬華,4.4,1.03,17.6,57,42.12,11.53,30.59,-,-,-,17.8,-,-
6,臺北市,1996/12,陽明,2,0.23,32.2,15,2.5,0.11,2.39,-,-,-,10.78,-,-
7,臺北市,1996/12,士林,3.2,0.73,26.2,52,34.15,13.44,20.71,-,-,-,17.74,-,-
8,新北市,1996/12,板橋,5.9,1.02,16.3,69,52.12,17.4,34.72,2.778,0.62,2.16,18.05,-,-
9,新北市,1996/12,三重,6.1,2.17,-,94,125.2,83.23,42.01,-,-,-,18.23,-,-
10,新北市,1996/12,菜寮,4.7,1.16,16.3,73,51.1,20.48,30.63,-,-,-,17.89,-,-
11,新北市,1996/12,永和,5.4,1.78,-,57,73.88,40.48,33.4,3.084,0.67,2.41,19.06,-,-
12,新北市,1996/12,新莊,5.2,0.91,20.2,53,43.28,14.1,29.45,3.131,0.51,2.62,17.78,-,-
13,新北市,1996/12,新店,2.3,0.55,28.3,45,23.14,4.49,18.65,-,-,-,17.43,-,-
14,新北市,1996/12,淡水,2.3,0.66,30.5,54,23.74,7.45,16.29,-,-,-,17.49,-,-
15,新北市,1996/12,汐止,6.5,0.91,13.7,67,70.24,35.15,35.09,-,-,-,16.37,-,-
16,新北市,1996/12,土城,3.9,0.81,20,57,38.01,13.29,24.74,-,-,-,17.8,-,-
17,新北市,1996/12,林口,3.7,0.51,28.7,49,26.02,5.25,20.74,-,-,-,15.34,-,-
18,新北市,1996/12,萬里,1.2,0.31,26.7,54,5.36,1.88,4.01,4.211,0.33,3.88,17.13,-,-
19,臺中市,1996/12,西屯,4.7,0.71,23.3,90,37.05,13.7,23.48,2.286,0.37,1.92,17.74,-,-
20,臺中市,1996/12,忠明,5.7,1.22,19.2,95,61.03,25.47,35.69,-,-,-,17.58,-,-
21,臺中市,1996/12,豐原,7.7,0.98,17.5,81,44.75,12.48,32.26,-,-,-,17.2,-,-
22,臺中市,1996/12,沙鹿,7.7,0.63,18.8,83,38.05,10.15,27.9,-,-,-,17.67,-,-
23,臺中市,1996/12,大里,5.9,1.07,18.8,110,52.42,17.98,34.44,-,-,-,18.51,-,-
24,臺南市,1996/12,新營,6.4,0.65,21.1,111,39.38,11.31,28.16,-,-,-,18.2,-,-
25,臺南市,1996/12,善化,7.2,0.54,22.7,116,33.34,8.03,25.31,-,-,-,17.85,-,-
26,臺南市,1996/12,安南,7.6,0.49,27,105,37.17,9.75,27.43,-,-,-,18.41,-,-
27,臺南市,1996/12,臺南,9.4,0.98,17.2,128,47.9,13.98,33.92,2.99,0.58,2.41,19.07,-,-
28,高雄市,1996/12,左營,11.8,0.94,18,126,54.86,16.83,38.02,3.441,0.73,2.71,19.25,-,-
29,高雄市,1996/12,楠梓,7.6,0.65,21.2,145,57.36,17.55,38.45,2.76,0.36,2.4,18.93,-,-
30,高雄市,1996/12,前金,-,-,-,-,-,-,-,-,-,-,-,-,-
31,高雄市,1996/12,前鎮,17.6,-,-,139,74.69,26.1,48.59,2.877,0.67,2.21,19.39,-,-
32,高雄市,1996/12,復興,15.3,1.79,-,155,96.74,49.54,47.29,3.823,1.26,2.56,19.96,-,-
33,高雄市,1996/12,小港,26.6,1.23,22.4,149,96.6,41.32,55.23,3.215,0.77,2.45,20.1,-,-
34,高雄市,1996/12,鳳山,29.1,1.22,22.7,161,83.36,31.2,52.16,-,-,-,20.15,-,-
35,高雄市,1996/12,林園,25.7,0.82,33,195,52.66,15.8,37.29,3.577,1.2,2.38,20.58,-,-
36,高雄市,1996/12,大寮,21.5,0.94,29.4,168,49.45,10.47,39,-,-,-,20.62,-,-
37,高雄市,1996/12,仁武,23.5,0.82,7.9,139,67.64,25.38,42.26,3.068,0.74,2.33,19.58,-,-
38,高雄市,1996/12,橋頭,9.1,0.78,21.6,123,53.03,17.5,35.54,2.665,0.32,2.35,19.6,-,-
39,高雄市,1996/12,美濃,3.7,0.6,35.8,142,25.65,2.32,23.33,-,-,-,19.91,-,-
40,基隆市,1996/12,基隆,4.8,0.92,20.6,77,36.65,13.19,23.46,2.696,0.5,2.19,17.5,-,-
41,新竹市,1996/12,新竹,6.3,0.78,19.7,64,42.16,15.33,26.89,2.771,0.32,2.45,16.33,-,-
42,嘉義市,1996/12,嘉義,9.7,1.1,19.2,131,58.99,19.33,39.67,3.013,0.68,2.33,18.25,-,-
43,宜蘭縣,1996/12,宜蘭,1.7,0.57,23.7,44,18.06,3.16,14.9,-,-,-,17.2,-,-
44,宜蘭縣,1996/12,冬山,1.6,0.59,16,53,25.18,8.16,17.02,2.391,0.18,2.21,16.93,-,-
45,桃園市,1996/12,桃園,10.2,0.79,20.7,59,40.24,11.68,28.56,2.741,0.48,2.26,16.85,-,-
46,桃園市,1996/12,中壢,8.8,1.26,-,73,65.61,28.66,36.95,-,-,-,16.74,-,-
47,桃園市,1996/12,大園,3.7,0.4,30.8,50,23.52,7.12,16.4,-,-,-,16.9,-,-
48,桃園市,1996/12,龍潭,4,0.64,25.5,62,30.18,8.14,22.12,-,-,-,15.79,-,-
49,桃園市,1996/12,平鎮,7.2,0.87,21.5,56,36.47,10.56,25.91,2.583,0.63,1.95,16.76,-,-
50,桃園市,1996/12,觀音,10,0.33,29.2,61,19.8,4.16,15.65,2.947,0.24,2.71,17.07,-,-
51,新竹縣,1996/12,竹東,2.5,0.56,21.2,71,30.77,8.23,22.56,-,-,-,16.86,-,-
52,新竹縣,1996/12,湖口,3.5,0.53,25.7,55,25.38,7.68,17.35,-,-,-,17.3,-,-
53,苗栗縣,1996/12,苗栗,4.9,0.77,12.2,70,48.82,19.91,28.91,-,-,-,17.04,-,-
54,苗栗縣,1996/12,頭份,38.6,-,-,85,54.01,23.58,30.44,2.765,0.43,2.34,17.23,-,-
55,苗栗縣,1996/12,三義,2.4,0.41,24,62,27.93,5.57,22.37,2.829,0.4,2.43,14.09,-,-
