序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/05,松山,4.4,1.1,17.4,36.0,-,53,21.09,31.76,-,-,-,25.69,-,-
2,臺北市,1998/05,古亭,3.4,1.15,16.0,33.0,-,54,22.75,31.37,2.49,0.46,2.03,25.7,-,-
3,臺北市,1998/05,中山,5.6,1.33,17.9,48.0,-,61,23.48,37.18,2.77,0.47,2.29,26.45,-,-
4,臺北市,1998/05,大同,13.0,3.98,-,-,-,160,113.73,45.77,4.54,1.94,2.6,27.17,-,-
5,臺北市,1998/05,萬華,3.4,1.04,22.1,38.0,-,38,8.45,29.15,-,-,-,25.49,-,-
6,臺北市,1998/05,陽明,2.7,0.22,40.6,15.0,-,5,0.38,4.35,-,-,-,20.99,-,-
7,臺北市,1998/05,士林,3.9,0.93,16.3,39.0,-,41,12.79,27.96,-,-,-,26.22,-,-
8,新北市,1998/05,板橋,8.3,1.18,21.4,59.0,-,53,17.64,35.24,3.04,0.95,2.09,26.68,-,-
9,新北市,1998/05,三重,7.0,2.51,-,57.0,53,133,87.07,45.61,-,-,-,26.33,-,-
10,新北市,1998/05,菜寮,5.2,1.34,18.3,48.0,-,45,14.33,30.44,-,-,-,26.3,-,-
11,新北市,1998/05,永和,5.8,1.96,-,57.0,-,72,40.14,31.61,3.01,0.8,2.21,28.75,-,-
12,新北市,1998/05,新莊,8.2,1.07,26.9,46.0,-,43,13.2,29.4,2.96,0.53,2.42,25.64,-,-
13,新北市,1998/05,新店,2.0,0.64,26.8,28.0,-,23,3.73,19.11,-,-,-,25.97,-,-
14,新北市,1998/05,淡水,4.3,0.93,27.5,56.0,-,33,8.7,24.73,-,-,-,26.21,-,-
15,新北市,1998/05,汐止,4.8,0.93,15.6,47.0,-,50,19.38,30.68,-,-,-,25.34,-,-
16,新北市,1998/05,土城,5.5,0.95,22.4,42.0,-,49,18.58,30.56,-,-,-,26.51,-,-
17,新北市,1998/05,林口,4.7,0.72,24.0,36.0,-,32,7.88,23.82,-,-,-,24.14,-,-
18,新北市,1998/05,萬里,2.1,0.26,35.4,29.0,-,11,1.98,8.61,2.14,0.09,2.05,24.92,-,-
19,臺中市,1998/05,西屯,5.4,0.69,12.0,43.0,-,33,10.99,21.75,2.19,0.25,1.94,27.23,-,-
20,臺中市,1998/05,忠明,3.0,1.05,22.5,54.0,-,35,13.71,20.98,-,-,-,27.92,-,-
21,臺中市,1998/05,豐原,5.0,0.71,25.1,46.0,-,28,6.13,21.49,-,-,-,26.27,-,-
22,臺中市,1998/05,沙鹿,4.2,0.65,22.7,44.0,-,26,5.25,20.68,-,-,-,26.87,-,-
23,臺中市,1998/05,大里,3.7,0.81,24.0,53.0,-,30,6.11,23.58,-,-,-,27.57,-,-
24,臺南市,1998/05,新營,3.9,0.53,36.4,36.0,-,20,4.16,15.43,2.49,0.13,2.36,27.84,-,-
