序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1996/09,松山,5.1,0.84,10.9,34.0,33,10,23.56,-,-,-,28.14,-,-
2,臺北市,1996/09,古亭,2.2,0.96,12.5,35.0,38,17,20.49,2.36,0.3,2.06,27.2,-,-
3,臺北市,1996/09,中山,4.0,1.03,11.7,33.0,42,18,23.52,2.39,0.26,2.14,27.89,-,-
4,臺北市,1996/09,大同,12.1,4.72,-,45.0,156,124,32.7,4.4,2.27,2.13,28.71,-,-
5,臺北市,1996/09,萬華,3.0,0.87,14.2,33.0,27,7,19.55,-,-,-,27.97,-,-
6,臺北市,1996/09,陽明,1.4,0.19,23.9,11.0,2,1,1.9,-,-,-,21.13,-,-
7,臺北市,1996/09,士林,2.1,0.57,17.4,30.0,21,6,14.18,-,-,-,27.84,-,-
8,新北市,1996/09,板橋,3.9,0.84,13.1,42.0,36,12,24.57,2.42,0.42,2.0,28.47,-,-
9,新北市,1996/09,三重,5.8,2.04,-,51.0,90,61,28.9,-,-,-,28.63,-,-
10,新北市,1996/09,菜寮,3.7,1.0,11.7,41.0,32,11,20.46,-,-,-,28.31,-,-
11,新北市,1996/09,永和,5.0,1.62,-,40.0,55,32,22.59,3.06,0.65,2.41,29.29,-,-
12,新北市,1996/09,新莊,4.4,0.68,16.0,29.0,24,7,17.45,2.73,0.12,2.61,28.29,-,-
13,新北市,1996/09,新店,1.0,0.54,19.7,27.0,15,3,11.9,-,-,-,27.51,-,-
14,新北市,1996/09,淡水,1.5,0.55,15.4,33.0,15,4,11.32,-,-,-,28.15,-,-
15,新北市,1996/09,汐止,4.5,0.66,11.0,39.0,39,18,21.37,-,-,-,26.76,-,-
16,新北市,1996/09,土城,2.9,0.63,15.3,33.0,22,6,15.94,-,-,-,28.23,-,-
17,新北市,1996/09,林口,2.2,0.41,24.4,30.0,17,4,12.91,-,-,-,25.66,-,-
18,新北市,1996/09,萬里,1.0,0.24,18.2,40.0,6,1,4.56,2.49,0.08,2.41,28.08,-,-
19,臺中市,1996/09,西屯,6.1,0.66,31.5,70.0,29,6,23.16,2.31,0.28,2.03,27.82,-,-
20,臺中市,1996/09,忠明,5.6,1.04,41.0,78.0,33,5,27.39,-,-,-,27.81,-,-
21,臺中市,1996/09,豐原,6.2,0.86,33.5,73.0,27,2,24.84,-,-,-,26.98,-,-
22,臺中市,1996/09,沙鹿,7.1,0.63,30.5,65.0,23,3,19.38,-,-,-,27.99,-,-
