序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/01,松山,3.1,0.76,395.25,25.0,54,-,35.82,10.18,25.64,-,-,-,15.88,-,-,-
2,臺北市,2003/01,古亭,1.9,0.81,-,24.9,48,28,38.8,13.82,24.98,2.507,0.63,1.88,15.78,-,-,-
3,臺北市,2003/01,中山,3.7,0.83,-,20.1,70,-,50.68,16.77,33.91,2.829,0.48,2.35,16.66,-,-,-
4,臺北市,2003/01,大同,7.3,2.77,-,-,74,-,157.44,108.44,49.0,3.915,1.54,2.38,17.03,-,-,-
5,臺北市,2003/01,萬華,3.6,0.93,-,23.8,45,-,38.84,10.29,28.51,-,-,-,15.73,-,-,-
6,臺北市,2003/01,陽明,2.7,0.4,-,49.3,26,-,2.93,0.16,2.78,-,-,-,9.68,-,-,-
7,臺北市,2003/01,士林,2.3,0.71,-,32.4,41,-,32.73,9.0,23.55,-,-,-,15.48,-,-,-
8,新北市,2003/01,板橋,4.6,0.93,-,27.5,57,-,34.39,9.54,24.85,2.855,0.57,2.29,16.91,-,-,-
9,新北市,2003/01,三重,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,新北市,2003/01,菜寮,4.3,0.96,-,22.2,74,-,44.01,14.92,28.71,-,-,-,16.73,-,-,-
11,新北市,2003/01,永和,3.2,1.26,-,22.9,58,-,54.62,25.27,29.34,3.178,0.48,2.7,16.56,-,-,-
12,新北市,2003/01,新莊,4.6,0.82,-,28.8,62,-,35.96,10.09,25.96,2.607,0.54,2.07,15.82,-,-,-
13,新北市,2003/01,新店,1.6,0.55,-,29.4,42,-,20.39,2.74,17.74,-,-,-,16.48,-,-,-
14,新北市,2003/01,淡水,2.5,0.71,-,33.6,47,-,19.98,4.2,15.78,-,-,-,15.62,-,-,-
15,新北市,2003/01,汐止,3.3,0.63,-,28.7,56,-,34.31,12.96,21.36,-,-,-,15.8,-,-,-
16,新北市,2003/01,土城,4.4,0.72,-,25.3,41,-,36.43,12.39,23.79,-,-,-,17.04,-,-,-
17,新北市,2003/01,林口,3.0,0.54,-,36.6,52,-,20.95,2.68,18.28,-,-,-,14.61,-,-,-
18,新北市,2003/01,萬里,1.9,0.31,-,42.6,53,-,7.34,1.02,6.32,2.856,0.23,2.63,15.83,-,-,-
19,臺中市,2003/01,西屯,3.3,0.75,-,29.2,81,-,38.82,18.93,19.89,2.878,0.37,2.5,16.23,-,-,-
20,臺中市,2003/01,忠明,3.5,1.08,-,26.4,79,72,45.16,16.15,29.02,-,-,-,16.33,-,-,-
21,臺中市,2003/01,豐原,3.2,1.0,-,21.9,63,-,38.28,9.3,28.99,-,-,-,15.32,-,-,-
22,臺中市,2003/01,沙鹿,5.2,0.72,-,20.2,64,-,30.77,6.25,24.4,-,-,-,15.15,-,-,-
23,臺中市,2003/01,大里,3.9,1.12,381.8,18.8,67,-,51.0,15.54,35.46,-,-,-,16.3,-,-,-
24,臺南市,2003/01,新營,4.2,0.67,-,24.7,91,-,30.61,5.89,24.75,2.884,0.36,2.52,16.6,-,-,-
25,臺南市,2003/01,善化,4.8,0.64,-,25.8,77,-,-,-,-,-,-,-,16.83,-,-,-
26,臺南市,2003/01,安南,4.9,0.69,-,26.4,85,-,32.69,7.28,26.01,-,-,-,18.04,-,-,-
27,臺南市,2003/01,臺南,5.2,0.91,-,28.4,102,-,33.97,6.11,27.86,2.583,0.55,2.04,17.35,-,-,-
28,高雄市,2003/01,左營,7.4,0.97,-,28.6,115,-,45.03,10.7,34.34,3.469,0.71,2.76,17.94,-,-,-
29,高雄市,2003/01,楠梓,4.4,0.82,-,28.3,97,-,41.57,11.99,29.58,2.961,0.33,2.63,17.91,-,-,-
30,高雄市,2003/01,前金,9.1,0.92,-,29.5,101,-,42.7,7.84,34.86,-,-,-,18.27,-,-,-
31,高雄市,2003/01,前鎮,12.0,-,-,-,103,-,56.67,15.87,40.79,3.171,0.6,2.57,18.64,-,-,-
32,高雄市,2003/01,復興,12.3,1.54,-,-,128,-,72.0,25.04,46.96,3.62,1.07,2.55,20.27,-,-,-
33,高雄市,2003/01,小港,16.7,1.06,-,18.7,110,-,68.09,23.51,44.58,2.941,0.47,2.48,19.01,-,-,-
34,高雄市,2003/01,鳳山,20.4,1.01,-,25.4,112,59,63.4,28.3,35.1,-,-,-,19.34,-,-,-
35,高雄市,2003/01,林園,20.3,0.88,-,31.9,115,31,42.99,10.11,32.88,2.672,0.32,2.35,19.38,-,-,-
36,高雄市,2003/01,大寮,14.1,0.88,-,24.9,110,-,41.18,6.36,34.84,2.818,0.48,2.34,18.19,-,-,-
37,高雄市,2003/01,仁武,15.2,0.81,-,25.3,113,-,54.88,15.93,38.9,2.886,0.46,2.43,18.19,-,-,-
38,高雄市,2003/01,橋頭,6.3,0.74,-,22.6,62,-,43.66,10.23,33.43,3.345,0.43,2.92,18.14,-,-,-
39,高雄市,2003/01,美濃,2.5,0.65,-,33.9,87,-,18.94,1.6,17.35,-,-,-,18.19,-,-,-
40,基隆市,2003/01,基隆,3.1,0.68,-,31.6,56,-,23.75,5.38,18.41,2.379,0.23,2.15,16.13,-,-,-
41,新竹市,2003/01,新竹,4.9,0.75,-,22.9,66,-,32.95,9.94,23.01,2.585,0.3,2.29,14.97,-,-,-
42,嘉義市,2003/01,嘉義,5.0,0.9,-,21.5,100,-,42.38,12.48,29.9,2.759,0.52,2.24,16.71,-,-,-
43,宜蘭縣,2003/01,宜蘭,1.2,0.52,333.78,33.2,45,-,14.15,1.69,12.47,-,-,-,15.72,-,-,-
44,宜蘭縣,2003/01,冬山,1.9,0.51,-,23.0,62,-,23.31,6.95,16.36,2.507,0.38,2.12,16.2,-,-,-
45,桃園市,2003/01,桃園,5.6,-,-,25.0,58,-,25.32,6.04,19.27,2.773,0.46,2.31,15.05,-,-,-
46,桃園市,2003/01,中壢,5.2,1.15,-,-,71,-,54.75,23.13,31.62,2.854,0.79,2.06,15.81,-,-,-
47,桃園市,2003/01,大園,4.3,0.54,-,32.4,73,-,23.57,5.57,18.04,-,-,-,15.52,-,-,-
48,桃園市,2003/01,龍潭,2.7,0.7,-,28.3,55,-,29.07,7.95,21.13,-,-,-,14.44,-,-,-
49,桃園市,2003/01,平鎮,4.8,0.8,-,25.5,73,-,32.37,7.68,24.68,2.42,0.34,2.08,15.67,-,-,-
50,桃園市,2003/01,觀音,6.5,0.44,-,30.1,63,-,25.29,5.08,20.21,2.653,0.36,2.3,-,-,-,-
51,新竹縣,2003/01,竹東,2.4,0.54,-,27.5,61,-,23.37,4.51,18.9,-,-,-,14.71,-,-,-
52,新竹縣,2003/01,湖口,3.3,0.52,-,28.9,65,-,23.74,6.83,16.91,-,-,-,15.48,-,-,-
53,苗栗縣,2003/01,苗栗,3.5,0.66,-,25.9,63,-,32.61,9.5,23.08,-,-,-,14.22,-,-,-
