序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1996/11,松山,3.0,0.81,13.7,36.0,39,14,24.5,-,-,-,21.69,-,-
2,臺北市,1996/11,古亭,1.9,0.91,13.2,37.0,37,17,20.6,2.18,0.26,1.92,21.89,-,-
3,臺北市,1996/11,中山,3.1,0.99,13.8,34.0,46,19,27.38,2.45,0.34,2.11,22.06,-,-
4,臺北市,1996/11,大同,8.4,4.6,-,51.0,190,151,39.08,4.51,2.36,2.23,22.61,-,-
5,臺北市,1996/11,萬華,2.3,0.92,14.0,35.0,32,9,23.28,-,-,-,22.04,-,-
6,臺北市,1996/11,陽明,0.9,0.19,27.7,13.0,1,0,1.18,-,-,-,15.47,-,-
7,臺北市,1996/11,士林,1.2,0.53,23.0,29.0,18,5,12.49,-,-,-,22.42,-,-
8,新北市,1996/11,板橋,3.3,0.89,12.1,43.0,41,14,27.07,2.37,0.43,1.94,22.33,-,-
9,新北市,1996/11,三重,4.0,1.73,-,58.0,85,54,30.59,-,-,-,22.68,-,-
10,新北市,1996/11,菜寮,3.0,0.93,14.3,48.0,32,10,22.05,-,-,-,22.37,-,-
11,新北市,1996/11,永和,3.4,1.45,-,41.0,57,32,25.08,2.84,0.53,2.31,23.13,-,-
12,新北市,1996/11,新莊,2.5,0.74,15.7,31.0,30,8,22.19,2.82,0.24,2.58,22.25,-,-
13,新北市,1996/11,新店,0.9,0.48,23.4,26.0,17,3,14.51,-,-,-,21.62,-,-
14,新北市,1996/11,淡水,0.7,0.48,28.1,32.0,11,3,8.06,-,-,-,21.77,-,-
15,新北市,1996/11,汐止,4.0,0.73,15.8,42.0,44,19,25.01,-,-,-,20.7,-,-
16,新北市,1996/11,土城,1.6,0.66,15.0,33.0,23,5,18.75,-,-,-,22.18,-,-
17,新北市,1996/11,林口,1.5,0.36,25.9,31.0,17,4,12.98,-,-,-,19.33,-,-
