序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/03,松山,5.3,1.13,18.4,74.0,-,70,26.86,42.83,-,-,-,18.69,-,-,-
2,臺北市,2000/03,古亭,4.7,1.24,20.9,77.0,35,63,25.42,37.12,2.67,0.55,2.13,19.04,-,-,-
3,臺北市,2000/03,中山,5.1,1.27,19.0,92.0,-,68,27.22,40.62,2.96,0.59,2.37,18.71,-,-,-
4,臺北市,2000/03,大同,8.4,3.01,-,98.0,-,172,118.48,53.41,4.07,1.65,2.41,19.45,-,-,-
5,臺北市,2000/03,萬華,5.1,1.23,22.5,77.0,-,54,18.49,35.6,-,-,-,18.18,-,-,-
6,臺北市,2000/03,陽明,1.3,0.3,53.6,28.0,-,3,0.33,2.69,-,-,-,13.43,-,-,-
7,臺北市,2000/03,士林,3.0,0.81,29.1,59.0,-,38,11.67,26.0,-,-,-,18.44,-,-,-
8,新北市,2000/03,板橋,9.2,1.19,20.0,92.0,-,60,21.91,37.65,2.96,0.68,2.28,18.91,-,-,-
9,新北市,2000/03,三重,6.0,2.74,-,122.0,30,168,115.81,52.25,3.1,1.04,2.06,18.66,-,-,-
10,新北市,2000/03,菜寮,5.9,1.17,20.9,96.0,-,60,22.5,37.26,-,-,-,18.26,-,-,-
11,新北市,2000/03,永和,6.5,1.75,-,100.0,-,91,52.2,39.25,3.12,0.85,2.27,18.22,-,-,-
12,新北市,2000/03,新莊,7.1,0.94,25.2,77.0,-,52,18.02,34.34,2.6,0.66,1.94,18.35,-,-,-
13,新北市,2000/03,新店,3.1,0.86,27.0,65.0,-,38,10.98,27.35,-,-,-,18.99,-,-,-
14,新北市,2000/03,淡水,2.2,0.68,32.3,57.0,-,29,7.73,21.39,-,-,-,17.33,-,-,-
15,新北市,2000/03,汐止,4.7,0.99,20.5,78.0,-,61,23.01,38.17,-,-,-,17.91,-,-,-
16,新北市,2000/03,土城,6.9,1.05,23.5,78.0,-,58,22.46,35.41,-,-,-,18.29,-,-,-
17,新北市,2000/03,林口,3.8,0.54,31.8,67.0,-,28,7.01,21.25,-,-,-,16.4,-,-,-
18,新北市,2000/03,萬里,1.2,0.37,43.0,64.0,-,12,1.62,10.22,2.06,0.05,2.01,17.15,-,-,-
19,臺中市,2000/03,西屯,3.5,0.74,25.9,112.0,-,39,11.8,27.35,2.64,0.3,2.34,19.06,-,-,-
20,臺中市,2000/03,忠明,3.8,1.13,21.8,95.0,45,56,19.79,35.92,-,-,-,19.65,-,-,-
21,臺中市,2000/03,豐原,3.7,0.81,20.5,86.0,-,44,12.37,31.62,-,-,-,18.26,-,-,-
22,臺中市,2000/03,沙鹿,6.2,0.62,24.8,79.0,-,32,6.16,26.35,-,-,-,17.68,-,-,-
23,臺中市,2000/03,大里,4.0,0.97,16.8,79.0,-,56,16.63,39.12,-,-,-,18.47,-,-,-
24,臺南市,2000/03,新營,3.7,0.58,28.7,94.0,-,31,5.28,25.76,2.44,0.17,2.27,19.77,-,-,-
25,臺南市,2000/03,善化,4.5,0.55,29.2,113.0,-,29,4.83,24.23,-,-,-,20.36,-,-,-
26,臺南市,2000/03,安南,4.8,0.61,31.1,111.0,-,29,5.37,23.47,-,-,-,19.73,-,-,-
27,臺南市,2000/03,臺南,5.4,0.99,20.1,126.0,-,41,9.48,31.3,2.83,0.44,2.39,20.94,-,-,-
28,高雄市,2000/03,左營,7.4,0.77,34.4,132.0,-,36,7.38,28.34,2.59,0.32,2.27,21.45,-,-,-
29,高雄市,2000/03,楠梓,5.2,0.62,30.6,124.0,-,38,8.16,29.55,2.54,0.28,2.25,21.86,-,-,-
30,高雄市,2000/03,前金,7.5,0.84,27.4,119.0,-,37,8.52,28.92,-,-,-,22.91,-,-,-
31,高雄市,2000/03,前鎮,12.4,-,-,133.0,-,60,18.54,41.12,2.68,0.52,2.15,21.88,-,-,-
32,高雄市,2000/03,復興,11.7,1.39,-,162.0,-,69,22.57,46.34,2.82,0.8,2.02,22.42,-,-,-
33,高雄市,2000/03,小港,17.8,1.0,24.8,141.0,-,68,23.2,44.93,2.77,0.61,2.16,23.1,-,-,-
34,高雄市,2000/03,鳳山,20.4,1.04,24.4,158.0,66,60,20.05,39.96,-,-,-,22.7,-,-,-
