序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/11,松山,3.6,0.83,14.4,33.0,-,47,16.88,30.12,-,-,-,21.54,-,-,-
2,臺北市,2000/11,古亭,2.7,0.67,18.1,27.0,12,36,12.56,23.92,2.22,0.23,1.98,22.38,-,-,-
3,臺北市,2000/11,中山,2.8,0.79,17.2,35.0,-,41,14.53,26.43,2.36,0.24,2.12,22.24,-,-,-
4,臺北市,2000/11,大同,5.9,3.29,-,55.0,-,160,120.18,39.7,3.88,1.66,2.22,22.88,-,-,-
5,臺北市,2000/11,萬華,2.5,0.84,19.7,25.0,-,31,7.27,23.38,-,-,-,22.39,-,-,-
6,臺北市,2000/11,陽明,1.1,0.23,51.5,13.0,-,2,0.35,2.13,-,-,-,16.76,-,-,-
7,臺北市,2000/11,士林,2.0,0.53,24.9,27.0,-,20,4.82,15.44,-,-,-,22.65,-,-,-
8,新北市,2000/11,板橋,3.3,0.76,16.4,53.0,-,36,9.01,26.67,2.53,0.35,2.18,22.7,-,-,-
9,新北市,2000/11,三重,3.4,2.09,-,55.0,-,112,74.65,37.21,2.98,0.76,2.22,22.56,-,-,-
10,新北市,2000/11,菜寮,2.9,0.77,17.8,33.0,-,32,7.91,23.59,-,-,-,22.22,-,-,-
11,新北市,2000/11,永和,2.5,1.07,15.4,49.0,-,48,22.4,25.98,-,-,-,22.25,-,-,-
12,新北市,2000/11,新莊,3.1,0.67,23.3,33.0,-,31,5.45,25.21,2.16,0.34,1.81,22.17,-,-,-
13,新北市,2000/11,新店,1.4,0.5,22.3,22.0,-,19,3.47,15.12,-,-,-,22.16,-,-,-
14,新北市,2000/11,淡水,1.1,0.48,30.3,23.0,-,13,3.09,10.41,-,-,-,21.51,-,-,-
15,新北市,2000/11,汐止,3.9,0.7,15.8,42.0,-,45,16.43,28.19,-,-,-,21.1,-,-,-
16,新北市,2000/11,土城,2.1,0.69,19.4,29.0,-,27,5.82,21.55,-,-,-,21.93,-,-,-
17,新北市,2000/11,林口,1.8,0.32,27.0,29.0,-,18,2.92,14.66,-,-,-,20.2,-,-,-
18,新北市,2000/11,萬里,0.9,0.23,37.0,39.0,-,6,1.24,4.71,2.28,0.05,2.23,21.91,-,-,-
19,臺中市,2000/11,西屯,3.2,0.86,22.9,84.0,-,34,13.68,20.48,2.8,0.4,2.4,21.12,-,-,-
20,臺中市,2000/11,忠明,3.4,0.99,21.1,73.0,42,51,17.47,33.82,-,-,-,22.63,-,-,-
21,臺中市,2000/11,豐原,3.1,0.91,19.4,68.0,-,36,9.74,26.69,-,-,-,21.73,-,-,-
22,臺中市,2000/11,沙鹿,6.1,0.63,16.3,51.0,-,31,9.1,22.44,-,-,-,22.33,-,-,-
23,臺中市,2000/11,大里,2.1,1.01,19.6,79.0,-,53,18.36,34.52,-,-,-,21.77,-,-,-
24,臺南市,2000/11,新營,3.9,0.55,25.6,77.0,-,29,6.16,23.2,2.44,0.16,2.28,23.12,-,-,-
25,臺南市,2000/11,善化,4.1,0.54,29.0,-,-,26,5.59,20.1,-,-,-,23.2,-,-,-
26,臺南市,2000/11,安南,5.6,0.55,29.4,82.0,-,27,5.67,21.13,-,-,-,23.23,-,-,-
27,臺南市,2000/11,臺南,-,0.89,23.2,94.0,-,34,8.98,24.57,2.48,0.39,2.09,23.91,-,-,-
28,高雄市,2000/11,左營,6.7,0.86,31.7,116.0,-,35,8.82,26.63,2.57,0.37,2.2,23.8,-,-,-
29,高雄市,2000/11,楠梓,4.2,0.72,27.9,98.0,-,39,9.92,29.23,2.77,0.29,2.48,23.82,-,-,-
30,高雄市,2000/11,前金,6.9,0.94,37.3,95.0,-,37,7.99,29.2,-,-,-,23.65,-,-,-
31,高雄市,2000/11,前鎮,11.5,-,-,111.0,-,56,15.96,39.6,2.6,0.52,2.08,24.01,-,-,-
32,高雄市,2000/11,復興,10.6,1.44,-,154.0,-,73,24.72,48.2,3.08,0.87,2.21,24.35,-,-,-
33,高雄市,2000/11,小港,16.7,1.11,28.0,120.0,-,70,24.25,45.58,2.83,0.65,2.18,24.65,-,-,-
34,高雄市,2000/11,鳳山,15.6,1.13,19.9,131.0,51,59,25.29,33.54,-,-,-,24.58,-,-,-
35,高雄市,2000/11,林園,14.5,0.82,30.9,131.0,55,38,9.54,28.87,2.86,0.53,2.33,24.44,-,-,-
36,高雄市,2000/11,大寮,12.1,1.0,32.4,153.0,-,40,7.61,32.21,2.9,0.45,2.45,24.27,-,-,-
37,高雄市,2000/11,仁武,12.2,0.77,29.6,122.0,-,50,15.72,34.52,2.94,0.48,2.46,24.4,-,-,-
38,高雄市,2000/11,橋頭,5.1,0.7,24.8,114.0,-,40,10.29,29.43,2.59,0.23,2.36,23.63,-,-,-
39,高雄市,2000/11,美濃,1.5,0.57,34.9,112.0,-,17,1.41,15.79,-,-,-,24.23,-,-,-
40,基隆市,2000/11,基隆,4.0,0.65,24.6,55.0,-,28,9.08,18.59,2.36,0.18,2.18,21.38,-,-,-
41,新竹市,2000/11,新竹,4.5,0.68,19.0,34.0,-,33,9.89,23.02,2.59,0.24,2.35,22.29,-,-,-
42,嘉義市,2000/11,嘉義,5.1,0.93,19.1,108.0,-,43,12.99,30.11,2.5,0.35,2.15,22.38,-,-,-
43,宜蘭縣,2000/11,宜蘭,0.7,0.51,22.3,21.0,-,15,2.78,11.86,-,-,-,21.37,-,-,-
44,宜蘭縣,2000/11,冬山,1.3,0.49,16.1,23.0,-,22,7.68,14.6,2.39,0.19,2.2,21.95,-,-,-
45,桃園市,2000/11,桃園,6.1,0.59,19.6,27.0,-,28,5.55,22.65,2.23,0.22,2.01,21.34,-,-,-
46,桃園市,2000/11,中壢,4.7,1.02,-,31.0,-,51,21.33,29.64,2.49,0.49,2.0,21.15,-,-,-
47,桃園市,2000/11,大園,1.9,0.35,30.0,41.0,-,15,3.35,11.56,-,-,-,21.9,-,-,-
48,桃園市,2000/11,龍潭,2.1,0.49,27.6,34.0,-,24,5.4,18.46,-,-,-,20.46,-,-,-
49,桃園市,2000/11,平鎮,4.1,0.68,21.2,30.0,-,32,7.24,24.57,-,-,-,20.63,-,-,-
50,桃園市,2000/11,觀音,4.8,0.3,26.4,38.0,-,19,4.47,14.72,2.43,0.14,2.28,21.33,-,-,-
51,新竹縣,2000/11,竹東,1.6,0.51,22.7,32.0,-,18,3.97,14.28,-,-,-,21.89,-,-,-
52,新竹縣,2000/11,湖口,1.9,0.5,27.0,37.0,-,23,6.03,16.66,-,-,-,21.6,-,-,-
53,苗栗縣,2000/11,苗栗,4.6,0.89,17.9,43.0,-,37,12.43,25.03,-,-,-,21.39,-,-,-
54,苗栗縣,2000/11,頭份,23.6,-,-,46.0,-,32,11.79,20.15,2.42,0.18,2.24,22.67,-,-,-
55,苗栗縣,2000/11,三義,1.4,0.42,25.6,62.0,-,20,3.06,17.2,2.31,0.15,2.16,19.43,-,-,-
56,彰化縣,2000/11,彰化,4.4,0.89,16.2,-,-,48,18.33,29.35,2.67,0.39,2.28,22.63,-,-,-
57,彰化縣,2000/11,線西,6.0,-,-,44.0,-,35,10.99,23.76,2.36,0.22,2.14,21.9,-,-,-
