序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/05,松山,3.3,0.8,397.66,30.6,56,-,43.75,18.17,26.14,-,-,-,24.66,-,-,-
2,臺北市,2003/05,古亭,2.6,0.82,-,31.8,46,31,32.85,9.13,23.72,2.59,0.52,2.07,24.96,-,-,-
3,臺北市,2003/05,中山,3.6,0.84,-,27.9,46,-,43.45,11.86,31.59,2.618,0.41,2.21,25.58,-,-,-
4,臺北市,2003/05,大同,8.1,2.74,-,-,92,-,139.13,86.88,52.24,3.869,1.43,2.44,26.37,-,-,-
5,臺北市,2003/05,萬華,2.9,0.88,-,33.8,51,-,24.22,4.59,19.79,-,-,-,24.46,-,-,-
6,臺北市,2003/05,陽明,1.2,0.34,380.51,55.3,21,-,4.81,0.39,4.42,-,-,-,19.48,-,-,-
7,臺北市,2003/05,士林,1.8,0.65,-,37.4,37,-,22.16,3.92,18.13,-,-,-,24.53,-,-,-
8,新北市,2003/05,板橋,5.4,0.57,-,32.8,50,-,-,-,-,-,-,-,25.92,-,-,-
9,新北市,2003/05,三重,6.0,2.14,-,-,89,-,-,-,-,3.295,1.17,2.12,-,-,-,-
10,新北市,2003/05,菜寮,3.9,0.97,-,29.5,52,-,35.45,8.81,27.08,-,-,-,25.7,-,-,-
11,新北市,2003/05,永和,5.4,1.57,-,25.2,62,-,54.02,23.51,30.51,2.789,0.66,2.13,25.39,-,-,-
12,新北市,2003/05,新莊,4.6,0.77,-,36.7,55,-,30.44,7.42,23.03,2.765,0.76,2.01,25.11,-,-,-
13,新北市,2003/05,新店,1.6,0.61,-,35.0,36,-,18.54,2.45,16.16,-,-,-,25.42,-,-,-
14,新北市,2003/05,淡水,2.1,0.74,-,38.2,47,-,21.37,3.53,17.84,-,-,-,25.01,-,-,-
15,新北市,2003/05,汐止,4.0,0.71,-,26.5,47,-,32.44,9.32,23.12,-,-,-,24.9,-,-,-
16,新北市,2003/05,土城,4.1,0.78,-,29.9,46,-,31.64,9.34,22.92,-,-,-,25.5,-,-,-
17,新北市,2003/05,林口,3.4,0.44,-,39.8,44,-,20.2,3.2,16.95,-,-,-,23.63,-,-,-
18,新北市,2003/05,萬里,1.1,0.34,-,45.6,40,-,8.47,1.45,7.03,2.865,0.24,2.62,24.08,-,-,-
19,臺中市,2003/05,西屯,3.0,0.66,-,33.3,63,-,26.88,11.53,15.36,2.333,0.38,1.95,26.59,-,-,-
20,臺中市,2003/05,忠明,3.2,0.86,-,31.9,62,37,31.09,5.67,25.42,-,-,-,27.2,-,-,-
21,臺中市,2003/05,豐原,3.5,0.82,-,32.6,53,-,24.78,2.93,21.87,-,-,-,25.12,-,-,-
22,臺中市,2003/05,沙鹿,4.2,0.59,-,31.7,45,-,20.11,2.62,17.56,-,-,-,25.66,-,-,-
23,臺中市,2003/05,大里,2.6,0.82,359.42,33.0,64,-,27.02,4.23,22.79,-,-,-,26.59,-,-,-
24,臺南市,2003/05,新營,2.9,0.54,-,36.2,51,-,16.4,2.14,14.56,3.049,0.37,2.68,27.16,-,-,-
25,臺南市,2003/05,善化,3.2,0.45,-,33.3,55,-,-,-,-,-,-,-,26.46,-,-,-
26,臺南市,2003/05,安南,2.9,0.5,-,38.6,57,-,16.31,3.08,13.27,-,-,-,28.18,-,-,-
