序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
52,苗栗縣,2014/06,苗栗,2.7,0.28,-,22.4,27,11,13.06,2.14,10.91,2.46,29.35,76.8
53,苗栗縣,2014/06,頭份,3.0,0.26,-,25.3,30,16,13.38,2.64,10.75,2.72,28.62,76.73
54,苗栗縣,2014/06,三義,2.2,0.2,-,26.5,32,14,8.88,1.75,7.12,3.08,27.0,79.88
55,彰化縣,2014/06,彰化,3.0,0.31,-,23.5,36,16,10.43,1.48,8.94,2.18,29.12,75.38
56,彰化縣,2014/06,線西,3.4,0.23,-,24.6,33,14,9.41,1.55,7.85,3.4,27.83,84.89
57,彰化縣,2014/06,二林,2.8,0.19,-,23.4,32,24,7.96,1.71,6.26,2.87,29.32,77.02
58,南投縣,2014/06,南投,1.8,0.3,-,22.5,36,18,11.39,1.99,9.39,1.8,28.92,74.98
59,南投縣,2014/06,埔里,1.8,0.28,-,24.2,25,14,9.09,1.7,7.39,1.45,26.36,79.64
60,南投縣,2014/06,竹山,2.2,0.21,-,23.7,35,9,8.76,1.59,7.16,1.47,27.24,78.8
61,雲林縣,2014/06,斗六,3.0,0.28,-,24.0,39,17,10.87,2.13,8.73,1.8,28.61,73.63
62,雲林縣,2014/06,崙背,2.4,0.18,-,22.6,39,15,8.01,1.42,6.58,2.97,28.26,82.15
63,雲林縣,2014/06,麥寮,2.5,0.21,-,22.8,38,10,9.09,2.45,6.65,3.05,27.79,85.48
64,嘉義縣,2014/06,朴子,2.7,0.24,-,21.7,50,15,10.06,2.11,7.95,2.41,28.95,78.95
65,嘉義縣,2014/06,新港,2.2,0.22,-,22.8,39,14,9.63,2.5,7.13,2.41,28.9,81.39
66,屏東縣,2014/06,屏東,2.4,0.35,-,24.4,35,10,12.73,2.21,10.51,1.85,29.37,74.11
67,屏東縣,2014/06,潮州,2.2,0.17,-,24.2,35,13,6.43,1.44,4.98,1.89,28.49,74.98
68,屏東縣,2014/06,恆春,1.6,0.06,404.24,31.5,27,6,3.03,1.4,1.6,4.28,28.14,76.1
69,臺東縣,2014/06,關山,1.2,-,-,19.2,25,8,4.75,1.65,3.1,1.42,26.81,79.83
70,花蓮縣,2014/06,花蓮,1.8,0.35,-,21.2,29,11,10.49,2.21,8.27,2.29,28.6,84.4
71,澎湖縣,2014/06,馬公,2.0,0.2,-,27.7,21,7,7.29,2.86,4.43,2.94,28.7,79.32
72,金門縣,2014/06,金門,3.5,0.2,-,36.0,42,19,8.09,1.06,7.01,3.19,26.75,82.97
73,連江縣,2014/06,馬祖,2.6,0.19,-,43.0,35,15,5.81,1.3,4.55,3.63,25.05,86.9
,,,,,,,,,,,,,,,
