序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/03,松山,2.1,0.8,389.48,28.5,53,-,50.82,21.89,28.49,-,-,-,17.63,-,-,-
2,臺北市,2003/03,古亭,1.6,0.85,-,28.2,45,24,41.39,12.78,28.6,2.912,0.7,2.21,17.64,-,-,-
3,臺北市,2003/03,中山,2.9,0.87,-,23.5,60,-,51.99,16.36,35.64,3.292,0.69,2.6,18.53,-,-,-
4,臺北市,2003/03,大同,5.8,3.0,-,-,83,-,170.72,115.41,55.31,4.189,1.63,2.56,19.22,-,-,-
5,臺北市,2003/03,萬華,2.5,0.9,-,27.4,40,-,29.7,7.08,23.1,-,-,-,18.15,-,-,-
6,臺北市,2003/03,陽明,1.2,0.34,370.8,52.9,18,-,3.15,0.35,3.2,-,-,-,12.32,-,-,-
7,臺北市,2003/03,士林,1.2,0.64,-,33.2,39,-,34.44,7.97,25.87,-,-,-,17.55,-,-,-
8,新北市,2003/03,板橋,4.4,0.88,-,29.2,47,-,38.42,6.44,27.94,-,-,-,18.03,-,-,-
9,新北市,2003/03,三重,4.3,2.26,-,-,-,-,139.54,-,-,-,-,-,-,-,-,-
10,新北市,2003/03,菜寮,3.1,0.93,-,25.0,56,-,41.55,11.16,30.6,-,-,-,18.99,-,-,-
11,新北市,2003/03,永和,3.4,1.36,-,25.4,56,-,55.09,24.58,30.71,2.684,0.6,2.09,17.73,-,-,-
12,新北市,2003/03,新莊,3.3,0.82,-,31.2,59,-,37.71,8.53,29.18,2.895,0.83,2.1,17.91,-,-,-
13,新北市,2003/03,新店,1.1,0.62,-,32.2,39,-,23.05,3.7,19.38,-,-,-,18.43,-,-,-
14,新北市,2003/03,淡水,1.8,0.72,-,36.4,40,-,21.39,4.82,17.45,-,-,-,17.62,-,-,-
15,新北市,2003/03,汐止,3.1,0.69,-,26.8,47,-,38.09,13.36,24.7,-,-,-,17.57,-,-,-
16,新北市,2003/03,土城,3.5,0.82,-,25.2,27,-,37.83,10.43,26.86,-,-,-,19.0,-,-,-
17,新北市,2003/03,林口,2.4,0.47,-,38.9,46,-,24.41,2.95,21.49,-,-,-,16.73,-,-,-
18,新北市,2003/03,萬里,1.0,0.31,-,43.2,50,-,8.01,1.15,6.93,3.066,0.26,2.81,17.68,-,-,-
19,臺中市,2003/03,西屯,3.1,0.66,-,29.9,70,-,30.27,10.99,19.12,2.325,0.36,1.97,19.34,-,-,-
20,臺中市,2003/03,忠明,3.2,0.87,-,28.1,70,66,37.81,9.61,28.2,-,-,-,19.61,-,-,-
21,臺中市,2003/03,豐原,3.0,0.88,-,23.5,54,-,33.59,6.58,27.01,-,-,-,17.96,-,-,-
22,臺中市,2003/03,沙鹿,3.8,0.61,-,23.6,50,-,25.61,4.48,21.13,-,-,-,18.15,-,-,-
23,臺中市,2003/03,大里,3.1,0.94,371.63,23.3,95,-,41.06,9.32,31.74,-,-,-,19.65,-,-,-
24,臺南市,2003/03,新營,3.6,0.57,-,28.8,70,-,24.98,3.43,21.46,2.632,0.34,2.29,20.23,-,-,-
25,臺南市,2003/03,善化,3.6,0.6,-,27.7,53,-,19.29,-,-,-,-,-,20.61,-,-,-
26,臺南市,2003/03,安南,3.5,-,-,30.1,70,-,24.38,4.11,20.3,-,-,-,21.8,-,-,-
27,臺南市,2003/03,臺南,4.3,0.82,-,31.5,66,-,26.41,3.56,23.15,2.476,0.5,1.98,20.93,-,-,-
28,高雄市,2003/03,左營,6.3,0.81,-,29.6,89,-,39.32,9.9,29.36,2.71,0.44,2.27,21.57,-,-,-
29,高雄市,2003/03,楠梓,4.5,0.71,-,19.5,-,-,31.62,6.71,24.93,3.088,0.4,2.69,21.75,-,-,-
30,高雄市,2003/03,前金,7.4,0.76,-,30.9,87,-,32.07,5.01,26.98,-,-,-,21.54,-,-,-
31,高雄市,2003/03,前鎮,12.4,-,-,-,84,-,46.94,12.51,34.44,2.876,0.46,2.42,21.77,-,-,-
32,高雄市,2003/03,復興,12.3,1.22,-,-,-,-,54.11,15.72,38.39,3.085,0.5,2.58,23.53,-,-,-
33,高雄市,2003/03,小港,14.4,0.84,-,22.6,84,-,50.91,15.8,35.11,2.54,0.49,2.05,22.42,-,-,-
34,高雄市,2003/03,鳳山,15.3,0.89,-,25.5,89,44,51.93,23.01,28.92,-,-,-,23.01,-,-,-
35,高雄市,2003/03,林園,13.3,0.7,-,32.5,98,31,29.95,6.41,24.25,2.968,0.22,2.75,22.69,-,-,-
36,高雄市,2003/03,大寮,11.1,0.77,-,22.9,86,-,34.19,6.59,27.68,3.399,0.49,2.91,21.77,-,-,-
37,高雄市,2003/03,仁武,12.9,0.69,-,24.0,89,-,45.13,12.2,32.94,3.012,0.38,2.63,21.85,-,-,-
38,高雄市,2003/03,橋頭,5.2,0.66,-,24.5,74,-,34.2,5.74,28.41,2.889,0.31,2.57,21.88,-,-,-
39,高雄市,2003/03,美濃,2.1,0.59,-,34.3,82,-,16.98,2.31,15.33,-,-,-,21.84,-,-,-
40,基隆市,2003/03,基隆,2.9,0.67,-,33.0,56,-,27.51,7.23,20.5,2.549,0.42,2.13,16.91,-,-,-
41,新竹市,2003/03,新竹,3.5,0.47,-,24.5,47,-,25.08,5.1,20.56,2.938,0.33,2.61,17.94,-,-,-
42,嘉義市,2003/03,嘉義,3.7,0.68,-,26.8,84,-,28.89,4.33,24.53,2.544,0.47,2.08,21.52,-,-,-
43,宜蘭縣,2003/03,宜蘭,0.5,0.53,385.56,38.0,41,-,13.74,1.34,12.58,-,-,-,17.93,-,-,-
44,宜蘭縣,2003/03,冬山,1.3,0.51,-,28.5,58,-,19.17,4.84,14.34,2.291,0.34,1.95,18.56,-,-,-
45,桃園市,2003/03,桃園,4.5,0.63,-,27.2,52,-,23.43,4.66,18.77,2.449,0.34,2.11,17.3,-,-,-
46,桃園市,2003/03,中壢,4.6,1.09,-,-,-,-,54.58,22.83,31.75,2.651,0.58,2.07,17.34,-,-,-
47,桃園市,2003/03,大園,3.0,0.39,-,35.1,57,-,20.7,5.34,16.53,-,-,-,17.8,-,-,-
48,桃園市,2003/03,龍潭,2.0,0.62,-,24.8,43,-,25.63,4.69,21.02,-,-,-,16.65,-,-,-
49,桃園市,2003/03,平鎮,4.7,0.76,-,24.0,57,-,31.53,5.75,25.77,2.432,0.32,2.11,17.75,-,-,-
50,桃園市,2003/03,觀音,5.4,0.39,-,34.3,-,-,20.29,3.1,17.5,2.48,0.54,1.94,-,-,-,-
51,新竹縣,2003/03,竹東,1.6,0.51,-,31.9,50,-,19.57,3.0,16.74,-,-,-,17.32,-,-,-
52,新竹縣,2003/03,湖口,1.9,0.49,-,31.7,53,-,19.08,4.12,15.36,-,-,-,17.65,-,-,-
53,苗栗縣,2003/03,苗栗,3.6,0.56,-,31.9,59,-,25.08,4.25,20.82,-,-,-,16.99,-,-,-
54,苗栗縣,2003/03,頭份,4.3,-,-,-,51,-,29.34,9.28,20.59,2.569,0.3,2.27,17.51,-,-,-
55,苗栗縣,2003/03,三義,1.3,0.42,-,33.7,38,-,16.59,1.98,14.61,2.388,0.33,2.06,15.72,-,-,-
56,彰化縣,2003/03,彰化,4.1,0.78,-,25.4,76,-,34.15,8.31,25.84,2.439,0.49,1.95,19.48,-,-,-
57,彰化縣,2003/03,線西,3.3,-,-,-,72,-,21.77,2.89,18.53,2.412,0.18,2.23,18.17,-,-,-
58,彰化縣,2003/03,二林,5.2,0.44,-,32.0,77,-,17.34,2.33,15.46,-,-,-,18.19,-,-,-
59,南投縣,2003/03,南投,2.5,0.75,-,23.9,75,-,32.34,6.86,25.47,2.87,0.43,2.44,19.59,-,-,-
60,南投縣,2003/03,埔里,3.1,0.73,-,32.8,105,-,16.76,2.52,14.26,2.31,0.2,2.11,19.2,-,-,-
61,南投縣,2003/03,竹山,2.1,0.64,-,18.7,81,-,28.98,4.54,24.03,-,-,-,19.51,-,-,-
62,雲林縣,2003/03,斗六,2.9,0.63,-,24.9,81,-,26.16,4.02,22.02,-,-,-,19.12,-,-,-
63,雲林縣,2003/03,崙背,2.0,0.44,-,33.9,68,-,19.27,2.14,17.18,2.773,0.35,2.42,19.14,-,-,-
64,雲林縣,2003/03,臺西,5.4,0.41,-,33.6,69,-,15.78,2.17,13.66,-,-,-,19.25,-,-,-
65,嘉義縣,2003/03,朴子,3.1,0.46,-,35.3,78,-,17.22,2.28,14.95,-,-,-,19.38,-,-,-
66,嘉義縣,2003/03,新港,2.8,0.48,-,32.5,80,-,20.76,3.15,17.61,-,-,-,19.37,-,-,-
67,屏東縣,2003/03,屏東,4.9,0.78,-,31.5,84,-,25.32,-,-,2.567,0.26,2.31,22.54,-,-,-
68,屏東縣,2003/03,潮州,4.0,0.6,-,30.3,88,-,28.67,4.83,24.8,-,-,-,21.97,-,-,-
69,屏東縣,2003/03,恆春,0.1,0.27,388.38,44.4,27,-,0.94,0.03,0.91,-,-,-,22.06,-,-,-
70,臺東縣,2003/03,臺東,0.3,0.56,-,33.6,32,-,10.64,1.47,9.17,2.321,0.21,2.11,20.63,-,-,-
71,花蓮縣,2003/03,花蓮,0.7,0.7,-,24.2,29,-,19.9,4.2,15.7,2.457,0.36,2.1,20.11,-,-,-
72,金門縣,2003/03,金門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,連江縣,2003/03,馬祖,2.4,0.34,-,56.2,35,-,5.47,1.05,4.41,-,-,-,12.28,-,-,-
,,,,,,,,,,,,,,,,,,,
