序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/01,松山,2.6,1.2,11.7,51.0,61,26,35.84,-,-,-,15.59,-,-
2,臺北市,1997/01,古亭,3.5,1.28,14.1,65.0,62,32,29.99,2.58,0.49,2.09,15.63,-,-
3,臺北市,1997/01,中山,4.4,1.34,12.5,57.0,70,33,36.95,3.05,0.61,2.45,15.78,-,-
4,臺北市,1997/01,大同,12.6,4.21,-,60.0,206,155,50.19,4.66,2.18,2.48,16.05,-,-
5,臺北市,1997/01,萬華,3.2,1.19,13.9,58.0,49,17,32.71,-,-,-,15.64,-,-
6,臺北市,1997/01,陽明,1.1,0.28,31.3,17.0,2,0,2.19,-,-,-,9.06,-,-
7,臺北市,1997/01,士林,2.5,0.94,19.5,55.0,45,19,26.0,-,-,-,15.68,-,-
8,新北市,1997/01,板橋,5.7,1.24,15.6,68.0,59,23,35.96,2.72,0.66,2.07,16.08,-,-
9,新北市,1997/01,三重,6.2,2.97,-,120.0,169,126,42.73,-,-,-,16.29,-,-
10,新北市,1997/01,菜寮,4.8,1.43,12.4,79.0,64,30,34.07,-,-,-,15.83,-,-
11,新北市,1997/01,永和,4.9,2.12,-,62.0,95,59,36.17,3.31,0.86,2.44,17.17,-,-
12,新北市,1997/01,新莊,4.6,0.96,18.0,50.0,49,19,30.93,3.1,0.7,2.4,15.57,-,-
13,新北市,1997/01,新店,2.0,0.74,22.1,43.0,30,7,22.6,-,-,-,15.38,-,-
14,新北市,1997/01,淡水,1.9,0.67,27.2,52.0,22,6,16.69,-,-,-,15.28,-,-
15,新北市,1997/01,汐止,4.0,0.93,14.8,58.0,64,31,33.0,-,-,-,14.59,-,-
16,新北市,1997/01,土城,3.9,0.94,15.9,57.0,45,16,28.62,-,-,-,15.55,-,-
17,新北市,1997/01,林口,2.7,0.54,30.7,42.0,23,4,18.27,-,-,-,13.25,-,-
18,新北市,1997/01,萬里,1.3,0.37,26.4,48.0,8,2,6.89,2.15,0.08,2.08,15.19,-,-
19,臺中市,1997/01,西屯,3.9,0.67,21.8,79.0,37,14,22.58,2.35,0.38,1.97,16.1,-,-
20,臺中市,1997/01,忠明,5.0,1.2,16.4,75.0,62,25,36.54,-,-,-,15.74,-,-
