序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/09,松山,9.3,1.01,19.0,50.0,43,13,30.26,-,-,-,27.01,-,-
2,臺北市,1995/09,古亭,5.5,1.0,16.4,46.0,45,17,28.29,2.38,0.35,2.02,27.34,-,-
3,臺北市,1995/09,中山,7.9,1.21,15.9,54.0,51,19,31.7,2.52,0.44,2.08,27.34,-,-
4,臺北市,1995/09,大同,19.7,4.53,-,71.0,186,137,48.53,4.25,1.99,2.26,28.1,-,-
5,臺北市,1995/09,萬華,8.1,1.07,18.7,44.0,39,9,29.88,-,-,-,27.26,-,-
6,臺北市,1995/09,陽明,4.0,0.25,42.9,27.0,4,0,3.9,-,-,-,20.86,-,-
7,臺北市,1995/09,士林,7.5,0.74,22.3,44.0,29,8,21.0,-,-,-,27.25,-,-
8,新北市,1995/09,板橋,11.6,1.04,18.5,61.0,43,12,30.74,2.43,0.55,1.88,27.49,-,-
9,新北市,1995/09,三重,-,-,-,-,-,-,-,-,-,-,-,-,-
10,新北市,1995/09,菜寮,10.6,1.13,16.9,51.0,40,13,27.21,-,-,-,27.63,-,-
11,新北市,1995/09,新莊,12.7,0.81,22.5,41.0,33,9,24.61,2.53,0.42,2.11,26.97,-,-
12,新北市,1995/09,新店,3.8,0.64,27.0,40.0,20,3,17.13,-,-,-,27.07,-,-
13,新北市,1995/09,淡水,3.7,0.73,22.5,42.0,19,4,14.45,-,-,-,27.74,-,-
14,新北市,1995/09,汐止,10.5,0.82,18.4,69.0,51,21,29.31,-,-,-,26.18,-,-
15,新北市,1995/09,土城,6.6,0.76,23.4,46.0,29,7,21.6,-,-,-,27.45,-,-
16,新北市,1995/09,林口,7.1,0.53,21.0,43.0,-,-,-,-,-,-,25.19,-,-
17,新北市,1995/09,萬里,2.4,0.35,34.8,60.0,9,1,7.13,2.1,0.09,2.01,25.91,-,-
18,臺中市,1995/09,西屯,5.6,0.59,25.0,67.0,26,8,18.77,2.3,0.25,2.06,27.61,-,-
19,臺中市,1995/09,忠明,6.3,1.01,29.4,71.0,38,10,27.81,-,-,-,27.74,-,-
20,臺中市,1995/09,豐原,7.7,0.87,25.3,68.0,30,5,24.79,-,-,-,26.63,-,-
21,臺中市,1995/09,沙鹿,5.4,0.55,22.1,55.0,22,5,17.8,-,-,-,27.22,-,-
22,臺中市,1995/09,大里,-,0.86,22.4,78.0,32,7,24.73,-,-,-,28.15,-,-
23,臺南市,1995/09,新營,4.5,0.52,23.3,64.0,19,3,16.64,-,-,-,27.7,-,-
24,臺南市,1995/09,善化,3.8,0.43,46.0,55.0,15,3,12.62,-,-,-,27.11,-,-
25,臺南市,1995/09,安南,5.8,0.5,28.4,72.0,20,5,14.87,-,-,-,27.92,-,-
26,臺南市,1995/09,臺南,7.1,0.85,20.9,88.0,26,5,20.7,2.06,0.28,1.78,27.92,-,-
27,高雄市,1995/09,左營,8.5,0.75,28.6,58.0,24,4,19.81,2.47,0.22,2.25,27.62,-,-
28,高雄市,1995/09,楠梓,5.9,0.56,21.5,64.0,31,7,23.39,2.76,0.32,2.45,28.79,-,-
29,高雄市,1995/09,前金,8.2,0.83,29.5,75.0,27,5,22.18,-,-,-,28.06,-,-
30,高雄市,1995/09,前鎮,13.8,-,-,81.0,33,7,26.18,2.23,0.28,1.96,27.9,-,-
31,高雄市,1995/09,小港,12.9,0.8,26.5,80.0,36,9,26.48,2.39,0.22,2.17,29.27,-,-
32,高雄市,1995/09,鳳山,11.1,0.94,27.5,79.0,36,7,28.29,-,-,-,28.27,-,-
33,高雄市,1995/09,林園,6.2,0.49,31.7,90.0,15,2,12.57,2.28,0.22,2.06,27.94,-,-
34,高雄市,1995/09,大寮,8.5,0.69,25.5,77.0,21,3,18.08,-,-,-,27.63,-,-
35,高雄市,1995/09,仁武,9.0,0.68,19.5,86.0,34,10,24.28,3.59,0.57,3.02,28.77,-,-
36,高雄市,1995/09,橋頭,5.1,0.6,19.9,69.0,24,6,18.89,2.16,0.13,2.03,27.55,-,-
37,高雄市,1995/09,美濃,2.7,0.48,34.6,58.0,11,1,10.53,-,-,-,26.97,-,-
38,基隆市,1995/09,基隆,8.7,0.79,26.7,47.0,34,11,22.74,2.5,0.35,2.15,26.4,-,-
39,新竹市,1995/09,新竹,6.2,0.69,23.5,38.0,28,7,20.8,3.49,0.51,2.98,26.78,-,-
40,嘉義市,1995/09,嘉義,5.8,0.76,29.4,50.0,29,5,23.62,2.33,0.28,2.05,27.93,-,-
41,宜蘭縣,1995/09,宜蘭,1.6,0.58,21.5,33.0,15,3,12.02,-,-,-,26.08,-,-
42,宜蘭縣,1995/09,冬山,2.6,-,-,38.0,18,7,11.31,1.97,0.15,1.82,25.95,-,-
43,桃園市,1995/09,桃園,13.9,0.77,18.7,47.0,31,8,23.57,2.49,0.32,2.16,26.59,-,-
44,桃園市,1995/09,中壢,-,-,-,-,-,-,-,-,-,-,-,-,-
45,桃園市,1995/09,大園,5.3,0.51,28.2,31.0,19,4,14.58,-,-,-,26.78,-,-
46,桃園市,1995/09,龍潭,5.9,0.55,22.9,53.0,24,6,18.6,-,-,-,25.52,-,-
47,桃園市,1995/09,平鎮,8.4,0.7,21.6,32.0,29,6,22.56,-,-,-,27.15,-,-
48,桃園市,1995/09,觀音,8.9,0.32,28.9,45.0,13,2,11.21,2.06,0.11,1.95,26.57,-,-
49,新竹縣,1995/09,竹東,2.0,0.44,26.1,50.0,18,4,14.62,-,-,-,26.57,-,-
50,新竹縣,1995/09,湖口,5.8,0.57,23.7,46.0,24,7,16.73,-,-,-,27.35,-,-
51,苗栗縣,1995/09,苗栗,6.7,0.62,-,55.0,30,9,21.68,-,-,-,26.99,-,-
52,苗栗縣,1995/09,頭份,61.0,-,-,51.0,45,20,25.59,2.22,0.13,2.1,27.15,-,-
53,苗栗縣,1995/09,三義,2.6,0.46,26.5,57.0,22,6,16.17,2.15,0.13,2.02,24.01,-,-
54,彰化縣,1995/09,彰化,9.2,0.96,18.3,79.0,40,12,27.6,2.9,0.39,2.51,27.94,-,-
55,彰化縣,1995/09,線西,6.7,-,-,54.0,26,7,18.64,2.11,0.11,1.99,27.1,-,-
56,彰化縣,1995/09,二林,4.4,0.45,24.6,60.0,21,5,16.78,-,-,-,27.0,-,-
57,南投縣,1995/09,南投,2.9,0.7,29.8,67.0,26,5,21.26,-,-,-,27.26,-,-
58,雲林縣,1995/09,斗六,6.4,0.83,25.1,65.0,26,6,20.24,-,-,-,27.49,-,-
59,雲林縣,1995/09,崙背,4.7,0.5,23.8,80.0,24,6,18.33,-,-,-,27.16,-,-
60,雲林縣,1995/09,臺西,1.3,0.31,24.7,75.0,10,1,7.66,-,-,-,27.19,-,-
61,嘉義縣,1995/09,朴子,3.2,0.4,20.6,53.0,16,3,13.7,-,-,-,27.85,-,-
62,嘉義縣,1995/09,新港,3.0,0.5,27.7,74.0,19,4,15.26,-,-,-,27.21,-,-
63,屏東縣,1995/09,屏東,6.3,0.78,30.5,80.0,25,2,23.16,2.57,0.31,2.26,27.42,-,-
64,屏東縣,1995/09,潮州,2.0,0.47,22.3,80.0,16,1,15.16,-,-,-,28.34,-,-
65,屏東縣,1995/09,恆春,0.2,0.09,24.8,16.0,0,0,0.27,-,-,-,26.97,-,-
66,臺東縣,1995/09,臺東,0.4,0.58,17.4,36.0,10,3,7.17,2.01,0.11,1.9,27.25,-,-
67,花蓮縣,1995/09,花蓮,0.8,0.64,13.6,30.0,18,6,11.6,2.06,0.19,1.87,26.93,-,-
,,,,,,,,,,,,,,,,
