序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/12,松山,3.3,0.82,-,17.6,54,-,48.25,19.34,28.91,-,-,-,17.66,-,-,-
2,臺北市,2001/12,古亭,2.6,0.83,-,18.1,39,23,42.25,15.08,27.03,2.399,0.38,2.02,18.23,-,-,-
3,臺北市,2001/12,中山,2.5,0.86,-,17.7,56,-,45.75,16.59,29.16,2.472,0.32,2.15,18.7,-,-,-
4,臺北市,2001/12,大同,4.8,2.63,-,-,64,-,147.52,104.07,43.44,3.642,1.31,2.34,18.9,-,-,-
5,臺北市,2001/12,萬華,2.3,0.88,-,18.5,41,-,31.4,6.94,24.46,-,-,-,18.18,-,-,-
6,臺北市,2001/12,陽明,1.4,0.31,-,44.2,20,-,2.89,0.12,2.77,-,-,-,12.54,-,-,-
7,臺北市,2001/12,士林,2.1,0.64,-,24.5,45,-,25.63,7.35,18.27,-,-,-,17.77,-,-,-
8,新北市,2001/12,板橋,3.7,0.89,-,19.3,42,-,37.08,9.97,27.11,2.441,0.35,2.09,-,-,-,-
9,新北市,2001/12,三重,5.0,2.31,-,-,65,-,149.16,107.87,41.3,3.073,0.74,2.33,-,-,-,-
10,新北市,2001/12,菜寮,3.6,0.97,-,19.3,52,-,41.71,14.49,27.08,-,-,-,18.86,-,-,-
11,新北市,2001/12,永和,4.2,1.26,-,16.8,34,-,54.67,25.92,28.75,2.546,0.54,2.01,-,-,-,-
12,新北市,2001/12,新莊,3.4,0.79,-,20.0,53,-,34.93,8.65,26.4,2.373,0.39,1.98,18.0,-,-,-
13,新北市,2001/12,新店,1.7,0.63,-,22.8,34,-,23.73,5.59,18.14,-,-,-,18.53,-,-,-
14,新北市,2001/12,淡水,1.4,0.59,-,29.4,38,-,16.57,3.24,13.33,-,-,-,17.73,-,-,-
15,新北市,2001/12,汐止,3.3,0.63,-,23.5,52,-,31.46,11.89,19.57,-,-,-,17.59,-,-,-
16,新北市,2001/12,土城,2.8,0.76,-,23.2,43,-,33.55,11.05,22.67,-,-,-,19.22,-,-,-
17,新北市,2001/12,林口,2.0,0.47,-,30.6,41,-,16.78,2.48,14.46,-,-,-,16.68,-,-,-
18,新北市,2001/12,萬里,1.6,0.32,-,38.0,46,-,6.09,0.81,5.26,1.916,0.03,1.88,17.41,-,-,-
19,臺中市,2001/12,西屯,2.9,0.71,-,22.4,85,-,32.1,11.14,20.96,2.289,0.26,2.03,18.06,-,-,-
20,臺中市,2001/12,忠明,3.6,0.98,-,17.3,82,-,51.92,17.88,34.57,-,-,-,19.01,-,-,-
21,臺中市,2001/12,豐原,3.2,0.91,-,20.9,67,-,36.87,9.62,27.29,-,-,-,17.5,-,-,-
22,臺中市,2001/12,沙鹿,4.6,0.65,-,20.3,81,-,30.13,7.53,22.61,-,-,-,18.6,-,-,-
23,臺中市,2001/12,大里,3.0,1.04,-,17.4,76,-,45.22,13.51,31.71,-,-,-,19.43,-,-,-
24,臺南市,2001/12,新營,3.6,0.57,-,20.5,81,-,33.6,8.88,24.91,2.31,0.23,2.08,19.0,-,-,-
25,臺南市,2001/12,善化,4.3,0.59,-,24.1,71,-,28.06,6.13,21.94,-,-,-,19.02,-,-,-
26,臺南市,2001/12,安南,5.2,0.62,-,24.2,84,-,29.73,6.29,23.55,-,-,-,19.34,-,-,-
27,臺南市,2001/12,臺南,4.3,0.77,-,24.1,95,-,35.69,7.42,28.27,-,-,-,19.54,-,-,-
