序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/04,松山,3.6,0.54,430.18,32.7,41,21,30.34,6.89,23.45,1.81,22.5,72.72
2,臺北市,2015/04,古亭,3.2,0.55,-,29.4,52,24,26.95,5.36,21.59,2.17,22.75,75.82
3,臺北市,2015/04,中山,3.6,0.73,-,27.5,57,22,38.57,10.53,28.04,2.0,23.35,74.11
4,臺北市,2015/04,大同,4.1,1.38,-,-,58,21,70.88,35.77,35.11,-,-,-
5,臺北市,2015/04,萬華,3.3,0.61,-,30.4,41,21,31.58,5.87,25.71,2.11,22.84,72.47
6,臺北市,2015/04,陽明,1.9,0.23,414.75,51.6,20,14,4.8,1.22,3.56,-,16.36,90.84
7,臺北市,2015/04,士林,2.7,0.43,-,37.0,38,20,19.23,3.18,16.05,1.99,22.66,71.88
8,新北市,2015/04,板橋,4.0,0.64,-,30.6,51,23,30.81,6.13,24.67,2.13,22.94,69.41
9,新北市,2015/04,三重,3.7,1.44,-,-,63,20,89.89,51.18,38.71,-,23.12,71.85
10,新北市,2015/04,菜寮,3.2,0.58,-,27.3,43,21,26.09,4.81,21.28,2.3,22.95,70.68
11,新北市,2015/04,永和,3.2,0.9,-,30.3,43,22,36.95,12.23,24.72,1.94,22.41,73.3
12,新北市,2015/04,新莊,3.7,0.64,-,31.2,45,27,28.82,6.05,22.77,2.53,23.22,74.97
13,新北市,2015/04,新店,2.9,0.46,-,34.5,38,23,19.46,3.14,16.32,1.75,22.98,75.8
14,新北市,2015/04,淡水,2.6,0.4,-,33.6,42,16,15.36,2.78,12.58,-,-,-
15,新北市,2015/04,汐止,5.3,0.44,-,29.3,41,22,28.01,7.58,20.43,1.65,22.26,79.21
16,新北市,2015/04,土城,3.5,0.55,-,34.1,48,27,25.29,5.28,20.01,1.54,22.82,73.33
17,新北市,2015/04,林口,3.1,0.38,-,38.2,52,25,19.67,3.09,16.59,1.78,21.24,81.7
18,新北市,2015/04,萬里,3.0,0.25,-,43.4,49,21,9.17,1.93,7.24,3.44,21.74,82.22
19,臺中市,2015/04,西屯,3.0,0.31,-,35.7,47,22,16.32,2.48,13.84,2.77,23.64,71.36
20,臺中市,2015/04,忠明,3.2,0.41,-,30.3,44,23,18.57,2.65,15.91,1.82,24.32,68.25
21,臺中市,2015/04,豐原,2.9,0.42,-,34.6,33,23,14.1,1.85,12.24,2.53,22.65,68.88
22,臺中市,2015/04,沙鹿,3.1,0.33,-,36.1,51,19,15.59,2.15,13.45,3.6,24.23,73.22
23,臺中市,2015/04,大里,2.9,0.43,424.5,31.2,52,23,19.87,2.95,16.92,2.07,25.0,66.77
24,臺南市,2015/04,新營,3.0,0.35,-,32.1,60,22,15.28,1.92,13.36,2.27,24.99,68.58
25,臺南市,2015/04,善化,3.3,0.32,416.23,31.7,49,25,13.62,1.9,11.72,2.96,24.86,73.07
26,臺南市,2015/04,安南,2.9,0.34,-,32.7,57,21,14.63,2.58,12.05,2.63,25.3,74.0
27,臺南市,2015/04,臺南,3.2,0.42,-,35.7,50,20,14.34,1.32,13.01,2.3,25.79,68.89
28,高雄市,2015/04,左營,3.8,0.39,-,32.5,60,25,17.31,2.42,14.88,2.68,25.66,71.62
29,高雄市,2015/04,楠梓,3.3,0.4,-,31.0,73,20,18.83,3.04,15.78,2.3,26.08,71.8
30,高雄市,2015/04,前金,4.6,0.39,-,33.2,62,23,17.88,2.62,15.26,2.44,25.8,70.38
31,高雄市,2015/04,前鎮,5.1,0.45,-,28.5,55,18,23.09,4.33,18.75,2.0,26.04,70.34
32,高雄市,2015/04,復興,4.9,0.57,-,20.7,53,22,23.34,4.32,19.02,0.99,26.01,68.99
33,高雄市,2015/04,小港,8.3,0.43,-,27.9,62,24,26.17,5.67,20.51,2.27,26.14,70.2
34,高雄市,2015/04,鳳山,5.4,0.51,-,28.2,72,23,21.45,3.52,17.93,1.95,26.42,65.92
35,高雄市,2015/04,林園,5.1,0.33,-,35.8,41,25,14.66,2.3,12.35,2.51,26.12,70.53
36,高雄市,2015/04,大寮,5.3,0.39,-,29.4,49,26,19.05,2.72,16.33,1.89,25.48,73.42
37,高雄市,2015/04,仁武,4.9,0.41,-,28.0,67,22,21.46,3.42,18.04,2.04,25.65,69.42
38,高雄市,2015/04,橋頭,3.8,0.38,-,31.7,59,20,16.42,2.56,13.86,2.74,25.46,71.05
39,高雄市,2015/04,美濃,2.2,0.32,-,35.0,47,18,9.92,1.61,8.3,1.36,26.51,64.31
40,基隆市,2015/04,基隆,2.5,0.39,-,36.0,33,20,14.95,3.0,11.95,1.22,22.13,84.87
41,新竹市,2015/04,新竹,2.8,0.44,-,32.6,40,24,18.69,2.85,15.84,2.15,22.67,73.59
42,嘉義市,2015/04,嘉義,2.9,0.38,-,33.2,57,25,14.21,2.22,12.0,2.39,25.61,68.25
43,宜蘭縣,2015/04,宜蘭,1.8,0.34,417.53,35.7,38,17,8.03,1.28,6.75,1.4,22.69,76.16
44,宜蘭縣,2015/04,冬山,2.2,0.3,-,34.4,33,17,12.35,3.02,9.33,1.62,22.23,83.67
45,桃園市,2015/04,桃園,5.0,0.53,-,33.2,46,23,23.41,3.99,19.42,1.56,22.77,77.72
46,桃園市,2015/04,中壢,4.2,1.06,-,23.8,64,20,48.64,19.63,29.01,1.33,22.42,73.29
47,桃園市,2015/04,大園,4.0,0.34,-,35.2,52,23,19.22,3.36,15.86,4.15,22.03,76.57
48,桃園市,2015/04,龍潭,2.9,0.41,-,37.7,54,23,17.18,2.87,14.32,2.73,21.89,75.93
49,桃園市,2015/04,平鎮,3.8,0.42,-,31.5,50,23,21.24,2.66,18.57,2.46,22.24,77.91
50,桃園市,2015/04,觀音,5.1,0.29,-,37.3,56,21,15.49,1.64,13.82,3.89,21.54,77.08
51,新竹縣,2015/04,竹東,2.2,0.33,-,35.1,42,22,12.34,1.79,10.55,1.86,22.58,76.07
52,新竹縣,2015/04,湖口,3.2,0.32,-,37.1,45,16,14.99,2.36,12.63,3.54,22.38,79.83
53,苗栗縣,2015/04,苗栗,3.3,0.38,-,31.4,69,24,16.56,2.04,14.51,2.36,22.76,72.88
54,苗栗縣,2015/04,頭份,2.9,0.34,-,34.6,47,20,16.26,2.33,13.93,2.52,22.89,73.92
55,苗栗縣,2015/04,三義,2.3,0.29,-,36.3,38,21,10.64,1.56,9.08,3.36,21.36,82.55
56,彰化縣,2015/04,彰化,3.6,0.39,-,33.1,47,20,15.33,2.02,13.3,1.96,24.23,69.64
57,彰化縣,2015/04,線西,4.1,0.32,-,36.1,49,23,12.75,1.74,11.01,3.71,23.66,75.54
58,彰化縣,2015/04,二林,3.8,0.28,-,33.9,48,26,12.21,1.82,10.39,3.01,24.66,73.96
59,南投縣,2015/04,南投,2.5,0.42,-,30.2,56,24,16.68,2.39,14.29,1.76,25.59,67.18
60,南投縣,2015/04,埔里,1.9,0.37,-,38.6,45,31,13.12,1.77,11.35,1.77,24.14,66.18
61,南投縣,2015/04,竹山,2.7,0.33,-,33.7,58,30,15.6,2.55,13.06,1.69,24.23,69.29
62,雲林縣,2015/04,斗六,3.1,0.36,-,31.8,55,26,16.48,2.1,14.38,1.96,25.28,69.38
63,雲林縣,2015/04,崙背,3.3,0.31,-,31.1,54,28,11.91,1.29,10.62,2.88,23.89,73.15
64,雲林縣,2015/04,麥寮,2.8,0.29,-,36.6,72,28,10.67,1.83,8.83,3.35,22.82,77.6
65,雲林縣,2015/04,臺西,3.1,0.24,-,41.9,44,23,9.06,1.45,7.6,5.13,24.19,81.2
66,嘉義縣,2015/04,朴子,2.6,0.32,-,26.1,66,21,12.86,2.44,10.43,2.4,25.86,71.77
67,嘉義縣,2015/04,新港,2.8,0.32,-,33.3,59,22,11.63,2.09,9.54,2.56,24.15,76.69
68,屏東縣,2015/04,屏東,3.0,0.42,-,33.8,54,22,14.85,1.57,13.26,1.93,26.48,64.3
69,屏東縣,2015/04,潮州,2.9,0.31,-,34.2,56,24,12.42,1.77,10.64,1.88,25.54,71.02
70,屏東縣,2015/04,恆春,1.2,0.14,403.56,40.3,31,10,3.79,1.55,2.24,5.17,25.34,78.93
71,臺東縣,2015/04,臺東,1.1,0.36,-,32.0,22,9,7.46,1.96,5.5,1.95,24.5,74.41
72,臺東縣,2015/04,關山,1.1,-,-,28.2,20,9,4.55,1.71,2.84,1.57,22.73,77.84
73,花蓮縣,2015/04,花蓮,1.6,0.33,-,31.2,29,7,8.93,1.36,7.55,2.51,23.58,78.54
74,澎湖縣,2015/04,馬公,1.9,0.23,-,43.7,35,18,6.16,2.37,3.8,3.54,23.65,75.46
75,金門縣,2015/04,金門,4.5,0.31,-,38.8,58,27,13.75,2.15,11.61,3.15,20.92,72.68
76,連江縣,2015/04,馬祖,2.8,0.28,-,49.9,51,27,8.23,1.37,6.86,3.93,18.48,78.13
,,,,,,,,,,,,,,,
