序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppmC),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),大氣溫度
AMB_TEMP
(℃),降雨量
RAINFALL
(mm),酸雨pH值
pH_RAIN
52,苗栗縣,1996/04,頭份,25.8,-,-,67,43.72,16.96,26.76,2.262,0.26,2.01,18.5,-,-
53,苗栗縣,1996/04,三義,1.6,0.43,30.5,54,24.22,4.75,19.48,2.437,0.16,2.28,16.23,-,-
54,彰化縣,1996/04,彰化,6.8,0.94,23.8,73,46.85,11.88,34.95,2.744,0.36,2.39,19.58,-,-
55,彰化縣,1996/04,線西,5.9,-,-,51,24.58,4.2,20.3,2.211,0.12,2.09,18.75,-,-
56,彰化縣,1996/04,二林,4.4,0.47,38.1,65,18.79,2.41,16.35,-,-,-,18.96,-,-
57,南投縣,1996/04,南投,2.9,0.75,23.9,61,29.51,5.1,24.41,-,-,-,19.75,-,-
58,南投縣,1996/04,竹山,2.6,-,21.5,109,31.94,4.15,27.79,-,-,-,19.14,-,-
59,雲林縣,1996/04,斗六,2.6,0.82,23.7,76,30.48,6.26,24.23,-,-,-,19.62,-,-
60,雲林縣,1996/04,崙背,4.6,0.51,27.8,68,24.25,4.34,19.94,-,-,-,19.12,-,-
61,雲林縣,1996/04,臺西,4.5,0.35,38.1,59,13.84,1.44,12.4,-,-,-,19.29,-,-
62,嘉義縣,1996/04,朴子,5.2,0.44,30.2,76,19.99,2.42,17.63,-,-,-,19.84,-,-
63,嘉義縣,1996/04,新港,4.2,0.53,30.5,69,22.52,4.62,18.08,-,-,-,19.27,-,-
64,屏東縣,1996/04,屏東,2.4,0.81,14.3,100,29.83,3.98,25.84,3.036,0.41,2.63,21.96,-,-
65,屏東縣,1996/04,潮州,7.4,0.65,31.2,92,29.31,5.24,24.08,-,-,-,23.23,-,-
66,屏東縣,1996/04,恆春,0.4,0.25,48.8,25,0.86,0.06,0.8,-,-,-,22.39,-,-
67,臺東縣,1996/04,臺東,0.6,0.53,30.9,33,11.4,1.93,9.47,2.361,0.19,2.17,21.47,-,-
68,花蓮縣,1996/04,花蓮,1,0.7,25.7,37,23.68,5.67,18.01,2.473,0.24,2.24,20.42,-,-
,,,,,,,,,,,,,,,,
