序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/02,松山,2.6,0.64,427.17,25.9,41,33,10.52,22.84,2.22,0.221,1.999,18.27,78.73
2,臺北市,2013/02,古亭,3.0,0.67,-,23.8,51,40,11.27,28.31,2.17,0.217,1.952,18.64,79.75
3,臺北市,2013/02,中山,3.0,0.86,-,19.1,45,48,19.49,28.4,2.38,0.299,2.081,19.42,75.96
4,臺北市,2013/02,大同,3.5,1.49,-,-,51,75,40.92,34.01,2.61,0.524,2.088,-,-
5,臺北市,2013/02,萬華,3.3,0.74,-,20.5,46,38,11.55,26.69,-,-,-,19.1,77.26
6,臺北市,2013/02,陽明,1.2,0.23,412.68,41.5,10,3,1.09,1.91,-,-,-,13.28,96.31
7,臺北市,2013/02,士林,2.2,0.49,-,29.3,48,22,6.06,15.5,-,-,-,18.97,79.15
8,新北市,2013/02,板橋,3.9,0.73,-,24.8,48,34,9.51,24.56,2.35,0.308,2.045,19.14,74.45
9,新北市,2013/02,三重,3.4,1.73,-,-,66,114,73.68,39.93,2.76,0.673,2.085,18.82,73.24
10,新北市,2013/02,菜寮,2.9,0.68,-,18.7,41,30,9.13,20.98,-,-,-,18.77,75.35
11,新北市,2013/02,永和,2.8,0.95,-,23.1,38,41,17.67,23.64,2.31,0.322,1.985,19.19,82.66
12,新北市,2013/02,新莊,4.1,0.66,-,27.6,43,34,11.21,22.45,-,-,-,18.75,76.22
13,新北市,2013/02,新店,3.0,0.58,-,27.0,37,24,5.86,18.44,-,-,-,19.3,77.27
14,新北市,2013/02,淡水,2.3,0.41,-,33.8,37,15,4.0,11.24,-,-,-,-,-
15,新北市,2013/02,汐止,3.3,0.53,-,24.2,36,31,11.08,19.88,-,-,-,18.23,86.21
16,新北市,2013/02,土城,4.0,0.64,-,26.8,43,32,10.25,21.34,2.34,0.3,2.038,19.37,78.88
17,新北市,2013/02,林口,2.6,0.37,-,31.3,33,17,3.35,13.26,-,-,-,16.97,90.03
18,新北市,2013/02,萬里,1.8,0.29,-,40.1,47,8,1.7,6.21,-,-,-,17.33,82.11
19,臺中市,2013/02,西屯,2.0,0.45,-,30.3,65,22,6.04,15.81,2.05,0.206,1.843,19.43,76.28
