序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
20,臺中市,2013/02,忠明,2.3,0.62,-,25.0,56,31,10.35,20.23,2.13,0.203,1.927,19.1,71.8
21,臺中市,2013/02,豐原,2.7,0.44,-,31.0,53,13,2.38,10.51,1.97,0.08,1.885,17.44,72.43
22,臺中市,2013/02,沙鹿,2.1,0.41,-,34.0,57,16,3.03,12.82,-,-,-,17.84,80.05
23,臺中市,2013/02,大里,2.7,0.61,428.76,26.9,68,28,5.98,21.57,2.16,0.247,1.911,19.66,70.87
24,臺南市,2013/02,新營,2.8,0.47,-,30.9,106,19,3.09,15.83,2.16,0.104,2.056,19.99,79.06
25,臺南市,2013/02,善化,2.8,0.42,428.32,29.8,85,17,2.36,14.46,-,-,-,19.76,74.61
26,臺南市,2013/02,安南,3.2,0.41,-,35.3,93,16,3.05,13.33,2.09,0.138,1.953,20.03,73.61
27,臺南市,2013/02,臺南,2.9,0.56,-,33.4,94,19,2.4,16.67,2.09,0.2,1.893,20.61,75.33
28,高雄市,2013/02,左營,4.0,0.59,-,34.2,98,21,3.8,17.35,2.26,0.195,2.068,21.49,74.57
29,高雄市,2013/02,楠梓,3.4,0.5,-,32.7,110,22,3.52,18.93,2.03,0.157,1.874,21.44,73.73
30,高雄市,2013/02,前金,4.3,0.64,-,33.0,110,24,3.26,21.09,2.21,0.209,2.0,21.85,72.45
31,高雄市,2013/02,前鎮,4.6,0.63,-,31.5,91,29,4.25,24.67,2.28,0.277,1.999,21.86,71.17
32,高雄市,2013/02,復興,5.7,0.89,-,28.9,99,34,7.04,27.17,2.49,0.389,2.102,22.19,70.55
33,高雄市,2013/02,小港,7.8,0.65,-,29.3,95,37,6.9,30.25,2.22,0.277,1.942,22.62,69.71
34,高雄市,2013/02,鳳山,7.9,0.69,-,28.9,110,31,4.69,26.31,2.43,0.336,2.09,22.99,69.61
35,高雄市,2013/02,林園,7.3,0.48,-,35.3,59,26,3.48,22.39,2.21,0.161,2.051,21.72,71.29
36,高雄市,2013/02,大寮,5.8,0.54,-,35.1,83,24,2.8,20.98,2.24,0.216,2.019,22.56,73.53
37,高雄市,2013/02,仁武,6.2,0.54,-,30.8,99,28,4.79,23.0,2.23,0.236,1.989,21.5,73.95
38,高雄市,2013/02,橋頭,3.4,0.51,-,31.3,93,20,3.12,16.47,-,-,-,21.4,75.45
39,高雄市,2013/02,美濃,1.8,0.42,-,35.8,72,12,1.98,9.64,-,-,-,22.71,72.7
40,基隆市,2013/02,基隆,2.5,0.48,-,27.9,26,20,5.5,14.17,2.11,0.138,1.976,18.0,90.1
41,新竹市,2013/02,新竹,2.6,0.5,-,30.8,55,20,4.61,15.36,2.1,0.171,1.931,17.44,81.27
42,嘉義市,2013/02,嘉義,3.2,0.55,-,26.8,89,20,3.04,16.62,2.11,0.167,1.938,20.21,73.54
43,宜蘭縣,2013/02,宜蘭,1.3,0.35,418.6,28.3,30,9,1.61,7.24,-,-,-,19.1,84.27
44,宜蘭縣,2013/02,冬山,1.7,0.38,-,23.7,26,15,4.28,10.29,-,-,-,18.95,87.78
45,桃園市,2013/02,桃園,4.8,0.62,-,26.2,50,26,6.07,19.53,2.16,0.206,1.952,18.38,79.42
46,桃園市,2013/02,中壢,3.8,0.9,-,23.6,69,43,16.65,25.9,2.51,0.359,2.148,17.17,82.31
47,桃園市,2013/02,大園,3.6,0.37,-,34.5,48,19,5.13,14.02,-,-,-,17.2,86.25
48,桃園市,2013/02,龍潭,2.5,0.5,-,29.8,58,21,4.46,16.14,-,-,-,17.15,79.57
49,桃園市,2013/02,平鎮,3.6,0.47,-,28.6,58,22,4.1,17.78,-,-,-,17.2,84.98
50,桃園市,2013/02,觀音,5.0,0.34,-,33.7,61,10,2.16,8.31,-,-,-,16.34,87.78
51,新竹縣,2013/02,竹東,1.8,0.44,-,26.7,45,17,3.21,13.6,-,-,-,18.27,82.04
52,新竹縣,2013/02,湖口,2.6,0.36,-,36.0,48,14,2.77,10.99,-,-,-,16.99,84.68
53,苗栗縣,2013/02,苗栗,2.7,0.48,-,26.0,62,22,5.93,16.01,-,-,-,17.56,83.38
54,苗栗縣,2013/02,頭份,2.6,0.43,-,30.8,54,18,4.32,14.11,2.13,0.115,2.01,17.43,81.56
55,苗栗縣,2013/02,三義,1.8,0.36,-,29.2,40,14,2.7,11.49,-,-,-,16.14,87.1
56,彰化縣,2013/02,彰化,2.8,0.53,-,29.5,65,21,4.09,16.65,1.81,0.182,1.63,18.49,74.58
57,彰化縣,2013/02,線西,3.7,0.41,-,36.1,67,17,3.38,13.3,1.71,0.096,1.615,17.49,84.51
58,彰化縣,2013/02,二林,3.5,0.39,-,30.6,80,14,2.26,11.74,-,-,-,18.62,79.52
59,南投縣,2013/02,南投,2.3,0.55,-,26.5,72,23,4.42,18.61,2.12,0.191,1.924,19.79,70.46
60,南投縣,2013/02,埔里,1.6,0.48,-,30.1,52,16,2.24,13.97,-,-,-,20.43,72.73
61,南投縣,2013/02,竹山,2.5,0.43,-,29.0,68,17,2.41,14.62,-,-,-,19.43,71.08
62,雲林縣,2013/02,斗六,2.7,0.46,-,30.3,84,17,2.62,14.56,-,-,-,20.32,72.42
63,雲林縣,2013/02,崙背,3.0,0.42,-,32.6,77,15,2.33,12.63,-,-,-,19.27,83.39
64,雲林縣,2013/02,麥寮,2.4,0.34,-,38.4,69,11,2.2,8.98,1.92,0.052,1.868,20.95,86.76
65,雲林縣,2013/02,臺西,2.3,0.35,-,42.1,60,9,1.63,7.47,1.99,0.07,1.92,18.64,84.41
66,嘉義縣,2013/02,朴子,2.5,0.39,-,32.6,96,13,2.07,10.72,-,-,-,19.49,76.48
67,嘉義縣,2013/02,新港,2.7,0.44,-,32.5,99,14,2.36,11.93,-,-,-,19.3,76.97
68,屏東縣,2013/02,屏東,3.6,0.58,-,35.5,88,17,1.82,15.41,2.1,0.166,1.938,22.73,70.51
69,屏東縣,2013/02,潮州,3.4,0.45,-,35.7,101,14,1.47,12.08,-,-,-,22.32,76.58
70,屏東縣,2013/02,恆春,0.7,0.18,400.87,42.8,24,2,0.86,0.94,-,-,-,22.56,78.22
71,臺東縣,2013/02,臺東,1.1,0.36,-,31.8,27,8,2.09,5.82,-,-,-,22.09,77.65
72,臺東縣,2013/02,關山,1.1,-,-,30.1,20,5,1.21,3.72,-,-,-,20.7,80.28
73,花蓮縣,2013/02,花蓮,0.9,0.41,-,27.1,22,12,2.51,9.2,-,-,-,21.47,80.5
74,澎湖縣,2013/02,馬公,2.5,0.33,-,43.7,53,5,1.11,4.24,-,-,-,17.56,79.33
75,金門縣,2013/02,金門,3.7,0.5,-,31.8,68,15,2.7,12.32,-,-,-,15.22,77.58
76,連江縣,2013/02,馬祖,2.2,0.42,-,44.1,50,8,1.63,6.21,-,-,-,10.98,88.13
,,,,,,,,,,,,,,,,
