序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2005/06,松山,5.2,0.77,410.27,23.0,47,24,43.19,16.81,26.38,-,-,-,28.71,-,-,70.67,-
2,臺北市,2005/06,古亭,4.8,0.86,-,19.7,46,28,47.14,18.37,28.76,2.458,0.353,2.106,27.73,-,-,74.13,-
3,臺北市,2005/06,中山,5.9,1.09,-,14.2,47,29,57.57,25.97,31.6,2.406,0.712,1.694,28.57,-,-,68.69,-
4,臺北市,2005/06,大同,5.9,1.2,-,13.9,51,32,74.08,37.94,36.13,-,-,-,28.83,-,-,-,-
5,臺北市,2005/06,萬華,4.0,0.84,-,22.3,40,-,35.28,10.86,24.41,-,-,-,29.64,-,-,71.48,-
6,臺北市,2005/06,陽明,2.9,0.2,381.58,40.6,20,15,6.65,1.83,4.8,-,-,-,21.57,-,-,-,-
7,臺北市,2005/06,士林,5.2,0.54,-,23.7,42,23,27.46,8.48,18.98,-,-,-,28.44,-,-,71.81,-
8,新北市,2005/06,板橋,6.9,0.79,-,23.7,50,27,37.43,11.87,25.57,2.507,0.473,2.034,28.21,-,-,71.24,-
9,新北市,2005/06,三重,8.5,2.2,-,11.1,64,38,142.02,98.22,43.8,-,-,-,28.77,-,-,-,-
10,新北市,2005/06,菜寮,5.7,1.02,-,20.2,42,22,47.47,18.46,29.01,-,-,-,29.16,-,-,69.59,-
11,新北市,2005/06,永和,3.7,1.46,-,15.2,40,24,58.33,30.53,27.8,-,-,-,29.91,-,-,70.99,-
12,新北市,2005/06,新莊,9.1,0.78,-,27.5,51,29,41.6,14.83,26.76,-,-,-,28.57,-,-,76.68,-
13,新北市,2005/06,新店,2.9,0.51,-,24.5,35,24,23.0,6.41,16.59,-,-,-,27.43,-,-,73.02,-
14,新北市,2005/06,淡水,2.8,0.48,-,22.9,43,-,22.84,6.45,16.37,-,-,-,-,-,-,-,-
15,新北市,2005/06,汐止,6.0,0.59,-,21.1,38,23,36.01,12.86,23.16,-,-,-,27.79,-,-,74.91,-
16,新北市,2005/06,土城,4.5,0.69,-,23.1,44,24,40.34,16.58,23.76,-,-,-,28.76,-,-,69.99,-
17,新北市,2005/06,林口,5.5,0.35,-,25.2,41,25,29.2,8.27,20.93,-,-,-,26.18,-,-,75.85,-
18,新北市,2005/06,萬里,3.0,0.27,-,28.5,27,20,13.31,2.62,10.69,1.801,0.1,1.7,26.5,-,-,77.86,-
19,臺中市,2005/06,西屯,3.3,0.46,-,21.3,49,28,24.4,8.81,15.59,2.297,0.235,2.062,28.22,-,-,74.36,-
20,臺中市,2005/06,忠明,3.4,0.68,-,20.4,40,23,27.25,10.05,17.2,-,-,-,27.91,-,-,70.49,-
