序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10 (μg/m 3 )","細懸浮微粒 PM 2.5 (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","苯 BENZENE (ppb)","甲苯 TOLUENE (ppb)","乙苯 ETHYLBENZENE (ppb)","間、對二甲苯 M_P_XYLENES (ppb)","鄰二甲苯 O_XYLENE (ppb)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","降雨量 RAINFALL (mm)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)","紫外線指數 UVB (UVI)"
53,苗栗縣,2016/03,頭份,2.8,0.48,-,31.4,52,25,25.38,4.71,20.67,2.15,0.15,2,-,-,-,-,-,2.05,1.45,17.05,-,297.2,-,80.51,-,-
54,苗栗縣,2016/03,三義,1.9,0.33,-,37.4,39,21,13.71,1.84,11.86,-,-,-,-,-,-,-,-,3.44,3.02,15.73,1.9,281.6,4.29,79.89,21.03,-
55,苗栗縣,2016/03,苗栗,3.2,0.49,-,26.5,61,34,26.17,5.45,20.72,-,-,-,-,-,-,-,-,2.02,1.25,16.83,-,339.8,-,81.23,-,4.2
56,彰化縣,2016/03,二林,3.9,0.4,-,35,61,35,15.58,2.23,13.35,-,-,-,-,-,-,-,-,3.13,2.4,17.62,-,177.8,-,79.55,-,-
57,彰化縣,2016/03,彰化,3.5,0.59,-,27,57,33,26.59,4.84,21.75,2.14,0.23,1.91,-,-,-,-,-,2.2,1.01,18.53,-,186,-,76.02,-,5.1
58,彰化縣,2016/03,線西,4.5,0.41,-,34.8,61,37,21.22,3.11,18.11,2.08,0.13,1.95,-,-,-,-,-,3.83,3.1,17.93,-,174.8,-,79.36,-,-
59,南投縣,2016/03,南投,2.9,0.62,-,22.5,67,38,27,6.01,20.99,2.14,0.27,1.87,-,-,-,-,-,1.4,0.84,18.72,1.81,221,5.61,77.96,28.29,4.4
60,南投縣,2016/03,竹山,3.2,0.47,-,25.1,62,33,20.96,3.1,17.85,-,-,-,-,-,-,-,-,1.39,0.94,18.22,-,172.6,-,79.37,-,-
61,南投縣,2016/03,埔里,1.8,0.5,-,26.1,45,27,17.98,3.18,14.79,-,-,-,-,-,-,-,-,1.33,0.99,17.81,-,296.8,-,80.23,-,-
62,雲林縣,2016/03,麥寮,3.3,0.38,-,37.9,76,38,15.69,2.75,12.94,2.1,0.1,2,-,-,-,-,-,3.36,1.53,18.4,-,134.8,-,81.59,-,-
63,雲林縣,2016/03,臺西,4,0.34,-,41.6,58,36,13.72,1.72,11.98,2.05,0.07,1.98,-,-,-,-,-,5.23,4.68,18.53,-,204.6,-,81.55,-,-
64,雲林縣,2016/03,斗六,3.1,0.5,-,28.2,62,39,23.8,3.33,20.47,-,-,-,-,-,-,-,-,1.65,0.98,19.03,-,152,-,78.06,-,4.2
65,雲林縣,2016/03,崙背,3.3,0.41,-,35.2,63,42,16.21,2.3,13.9,-,-,-,-,-,-,-,-,2.89,1.26,17.6,1.31,127.6,6.36,78.82,32.28,-
66,嘉義縣,2016/03,新港,3.1,0.43,-,32.6,74,38,15.9,2.72,13.18,-,-,-,-,-,-,-,-,2.4,1.11,18.27,-,159.8,-,73.9,-,-
67,嘉義縣,2016/03,朴子,2.9,0.4,-,35,79,42,15.5,2.24,13.26,-,-,-,-,-,-,-,-,2.12,1.16,19.82,-,114.4,-,79.37,-,5.3
68,屏東縣,2016/03,潮州,2.7,0.44,-,33.6,65,39,14.82,2.02,12.8,-,-,-,-,-,-,-,-,1.55,1.2,21.03,-,57.8,-,78.39,-,-
69,屏東縣,2016/03,恆春,1.1,0.19,409.39,49.6,30,10,4.27,1.67,2.59,-,-,-,-,-,-,-,-,6.83,6.53,21.48,4.88,36.6,4.72,78.62,25.78,-
70,屏東縣,2016/03,屏東,2.7,0.57,-,28.8,65,37,20.36,2.72,17.65,2.26,0.17,2.08,-,-,-,-,-,1.52,1.02,21.59,-,71.4,-,72.13,-,5.6
71,臺東縣,2016/03,關山,1.1,-,-,30.1,25,13,5.84,1.48,4.37,-,-,-,-,-,-,-,-,1.42,0.95,18.56,-,86.2,-,79.97,-,-
72,臺東縣,2016/03,臺東,1.3,0.37,-,29.4,23,12,9.18,2.56,6.62,-,-,-,-,-,-,-,-,1.94,1.22,20.22,1.23,58.6,4.54,74.58,21.07,-
73,花蓮縣,2016/03,花蓮,1.5,0.35,-,34.2,33,17,10.88,1.79,9.08,-,-,-,-,-,-,-,-,2.22,1.9,19.09,0.95,132,4.85,75.68,56.11,-
74,澎湖縣,2016/03,馬公,1.5,0.29,-,48.2,44,23,-,-,-,-,-,-,-,-,-,-,-,4.11,2.6,19.27,1.76,130.4,4.42,78.43,160.38,-
75,金門縣,2016/03,金門,4.5,0.41,-,38.6,74,41,18.51,3.1,15.4,-,-,-,-,-,-,-,-,2.59,2.22,15.06,1.7,253.4,4.39,73.15,47.61,-
76,連江縣,2016/03,馬祖,2.9,0.36,-,49,55,34,10.16,1.71,8.45,-,-,-,-,-,-,-,-,3.29,2.53,13.13,1.83,258,4.6,80.12,35.82,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
