序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1996/06,松山,10.3,1.3,16.3,61.0,54,19,34.27,-,-,-,29.1,-,-
2,臺北市,1996/06,古亭,6.8,1.4,18.9,59.0,54,23,31.53,2.7,0.55,2.16,29.27,-,-
3,臺北市,1996/06,中山,9.9,1.53,16.9,60.0,61,25,36.15,2.96,0.66,2.31,29.4,-,-
4,臺北市,1996/06,大同,16.7,3.79,-,62.0,142,95,46.01,4.27,1.86,2.49,30.11,-,-
5,臺北市,1996/06,萬華,8.4,1.05,20.8,53.0,37,8,28.71,-,-,-,29.16,-,-
6,臺北市,1996/06,陽明,5.7,0.29,32.4,15.0,8,1,7.37,-,-,-,23.24,-,-
7,臺北市,1996/06,士林,6.4,0.97,15.3,62.0,36,13,23.43,-,-,-,28.89,-,-
8,新北市,1996/06,板橋,15.6,0.99,20.3,-,48,16,32.25,3.03,0.73,2.3,29.11,-,-
9,新北市,1996/06,三重,14.6,3.66,-,79.0,172,123,48.59,-,-,-,30.17,-,-
10,新北市,1996/06,菜寮,12.1,1.47,18.0,65.0,55,22,33.24,-,-,-,29.47,-,-
11,新北市,1996/06,新莊,19.2,0.86,20.9,52.0,44,17,27.42,3.32,0.34,2.88,29.44,-,-
12,新北市,1996/06,新店,4.7,0.73,27.4,47.0,23,4,19.04,-,-,-,28.84,-,-
13,新北市,1996/06,淡水,6.3,0.99,14.9,65.0,34,11,22.39,-,-,-,28.98,-,-
14,新北市,1996/06,汐止,10.9,0.96,18.0,70.0,54,21,32.12,-,-,-,28.2,-,-
15,新北市,1996/06,土城,10.3,0.85,20.5,53.0,40,15,25.3,-,-,-,28.83,-,-
16,新北市,1996/06,林口,9.7,0.57,22.4,58.0,32,11,21.14,-,-,-,26.91,-,-
17,新北市,1996/06,萬里,3.8,0.38,23.5,41.0,16,3,12.88,2.21,0.16,2.06,27.78,-,-
18,臺中市,1996/06,西屯,5.6,0.5,14.2,33.0,31,14,16.72,2.17,0.2,1.96,28.58,-,-
19,臺中市,1996/06,忠明,3.1,0.91,24.0,-,29,10,18.62,-,-,-,28.56,-,-
20,臺中市,1996/06,豐原,4.9,0.6,18.2,40.0,21,4,17.43,-,-,-,27.62,-,-
21,臺中市,1996/06,沙鹿,3.9,0.5,15.1,30.0,-,-,-,-,-,-,28.79,-,-
22,臺中市,1996/06,大里,2.5,0.52,17.0,44.0,19,5,14.59,-,-,-,28.9,-,-
23,臺南市,1996/06,新營,3.3,0.49,27.2,25.0,14,3,11.12,-,-,-,29.26,-,-
24,臺南市,1996/06,善化,4.5,0.32,13.9,24.0,13,3,9.43,-,-,-,28.58,-,-
25,臺南市,1996/06,安南,6.7,0.45,17.2,33.0,19,8,11.09,-,-,-,29.04,-,-
26,臺南市,1996/06,臺南,6.8,0.5,12.5,41.0,21,8,12.52,2.41,0.28,2.13,29.99,-,-
27,高雄市,1996/06,左營,8.7,0.57,19.4,24.0,22,9,12.48,2.31,0.21,2.1,29.2,-,-
28,高雄市,1996/06,楠梓,9.5,0.44,9.7,39.0,30,13,16.71,2.51,0.34,2.17,29.36,-,-
29,高雄市,1996/06,前金,8.5,0.64,11.3,39.0,23,10,13.22,-,-,-,29.51,-,-
30,高雄市,1996/06,前鎮,17.3,-,-,39.0,29,13,16.74,2.32,0.43,1.89,28.59,-,-
31,高雄市,1996/06,小港,15.8,0.91,10.2,39.0,29,14,15.02,2.24,0.21,2.04,29.27,-,-
32,高雄市,1996/06,鳳山,9.2,0.75,12.6,43.0,28,10,18.45,-,-,-,29.77,-,-
33,高雄市,1996/06,林園,3.3,0.29,15.6,34.0,8,2,6.02,2.09,0.26,1.83,28.87,-,-
34,高雄市,1996/06,大寮,5.8,0.39,15.3,34.0,15,4,11.1,-,-,-,28.81,-,-
35,高雄市,1996/06,仁武,8.0,0.45,12.3,37.0,22,9,13.58,2.3,0.28,2.02,29.42,-,-
36,高雄市,1996/06,橋頭,8.6,0.56,19.4,38.0,21,9,11.95,2.25,0.19,2.06,28.94,-,-
37,高雄市,1996/06,美濃,1.8,0.36,21.5,39.0,11,1,9.6,-,-,-,28.04,-,-
38,基隆市,1996/06,基隆,14.6,0.95,22.5,60.0,36,13,23.07,2.47,0.38,2.09,28.18,-,-
39,新竹市,1996/06,新竹,1.4,0.64,9.4,20.0,27,11,15.9,2.72,0.36,2.36,28.22,-,-
