序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppmC),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),大氣溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
47,桃園市,2009/12,龍潭,4.9,0.6,-,26.5,74,35,28.45,7.51,20.98,-,-,-,15.19,79.94
48,桃園市,2009/12,平鎮,7.6,0.64,-,23,82,34,32.68,8.01,24.66,-,-,-,16.57,73.35
49,桃園市,2009/12,觀音,8.9,0.41,-,29.1,82,41,19.46,2.99,16.72,-,-,-,17.09,74.59
50,新竹縣,2009/12,竹東,3.3,0.5,-,25.2,55,35,22.84,5.54,17.46,-,-,-,16.71,73.02
51,新竹縣,2009/12,湖口,6.2,0.49,-,28.4,73,42,23.61,6.2,17.84,-,-,-,16.52,71.18
52,苗栗縣,2009/12,苗栗,5.1,0.59,-,22.1,64,38,27.93,7.06,20.87,-,-,-,17,72.62
53,苗栗縣,2009/12,頭份,4.8,0.52,-,24.4,70,42,25.77,5.34,20.43,2.158,0.182,1.976,16.77,73.63
54,苗栗縣,2009/12,三義,3.1,0.41,-,30.4,60,36,16.47,2.12,14.34,-,-,-,14.36,84.94
55,彰化縣,2009/12,彰化,6,0.62,-,19.5,78,54,38.65,11.35,27.35,2.053,0.264,1.789,17.16,68.3
56,彰化縣,2009/12,線西,6,0.48,-,26.1,77,46,24.34,4.98,19.36,1.977,0.192,1.785,17.68,72.72
57,彰化縣,2009/12,二林,3.6,0.45,-,26.5,84,50,19.81,3.55,16.31,-,-,-,17.68,72.17
58,南投縣,2009/12,南投,4.4,0.69,-,19.8,88,49,32.15,8.17,23.99,1.918,0.261,1.657,17.73,72.3
59,南投縣,2009/12,埔里,2.2,0.6,-,25.7,62,45,21.37,3.51,17.86,-,-,-,17.61,71.84
60,南投縣,2009/12,竹山,3.2,0.59,-,22.8,80,59,25.96,5.42,20.54,-,-,-,17.27,74.63
61,雲林縣,2009/12,斗六,4.1,0.59,-,21.7,96,62,27.75,5.39,22.5,-,-,-,18.39,73.17
62,雲林縣,2009/12,崙背,4.2,0.45,-,24.8,99,54,21.93,4.63,17.3,-,-,-,17.75,76.17
63,雲林縣,2009/12,臺西,5.7,0.41,-,32.6,81,45,16.65,2.81,13.84,1.778,0.112,1.666,18.1,77.92
64,嘉義縣,2009/12,朴子,4.2,0.48,-,27.5,112,50,20.44,3.39,17.07,-,-,-,18.55,74.37
65,嘉義縣,2009/12,新港,4.2,0.5,-,28.6,107,50,22.26,5.24,17.02,-,-,-,17.33,73.69
66,屏東縣,2009/12,屏東,5,0.77,-,30.4,121,73,29.23,3.68,25.55,2.351,0.293,2.057,20.52,66.95
67,屏東縣,2009/12,潮州,6,0.57,-,34.6,124,72,22.88,4.31,18.57,-,-,-,20.25,77.37
68,屏東縣,2009/12,恆春,2.2,0.27,393.55,42.4,29,18,5.11,2.03,3.08,-,-,-,21.29,71.7
69,臺東縣,2009/12,臺東,2.8,0.46,-,30.9,40,18,12.82,3.88,8.93,-,-,-,20.07,71.15
70,臺東縣,2009/12,關山,2.3,-,-,25.4,36,23,10.58,3.2,7.38,-,-,-,18.25,75.55
71,花蓮縣,2009/12,花蓮,2.8,0.55,-,20.3,40,28,16.93,3.8,13.13,-,-,-,19.19,74.53
72,澎湖縣,2009/12,馬公,3,0.37,-,44.9,63,33,6.83,1.13,5.69,-,-,-,18.78,74.15
73,金門縣,2009/12,金門,9.9,0.69,-,26.9,116,60,26.15,7.31,18.84,-,-,-,15.68,71.05
74,連江縣,2009/12,馬祖,5.3,0.52,-,33.5,74,45,13.09,2.32,10.84,-,-,-,12.94,66.86
,,,,,,,,,,,,,,,,,
