序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/10,松山,2.8,0.4,410.91,33.4,37,17,20.66,4.06,16.6,1.891,0.116,1.775,1.95,1.51,24.97,-,-,74.04,-
2,臺北市,2015/10,古亭,2.3,0.43,-,30.4,44,14,19.77,3.96,15.81,2.019,0.097,1.922,2.66,2.38,25.12,-,-,79.45,-
3,臺北市,2015/10,中山,3.1,0.58,-,28.1,37,17,29.3,7.28,22.01,2.045,0.165,1.88,2.37,1.98,25.82,-,-,75.04,-
4,臺北市,2015/10,大同,3.5,1.11,-,-,53,16,54.64,27.83,26.81,2.323,0.341,1.982,-,-,-,-,-,-,-
5,臺北市,2015/10,萬華,2.9,0.48,-,30.2,37,19,26.24,5.23,21.01,-,-,-,2.67,2.39,26.19,-,-,73.29,-
6,臺北市,2015/10,陽明,1.6,0.19,399.14,48.2,16,12,3.15,0.79,2.32,-,-,-,-,-,19.04,1.58,4.3,97.59,21.76
7,臺北市,2015/10,士林,2.2,0.29,-,41.6,34,17,10.93,1.81,9.11,-,-,-,2.68,2.39,25.51,-,-,71.15,-
8,新北市,2015/10,板橋,3.0,0.5,-,32.3,41,19,23.18,3.91,19.27,2.083,0.177,1.906,2.24,1.89,25.61,3.95,4.61,70.65,49.17
9,新北市,2015/10,三重,3.3,1.42,-,-,55,15,87.07,51.18,35.89,2.561,0.506,2.055,-,-,26.09,-,-,70.7,-
10,新北市,2015/10,菜寮,3.0,0.53,-,26.5,39,16,20.1,3.54,16.56,-,-,-,0.8,0.28,25.61,-,-,71.75,-
11,新北市,2015/10,永和,2.1,0.63,-,33.1,36,16,23.81,7.6,16.21,2.025,0.207,1.818,2.27,2.1,25.22,-,-,70.52,-
12,新北市,2015/10,新莊,3.5,0.5,-,34.3,38,21,19.35,3.49,15.86,-,-,-,3.51,3.27,25.72,-,-,69.89,-
13,新北市,2015/10,新店,2.2,0.38,-,34.2,33,18,14.03,2.5,11.53,-,-,-,4.18,3.29,25.09,-,-,72.42,-
14,新北市,2015/10,淡水,2.2,0.32,-,37.9,35,14,10.65,1.86,8.79,-,-,-,-,-,-,-,-,-,-
15,新北市,2015/10,汐止,3.1,0.34,-,33.9,34,14,17.32,3.35,13.97,-,-,-,2.09,1.76,25.14,-,-,79.54,-
16,新北市,2015/10,土城,2.3,0.41,-,36.1,37,21,15.97,3.35,12.61,2.01,0.15,1.86,1.69,0.61,26.09,-,-,73.0,-
17,新北市,2015/10,林口,2.6,0.29,-,40.9,42,21,13.44,2.6,10.83,-,-,-,3.44,3.12,23.3,-,-,83.26,-
18,新北市,2015/10,萬里,2.4,0.22,-,45.8,62,18,5.84,1.4,4.44,-,-,-,3.97,3.63,24.5,2.1,4.45,80.36,198.18
19,臺中市,2015/10,西屯,3.2,0.4,-,36.6,57,30,18.69,2.68,16.0,2.014,0.223,1.791,2.49,1.35,26.39,4.38,4.97,75.74,67.31
20,臺中市,2015/10,忠明,3.1,0.49,-,33.0,54,31,23.12,3.06,20.05,1.979,0.2,1.779,1.78,1.09,25.74,-,-,70.84,-
21,臺中市,2015/10,豐原,2.7,0.46,-,35.4,38,28,12.99,1.9,11.09,1.773,0.149,1.625,1.82,1.3,24.92,-,-,74.52,-
22,臺中市,2015/10,沙鹿,2.8,0.39,-,37.3,59,23,17.11,1.93,15.18,-,-,-,3.25,1.41,24.99,-,-,77.97,-
23,臺中市,2015/10,大里,3.2,0.58,436.32,33.0,65,36,24.15,3.64,20.51,2.092,0.241,1.85,1.7,1.2,27.23,-,-,71.0,-
24,臺南市,2015/10,新營,2.9,0.4,-,36.5,67,28,14.01,1.92,12.09,2.143,0.106,2.037,1.83,1.02,26.92,2.86,5.32,76.66,23.34
25,臺南市,2015/10,善化,3.3,0.36,419.91,37.2,61,33,12.41,1.53,10.88,-,-,-,2.08,1.52,27.21,-,-,79.98,-
26,臺南市,2015/10,安南,3.2,0.39,-,38.9,57,29,15.21,1.74,13.5,2.001,0.155,1.846,2.01,1.14,27.48,-,-,80.24,-
27,臺南市,2015/10,臺南,3.7,0.49,-,41.2,52,28,16.63,1.82,14.81,2.211,0.182,2.029,1.96,1.29,26.82,-,-,72.54,-
28,高雄市,2015/10,左營,3.8,0.47,-,41.7,62,31,18.72,2.28,16.44,2.091,0.149,1.942,1.93,1.54,27.03,-,-,78.65,-
29,高雄市,2015/10,楠梓,3.3,0.47,-,37.7,71,24,17.22,2.76,14.45,2.084,0.18,1.904,1.76,1.28,27.29,-,-,78.16,-
30,高雄市,2015/10,前金,4.0,0.47,-,43.2,64,29,16.0,1.74,14.26,2.052,0.151,1.901,1.99,1.57,27.51,-,-,73.61,-
31,高雄市,2015/10,前鎮,4.8,0.51,-,39.7,59,22,21.88,3.23,18.65,2.05,0.174,1.876,1.37,0.96,27.58,-,-,73.19,-
32,高雄市,2015/10,復興,4.9,0.67,-,27.0,55,29,23.05,3.41,19.64,2.275,0.307,1.968,0.77,0.62,28.34,-,-,74.52,-
