序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2006/02,松山,4.9,0.76,412.8,21.1,52,24,52.44,19.89,32.52,-,-,-,17.44,-,-,73.69,-
2,臺北市,2006/02,古亭,4.3,0.78,-,21.4,44,-,42.56,14.63,27.93,2.317,0.282,2.035,17.31,-,-,77.5,-
3,臺北市,2006/02,中山,4.5,0.9,-,19.5,49,30,56.66,23.51,33.15,2.379,0.325,2.054,17.78,-,-,71.79,-
4,臺北市,2006/02,萬華,4.9,0.81,-,24.7,-,-,41.34,13.58,27.76,-,-,-,17.84,-,-,73.97,-
5,臺北市,2006/02,陽明,1.9,0.28,382.26,48.5,17,12,3.93,1.23,2.7,-,-,-,11.98,-,-,-,-
6,臺北市,2006/02,士林,3.4,0.6,-,29.6,48,23,28.57,9.6,18.97,-,-,-,18.01,-,-,73.34,-
7,新北市,2006/02,板橋,5.2,0.87,-,25.5,54,33,39.88,12.16,27.71,2.471,0.364,2.107,17.55,-,-,73.61,-
8,新北市,2006/02,三重,4.9,1.86,-,12.5,68,37,134.49,92.82,41.67,-,-,-,17.74,-,-,-,-
9,新北市,2006/02,菜寮,4.5,0.88,-,18.9,50,28,46.49,17.97,28.52,-,-,-,18.34,-,-,72.85,-
10,新北市,2006/02,永和,5.0,1.15,-,18.4,48,31,60.6,29.63,30.97,-,-,-,18.47,-,-,74.08,-
11,新北市,2006/02,新莊,5.4,0.74,-,27.1,53,34,38.82,13.15,25.67,-,-,-,17.18,-,-,73.95,-
