序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/05,松山,6.0,1.2,21.7,56.0,-,55,18.08,36.55,-,-,-,25.3,-,-
2,臺北市,1997/05,古亭,5.4,1.28,22.2,56.0,35,52,19.16,33.53,2.45,0.41,2.04,25.76,-,-
3,臺北市,1997/05,中山,7.4,1.33,22.8,54.0,-,60,19.69,40.0,2.82,0.5,2.32,25.48,-,-
4,臺北市,1997/05,大同,14.1,3.89,-,54.0,-,152,100.8,51.04,4.09,1.74,2.34,26.47,-,-
5,臺北市,1997/05,萬華,5.3,1.09,27.0,53.0,-,35,6.51,28.95,-,-,-,25.71,-,-
6,臺北市,1997/05,陽明,3.2,0.29,38.2,21.0,-,5,0.76,4.72,-,-,-,19.55,-,-
7,臺北市,1997/05,士林,4.8,0.94,22.1,51.0,-,38,10.03,27.55,-,-,-,25.18,-,-
8,新北市,1997/05,板橋,9.5,1.11,24.2,70.0,-,47,12.45,34.9,3.03,0.77,2.26,26.4,-,-
9,新北市,1997/05,三重,10.4,3.03,-,87.0,48,142,93.05,49.27,-,-,-,26.41,-,-
10,新北市,1997/05,菜寮,7.1,1.34,16.8,67.0,-,53,17.34,35.75,-,-,-,26.03,-,-
11,新北市,1997/05,永和,15.0,2.62,-,68.0,-,93,57.23,36.1,3.41,0.96,2.45,28.15,-,-
12,新北市,1997/05,新莊,8.9,0.96,26.4,51.0,-,43,12.71,29.8,2.49,0.38,2.1,26.12,-,-
13,新北市,1997/05,新店,3.5,0.77,35.3,43.0,-,24,2.83,21.04,-,-,-,25.35,-,-
14,新北市,1997/05,淡水,4.0,0.88,22.9,54.0,-,30,7.59,22.76,-,-,-,25.54,-,-
15,新北市,1997/05,汐止,6.1,0.95,22.2,61.0,-,54,20.83,33.41,-,-,-,24.33,-,-
16,新北市,1997/05,土城,6.0,0.89,23.4,61.0,-,39,11.46,27.33,-,-,-,25.64,-,-
17,新北市,1997/05,林口,6.4,0.68,27.8,61.0,-,34,8.43,25.62,-,-,-,23.58,-,-
18,新北市,1997/05,萬里,2.5,0.48,36.2,43.0,-,8,1.24,7.06,2.1,0.1,2.0,24.61,-,-
19,臺中市,1997/05,西屯,6.9,0.72,22.7,57.0,-,41,14.87,25.69,-,-,-,26.0,-,-
20,臺中市,1997/05,忠明,6.4,1.22,23.7,67.0,36,50,14.03,35.49,-,-,-,25.98,-,-
21,臺中市,1997/05,豐原,5.3,0.78,24.8,56.0,-,31,5.6,25.46,-,-,-,25.41,-,-
22,臺中市,1997/05,沙鹿,4.9,0.59,22.4,54.0,-,25,5.12,20.32,-,-,-,26.0,-,-
