序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/05,松山,3.9,0.61,431.86,25.1,39,20,33.74,9.6,24.14,1.64,25.98,75.86
2,臺北市,2015/05,古亭,3.1,0.6,-,22.7,44,21,28.53,6.7,21.82,1.84,26.29,79.6
3,臺北市,2015/05,中山,3.7,0.8,-,20.9,37,21,41.59,13.56,28.03,1.85,26.86,76.66
4,臺北市,2015/05,大同,4.4,1.69,-,-,54,19,75.96,41.79,34.17,-,-,-
5,臺北市,2015/05,萬華,3.8,0.67,-,23.4,37,18,33.9,8.16,25.75,1.8,26.33,76.0
6,臺北市,2015/05,陽明,1.7,0.19,409.8,39.2,16,12,4.52,0.97,3.5,-,20.03,93.5
7,臺北市,2015/05,士林,3.1,0.47,-,28.2,34,17,23.17,5.58,17.59,1.82,26.02,75.57
8,新北市,2015/05,板橋,4.5,0.63,-,24.6,44,21,31.04,7.11,23.93,1.95,26.44,73.11
9,新北市,2015/05,三重,4.3,1.62,-,-,56,18,98.1,60.56,37.54,-,26.82,74.88
10,新北市,2015/05,菜寮,3.5,0.65,-,18.6,37,15,30.16,7.02,23.15,1.98,26.52,74.14
11,新北市,2015/05,永和,3.3,1.03,-,22.5,38,20,40.98,15.76,25.22,1.63,25.9,75.07
12,新北市,2015/05,新莊,4.6,0.66,-,25.2,36,24,29.71,6.82,22.89,2.08,26.5,79.25
13,新北市,2015/05,新店,2.7,0.48,-,26.3,34,19,21.01,3.97,17.03,1.62,26.38,77.89
14,新北市,2015/05,淡水,3.0,0.4,-,25.4,39,14,17.64,3.52,14.11,-,-,-
15,新北市,2015/05,汐止,5.4,0.5,-,22.6,37,19,31.35,8.96,22.4,1.56,25.87,82.23
16,新北市,2015/05,土城,3.4,0.55,-,26.0,43,26,27.18,7.01,20.17,1.44,26.1,77.18
17,新北市,2015/05,林口,3.2,0.36,-,31.1,41,20,21.74,4.28,17.45,2.25,24.31,86.9
18,新北市,2015/05,萬里,3.1,0.25,-,35.5,42,21,10.03,1.95,8.08,2.52,25.04,85.69
19,臺中市,2015/05,西屯,2.8,0.28,-,22.9,40,19,18.46,3.47,14.98,2.17,26.52,79.94
20,臺中市,2015/05,忠明,2.6,0.42,-,22.4,34,19,18.95,3.43,15.52,1.65,27.27,75.93
21,臺中市,2015/05,豐原,2.8,0.44,-,26.8,28,19,13.16,2.29,10.86,2.68,25.51,77.39
22,臺中市,2015/05,沙鹿,2.9,0.32,-,25.9,42,16,15.82,2.36,13.46,2.9,28.17,81.24
23,臺中市,2015/05,大里,3.0,0.41,424.94,22.4,41,22,19.42,3.96,15.47,1.85,28.8,74.03
24,臺南市,2015/05,新營,2.3,0.29,-,24.5,43,16,10.49,1.76,8.73,1.78,28.14,74.17
25,臺南市,2015/05,善化,2.4,0.23,417.05,22.9,34,17,10.45,1.75,8.7,2.24,27.19,77.59
26,臺南市,2015/05,安南,2.4,0.3,-,23.0,41,15,13.12,2.55,10.58,2.18,28.33,80.18
27,臺南市,2015/05,臺南,2.8,0.34,-,26.4,31,14,11.34,1.43,9.91,1.96,28.57,75.24
28,高雄市,2015/05,左營,3.1,0.3,-,24.2,38,15,13.04,2.32,10.71,2.15,28.11,79.24
29,高雄市,2015/05,楠梓,3.0,0.31,-,21.5,46,11,14.93,3.27,11.65,1.78,28.49,79.05
30,高雄市,2015/05,前金,4.0,0.32,-,24.5,34,13,13.61,2.64,10.96,2.11,28.14,77.67
31,高雄市,2015/05,前鎮,4.8,0.33,-,19.5,32,10,20.17,4.77,15.4,1.66,28.2,77.98
32,高雄市,2015/05,復興,4.3,0.46,-,11.0,31,12,19.8,4.6,15.21,0.83,28.24,76.24
33,高雄市,2015/05,小港,8.2,0.29,-,18.2,43,15,21.33,5.5,15.83,2.11,28.3,78.32
34,高雄市,2015/05,鳳山,3.7,0.45,-,19.9,46,13,16.55,2.34,14.21,1.81,28.7,73.85
35,高雄市,2015/05,林園,3.2,0.18,-,27.2,25,14,8.2,1.65,6.54,2.32,28.18,77.68
36,高雄市,2015/05,大寮,4.0,0.29,-,19.3,31,17,15.24,3.08,12.17,1.64,27.68,79.13
37,高雄市,2015/05,仁武,3.5,0.29,-,21.4,41,13,15.61,2.69,12.92,1.85,28.06,76.85
38,高雄市,2015/05,橋頭,2.7,0.28,-,22.3,35,10,12.56,2.81,9.75,2.44,28.01,78.6
39,高雄市,2015/05,美濃,1.5,0.22,-,24.1,27,12,7.73,1.79,5.94,1.19,28.19,72.31
40,基隆市,2015/05,基隆,3.0,0.4,-,28.9,30,18,17.06,3.5,13.56,1.12,25.47,87.06
41,新竹市,2015/05,新竹,2.6,0.42,-,25.0,31,19,18.85,3.42,15.43,2.12,26.0,77.04
42,嘉義市,2015/05,嘉義,2.5,0.3,-,25.3,38,18,10.01,1.7,8.31,2.01,28.13,77.51
43,宜蘭縣,2015/05,宜蘭,1.8,0.34,419.16,30.5,33,11,8.62,1.32,7.28,1.27,25.78,79.67
44,宜蘭縣,2015/05,冬山,2.6,0.33,-,27.4,28,15,14.94,4.22,10.71,1.42,25.42,85.87
45,桃園市,2015/05,桃園,5.5,0.51,-,26.1,38,20,23.43,4.37,19.06,1.5,26.06,80.25
46,桃園市,2015/05,中壢,3.5,1.2,-,17.2,52,18,52.17,25.26,26.92,1.4,25.7,77.99
47,桃園市,2015/05,大園,4.2,0.31,-,27.7,45,21,18.43,3.35,15.07,3.57,25.49,79.21
48,桃園市,2015/05,龍潭,2.8,0.38,-,27.3,47,18,16.39,3.1,13.28,2.43,25.18,79.69
49,桃園市,2015/05,平鎮,3.7,0.39,-,24.7,45,21,20.8,3.43,17.36,2.33,25.44,82.71
50,桃園市,2015/05,觀音,3.7,0.26,-,31.4,48,19,15.65,1.72,13.91,3.64,24.53,81.53
51,新竹縣,2015/05,竹東,2.0,0.32,-,24.9,37,16,12.94,2.17,10.76,1.68,25.74,82.37
52,新竹縣,2015/05,湖口,3.2,0.29,-,29.5,40,14,15.34,2.86,12.49,3.54,25.65,83.56
53,苗栗縣,2015/05,苗栗,3.0,0.34,-,23.9,58,19,15.42,2.48,12.93,2.29,26.07,78.12
54,苗栗縣,2015/05,頭份,3.1,0.32,-,26.4,38,16,16.6,3.0,13.6,2.65,26.27,79.18
55,苗栗縣,2015/05,三義,2.2,0.25,-,28.0,31,17,10.51,1.75,8.76,3.22,24.82,86.86
56,彰化縣,2015/05,彰化,3.8,0.35,-,23.3,40,19,14.08,2.04,12.04,1.56,27.28,78.0
57,彰化縣,2015/05,線西,3.5,0.29,-,26.1,39,20,12.26,2.03,10.23,2.85,26.78,83.11
58,彰化縣,2015/05,二林,2.6,0.22,-,25.3,38,22,9.99,1.76,8.23,2.27,28.97,80.82
59,南投縣,2015/05,南投,2.1,0.35,-,23.2,40,17,14.29,2.61,11.68,1.74,28.3,74.36
60,南投縣,2015/05,埔里,1.4,0.31,-,24.9,29,19,11.99,2.21,9.78,1.44,25.83,75.98
61,南投縣,2015/05,竹山,2.1,0.24,-,24.6,42,18,12.14,2.46,9.68,1.51,26.63,79.08
62,雲林縣,2015/05,斗六,2.7,0.33,-,25.5,40,19,13.68,2.15,11.53,1.71,28.02,76.36
63,雲林縣,2015/05,崙背,2.2,0.24,-,24.2,36,22,9.06,1.3,7.74,2.4,25.99,81.51
64,雲林縣,2015/05,麥寮,2.6,0.25,-,27.4,54,20,9.87,2.38,7.49,2.51,25.65,84.53
65,雲林縣,2015/05,臺西,2.8,0.19,-,31.9,33,19,7.94,1.47,6.47,3.48,26.86,84.82
66,嘉義縣,2015/05,朴子,2.1,0.29,-,19.1,49,18,11.46,2.92,8.55,2.15,28.86,79.0
