序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/06,松山,5.0,1.37,15.1,45.0,-,59,24.21,35.07,-,-,-,26.03,-,-
2,臺北市,1997/06,古亭,4.1,1.45,16.0,42.0,27,59,25.52,32.78,2.35,0.38,1.99,26.36,-,-
3,臺北市,1997/06,中山,6.2,1.56,15.3,47.0,-,66,27.39,38.37,2.92,0.53,2.38,26.16,-,-
4,臺北市,1997/06,大同,12.8,4.33,-,53.0,-,167,117.76,48.64,4.3,1.75,2.55,27.06,-,-
5,臺北市,1997/06,萬華,4.3,1.25,19.1,37.0,-,39,9.77,29.72,-,-,-,26.53,-,-
6,臺北市,1997/06,陽明,2.4,0.28,28.3,17.0,-,4,0.4,3.7,-,-,-,20.48,-,-
7,臺北市,1997/06,士林,3.8,1.04,16.8,43.0,-,42,13.97,28.36,-,-,-,25.54,-,-
8,新北市,1997/06,板橋,8.7,1.31,18.7,-,-,55,18.62,36.17,3.1,0.86,2.24,26.71,-,-
9,新北市,1997/06,三重,9.3,3.3,-,77.0,54,150,102.14,47.38,-,-,-,26.87,-,-
10,新北市,1997/06,菜寮,6.8,1.6,11.6,61.0,-,58,21.73,36.15,-,-,-,26.46,-,-
11,新北市,1997/06,永和,6.9,2.76,-,-,-,97,63.13,34.29,3.14,0.87,2.27,28.72,-,-
12,新北市,1997/06,新莊,8.3,1.14,19.0,47.0,-,48,15.67,32.46,2.73,0.47,2.26,26.5,-,-
13,新北市,1997/06,新店,2.4,0.83,24.7,35.0,-,25,3.5,21.07,-,-,-,25.88,-,-
14,新北市,1997/06,淡水,3.4,0.98,15.1,47.0,-,35,8.98,25.6,-,-,-,26.18,-,-
15,新北市,1997/06,汐止,6.5,1.09,14.6,53.0,-,62,27.6,34.25,-,-,-,24.67,-,-
16,新北市,1997/06,土城,5.9,0.97,19.3,45.0,-,42,14.31,27.63,-,-,-,26.07,-,-
17,新北市,1997/06,林口,5.2,0.67,24.3,36.0,-,33,8.02,24.58,-,-,-,24.28,-,-
18,新北市,1997/06,萬里,-,0.6,18.8,32.0,-,7,4.6,2.84,1.99,0.13,1.86,25.36,-,-
19,臺中市,1997/06,西屯,3.6,0.66,15.9,35.0,-,32,11.42,20.25,-,-,-,26.63,-,-
20,臺中市,1997/06,忠明,4.0,1.29,16.3,41.0,30,47,16.51,30.97,-,-,-,26.19,-,-
21,臺中市,1997/06,豐原,2.9,0.75,18.2,44.0,-,25,5.25,19.53,-,-,-,25.84,-,-
22,臺中市,1997/06,沙鹿,3.3,0.47,17.9,33.0,-,19,3.7,15.43,-,-,-,26.74,-,-
23,臺中市,1997/06,大里,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺南市,1997/06,新營,2.0,0.51,21.4,26.0,-,11,1.29,9.59,-,-,-,27.92,-,-
25,臺南市,1997/06,善化,2.9,0.35,20.0,25.0,-,10,1.85,8.36,-,-,-,27.08,-,-
26,臺南市,1997/06,安南,5.2,0.51,24.4,35.0,-,19,4.79,14.35,-,-,-,27.34,-,-
27,臺南市,1997/06,臺南,5.9,0.58,17.1,32.0,-,20,5.35,15.08,2.51,0.3,2.22,27.5,-,-
28,高雄市,1997/06,左營,5.0,0.66,18.0,29.0,-,26,8.82,17.46,2.45,0.41,2.05,27.39,-,-
29,高雄市,1997/06,楠梓,8.1,0.5,13.6,39.0,-,33,10.75,21.99,2.81,0.46,2.35,27.57,-,-
30,高雄市,1997/06,前金,7.6,0.67,15.9,38.0,-,30,12.78,17.0,-,-,-,27.55,-,-
31,高雄市,1997/06,前鎮,17.2,-,-,-,-,36,13.88,22.34,2.67,0.57,2.1,26.73,-,-
32,高雄市,1997/06,復興,6.6,0.92,-,36.0,-,31,12.71,18.06,-,-,-,27.08,-,-
33,高雄市,1997/06,小港,15.6,0.9,12.6,39.0,-,36,14.53,21.94,2.36,0.31,2.06,27.36,-,-
34,高雄市,1997/06,鳳山,6.0,0.77,14.8,36.0,20,27,7.19,19.66,-,-,-,27.8,-,-
35,高雄市,1997/06,林園,2.2,0.32,19.6,-,17,-,-,-,-,-,-,26.63,-,-
36,高雄市,1997/06,大寮,3.0,0.51,16.8,24.0,-,10,1.58,8.91,-,-,-,27.88,-,-
37,高雄市,1997/06,仁武,6.4,0.51,18.4,37.0,-,22,6.2,16.28,2.37,0.21,2.16,27.21,-,-
38,高雄市,1997/06,橋頭,6.0,0.55,14.3,30.0,-,23,6.57,16.28,2.39,0.21,2.18,26.13,-,-
39,高雄市,1997/06,美濃,1.4,0.38,19.8,33.0,-,9,1.11,7.71,-,-,-,26.95,-,-
40,基隆市,1997/06,基隆,5.8,0.85,19.8,65.0,-,34,10.44,23.12,2.63,0.4,2.23,25.8,-,-
41,新竹市,1997/06,新竹,3.9,0.81,16.0,30.0,-,31,10.44,21.58,2.71,0.13,2.58,27.32,-,-
42,嘉義市,1997/06,嘉義,2.4,0.69,20.2,34.0,-,18,3.44,14.19,2.28,0.41,1.87,27.39,-,-
43,宜蘭縣,1997/06,宜蘭,1.1,0.54,25.2,38.0,-,14,1.83,11.85,-,-,-,25.74,-,-
44,宜蘭縣,1997/06,冬山,2.3,0.61,16.3,35.0,-,20,6.7,13.01,2.2,0.1,2.1,25.02,-,-
45,桃園市,1997/06,桃園,15.3,0.88,19.5,52.0,-,42,11.21,30.93,2.51,0.45,2.04,25.7,-,-
46,桃園市,1997/06,中壢,9.1,1.82,-,49.0,-,77,39.49,37.55,-,-,-,25.56,-,-
47,桃園市,1997/06,大園,5.9,0.51,22.7,31.0,-,26,-,18.9,-,-,-,25.64,-,-
48,桃園市,1997/06,龍潭,3.1,0.59,16.6,35.0,-,24,4.53,19.25,-,-,-,24.63,-,-
49,桃園市,1997/06,平鎮,7.1,0.83,18.8,47.0,-,37,8.97,27.62,2.36,0.29,2.07,25.96,-,-
50,桃園市,1997/06,觀音,10.8,0.43,23.4,-,-,24,5.54,18.28,2.48,0.13,2.35,25.75,-,-
51,新竹縣,1997/06,竹東,1.4,0.62,17.5,33.0,-,24,5.71,18.77,-,-,-,25.59,-,-
52,新竹縣,1997/06,湖口,4.2,0.57,22.4,40.0,-,24,6.34,18.03,-,-,-,26.23,-,-
53,苗栗縣,1997/06,苗栗,1.8,0.6,13.2,34.0,-,28,8.62,19.37,-,-,-,26.19,-,-
54,苗栗縣,1997/06,頭份,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,苗栗縣,1997/06,三義,2.2,0.35,21.7,35.0,-,17,4.17,12.84,2.19,0.11,2.07,23.62,-,-
56,彰化縣,1997/06,彰化,3.2,0.71,16.9,40.0,-,28,9.02,19.4,2.39,0.57,1.82,26.87,-,-
57,彰化縣,1997/06,線西,2.3,-,-,35.0,-,19,5.39,13.72,2.31,0.15,2.16,27.32,-,-
58,彰化縣,1997/06,二林,2.9,0.4,21.9,42.0,-,13,2.45,10.4,-,-,-,26.47,-,-
59,南投縣,1997/06,南投,1.5,0.56,18.6,-,-,18,4.11,13.47,-,-,-,26.51,-,-
60,南投縣,1997/06,竹山,1.2,-,17.5,35.0,-,15,2.28,12.56,-,-,-,25.06,-,-
61,雲林縣,1997/06,斗六,5.0,0.65,16.6,43.0,-,20,6.02,13.71,-,-,-,26.86,-,-
62,雲林縣,1997/06,崙背,1.0,0.37,18.1,38.0,-,11,1.57,9.21,-,-,-,26.43,-,-
63,雲林縣,1997/06,臺西,1.8,0.26,29.0,-,-,-,-,-,-,-,-,27.59,-,-
64,嘉義縣,1997/06,朴子,1.9,0.41,16.5,30.0,-,13,2.66,10.43,-,-,-,27.25,-,-
65,嘉義縣,1997/06,新港,1.6,0.46,24.8,35.0,-,13,2.85,10.74,-,-,-,26.72,-,-
66,屏東縣,1997/06,屏東,5.2,-,14.6,33.0,-,21,6.7,13.88,2.44,0.27,2.16,27.7,-,-
67,屏東縣,1997/06,潮州,0.5,0.32,17.1,27.0,-,7,0.96,6.36,-,-,-,26.38,-,-
68,屏東縣,1997/06,恆春,0.2,0.22,32.7,20.0,-,0,0.02,0.32,-,-,-,26.41,-,-
69,臺東縣,1997/06,臺東,0.6,0.64,22.0,24.0,-,13,3.29,9.97,2.19,0.15,2.04,26.71,-,-
70,花蓮縣,1997/06,花蓮,0.7,0.66,18.1,38.0,-,20,5.19,14.7,2.16,0.27,1.89,26.26,-,-
,,,,,,,,,,,,,,,,,
