序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/03,松山,4.3,1.16,18.4,-,58,22,36.65,-,-,-,19.14,-,-
2,臺北市,1997/03,古亭,4.2,1.21,19.0,64.0,56,21,35.03,2.5,0.4,2.1,19.51,-,-
3,臺北市,1997/03,中山,5.8,1.28,19.0,56.0,62,24,38.84,2.84,0.49,2.35,19.5,-,-
4,臺北市,1997/03,大同,10.4,3.57,-,57.0,164,114,49.03,4.4,1.77,2.63,19.76,-,-
5,臺北市,1997/03,萬華,4.6,1.11,21.4,59.0,42,9,32.34,-,-,-,19.53,-,-
6,臺北市,1997/03,陽明,1.0,0.36,34.9,30.0,19,14,5.03,-,-,-,14.1,-,-
7,臺北市,1997/03,士林,3.4,0.9,19.4,57.0,40,12,28.01,-,-,-,19.36,-,-
8,新北市,1997/03,板橋,7.5,1.12,19.0,72.0,53,16,37.15,3.21,0.83,2.38,19.94,-,-
9,新北市,1997/03,三重,7.3,2.74,-,102.0,147,100,47.48,-,-,-,20.06,-,-
10,新北市,1997/03,菜寮,6.0,1.31,16.3,80.0,55,20,34.66,-,-,-,19.7,-,-
11,新北市,1997/03,永和,6.4,2.23,-,71.0,99,62,37.22,3.21,0.84,2.37,20.88,-,-
12,新北市,1997/03,新莊,7.1,0.98,23.8,-,45,16,29.17,2.8,0.6,2.2,19.53,-,-
13,新北市,1997/03,新店,3.3,0.79,28.3,48.0,29,5,23.99,-,-,-,19.3,-,-
14,新北市,1997/03,淡水,2.8,0.8,21.1,57.0,28,7,20.81,-,-,-,18.88,-,-
15,新北市,1997/03,汐止,5.6,0.95,17.4,-,61,25,36.15,-,-,-,18.11,-,-
16,新北市,1997/03,土城,6.0,0.93,21.8,73.0,45,15,30.18,-,-,-,19.41,-,-
17,新北市,1997/03,林口,4.4,0.59,33.7,61.0,28,6,21.72,-,-,-,17.11,-,-
18,新北市,1997/03,萬里,1.8,0.42,34.3,31.0,9,1,7.79,2.13,0.08,2.05,18.05,-,-
19,臺中市,1997/03,西屯,4.5,0.63,26.0,80.0,38,12,25.89,2.31,0.32,1.99,19.9,-,-
20,臺中市,1997/03,忠明,5.2,1.13,23.0,78.0,52,17,35.5,-,-,-,19.83,-,-
21,臺中市,1997/03,豐原,6.0,0.83,22.2,73.0,38,8,30.15,-,-,-,19.38,-,-
22,臺中市,1997/03,沙鹿,6.4,0.58,24.9,68.0,31,6,24.61,-,-,-,19.7,-,-
23,臺中市,1997/03,大里,5.6,0.86,25.3,85.0,42,10,31.77,-,-,-,21.04,-,-
24,臺南市,1997/03,新營,5.2,0.62,29.2,95.0,27,4,23.01,-,-,-,21.65,-,-
25,臺南市,1997/03,善化,5.9,0.52,30.4,97.0,22,4,18.34,-,-,-,21.34,-,-
26,臺南市,1997/03,安南,6.5,0.54,33.9,85.0,27,6,21.3,-,-,-,21.42,-,-
27,臺南市,1997/03,臺南,7.4,0.86,27.6,100.0,37,9,27.61,2.99,0.51,2.48,22.1,-,-
28,高雄市,1997/03,左營,9.9,0.81,-,89.0,37,9,28.86,-,-,-,22.37,-,-
29,高雄市,1997/03,楠梓,7.4,0.6,26.4,101.0,44,12,32.01,2.7,0.3,2.4,21.89,-,-
30,高雄市,1997/03,前金,10.9,0.85,29.4,109.0,39,8,30.27,-,-,-,22.28,-,-
31,高雄市,1997/03,前鎮,17.4,-,-,95.0,48,13,35.07,2.86,0.57,2.29,22.24,-,-
32,高雄市,1997/03,復興,14.2,1.32,-,113.0,58,24,33.52,2.88,0.74,2.14,22.76,-,-
33,高雄市,1997/03,小港,16.7,0.74,25.2,100.0,56,17,38.81,2.9,0.48,2.42,22.78,-,-
34,高雄市,1997/03,鳳山,15.1,0.89,25.7,115.0,48,12,36.12,-,-,-,23.06,-,-
35,高雄市,1997/03,林園,10.7,0.58,34.8,103.0,24,5,19.42,2.96,0.62,2.34,22.85,-,-
36,高雄市,1997/03,大寮,-,0.79,30.7,113.0,34,6,27.64,-,-,-,23.68,-,-
37,高雄市,1997/03,仁武,16.4,0.66,24.8,99.0,44,13,31.25,2.83,0.54,2.29,22.32,-,-
38,高雄市,1997/03,橋頭,7.3,0.69,30.1,95.0,36,9,26.96,2.51,0.19,2.33,22.36,-,-
39,高雄市,1997/03,美濃,3.0,0.5,33.4,103.0,18,1,16.48,-,-,-,22.82,-,-
40,基隆市,1997/03,基隆,7.4,0.85,24.4,-,39,11,27.81,2.64,0.47,2.17,18.54,-,-
41,新竹市,1997/03,新竹,5.7,0.82,25.0,58.0,35,9,25.44,2.96,0.3,2.66,18.84,-,-
42,嘉義市,1997/03,嘉義,6.4,0.94,25.2,98.0,-,-,-,2.83,0.52,2.3,21.09,-,-
43,宜蘭縣,1997/03,宜蘭,1.5,0.59,26.8,42.0,18,2,15.29,-,-,-,19.57,-,-
44,宜蘭縣,1997/03,冬山,1.6,0.66,19.3,45.0,21,6,14.88,2.33,0.14,2.19,18.69,-,-
45,桃園市,1997/03,桃園,11.3,0.95,24.5,-,50,16,33.73,2.71,0.5,2.21,18.79,-,-
46,桃園市,1997/03,中壢,9.0,1.49,-,80.0,70,30,39.4,-,-,-,18.6,-,-
47,桃園市,1997/03,大園,4.7,0.46,38.1,51.0,21,6,14.88,-,-,-,18.49,-,-
48,桃園市,1997/03,龍潭,4.8,0.7,18.4,65.0,31,7,24.88,-,-,-,17.66,-,-
49,桃園市,1997/03,平鎮,7.1,0.78,24.5,58.0,35,7,27.5,2.4,0.35,2.04,18.5,-,-
