序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2012/07,松山,2.6,0.37,410.23,20.9,33,19,20.51,5.55,14.96,1.978,0.177,1.801,30.3,65.76
2,臺北市,2012/07,古亭,2.4,0.4,-,19.5,40,21,20.59,6.36,14.23,1.904,0.157,1.747,30.71,71.1
3,臺北市,2012/07,中山,2.9,0.58,-,16.8,39,27,29.9,10.9,19.0,2.062,0.223,1.838,31.27,65.9
4,臺北市,2012/07,大同,4.0,1.56,-,-,46,25,59.73,35.34,24.4,2.527,0.56,1.967,-,-
5,臺北市,2012/07,萬華,3.2,0.45,-,18.0,32,18,24.34,6.82,17.52,-,-,-,31.09,66.23
6,臺北市,2012/07,陽明,1.9,0.12,388.96,25.4,13,10,5.14,1.2,3.92,-,-,-,23.07,88.9
7,臺北市,2012/07,士林,2.9,0.27,-,20.9,39,18,15.24,3.43,11.81,-,-,-,30.6,63.09
8,新北市,2012/07,板橋,4.4,0.4,-,20.5,30,15,22.12,6.12,16.0,2.091,0.261,1.83,31.04,63.89
9,新北市,2012/07,三重,3.6,1.49,-,-,55,25,97.3,67.27,30.03,2.592,0.656,1.935,30.76,63.78
10,新北市,2012/07,菜寮,3.7,0.4,-,19.4,25,19,20.38,4.69,15.68,-,-,-,30.72,64.45
11,新北市,2012/07,永和,3.2,0.71,-,17.5,29,16,26.39,10.84,15.55,2.122,0.284,1.838,30.55,73.12
12,新北市,2012/07,新莊,6.0,0.36,-,22.8,28,17,20.23,4.76,15.46,-,-,-,30.61,67.17
13,新北市,2012/07,新店,2.1,0.25,-,25.2,23,14,10.92,2.42,8.5,-,-,-,29.82,75.36
14,新北市,2012/07,淡水,2.6,0.2,-,20.6,25,-,11.31,2.68,8.63,-,-,-,-,-
15,新北市,2012/07,汐止,4.2,0.27,-,19.5,26,16,19.55,6.13,13.42,-,-,-,30.56,72.68
16,新北市,2012/07,土城,3.2,0.31,-,22.1,24,16,19.37,5.95,13.42,1.989,0.189,1.8,30.39,69.42
17,新北市,2012/07,林口,4.0,0.24,-,20.3,28,14,17.76,4.27,13.49,-,-,-,29.1,76.72
18,新北市,2012/07,萬里,2.9,0.15,-,24.5,21,12,8.95,2.35,6.6,-,-,-,29.47,74.01
19,臺中市,2012/07,西屯,3.2,0.22,-,23.1,43,-,15.43,3.44,11.99,1.893,0.168,1.725,29.67,73.45
20,臺中市,2012/07,忠明,2.9,0.29,-,23.6,31,19,14.9,3.23,11.67,1.835,0.119,1.716,30.31,68.42
21,臺中市,2012/07,豐原,2.9,0.33,-,27.7,44,25,11.5,2.06,9.44,1.914,0.121,1.792,29.36,68.63
22,臺中市,2012/07,沙鹿,3.3,0.22,-,23.2,28,18,12.75,2.32,10.43,-,-,-,29.67,73.2
23,臺中市,2012/07,大里,2.8,0.29,414.47,28.5,38,25,13.59,2.85,10.74,1.917,0.171,1.746,30.32,66.98
24,臺南市,2012/07,新營,2.5,0.24,-,21.5,53,20,9.77,1.94,7.83,2.036,0.085,1.95,29.62,81.54
25,臺南市,2012/07,善化,3.3,0.17,412.29,23.9,42,22,10.16,2.28,7.88,-,-,-,29.2,81.32
26,臺南市,2012/07,安南,2.8,0.23,-,24.4,41,16,11.58,2.7,8.87,1.938,0.17,1.768,29.73,74.74
