序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/09,松山,2.7,0.33,423.15,25.2,28,14,19.66,5.42,14.24,1.828,0.109,1.718,1.85,1.37,28.09,-,-,72.05,-
2,臺北市,2018/09,古亭,1.9,0.35,-,25.1,25,16,18.78,4.82,13.96,1.966,0.11,1.855,2.11,2.03,28.3,-,-,68.06,-
3,臺北市,2018/09,中山,2.3,0.46,-,21.7,28,15,24.33,6.53,17.8,1.96,0.15,1.811,2,1.53,28.59,-,-,74.43,-
4,臺北市,2018/09,大同,3,1.15,-,-,43,14,59.36,33.94,25.43,2.28,0.341,1.939,-,-,-,-,-,-,-
5,臺北市,2018/09,萬華,2.1,0.4,-,22.3,31,15,22.75,5.13,17.62,-,-,-,1.81,1.44,28.98,-,-,70.72,-
6,臺北市,2018/09,陽明,1.7,0.13,412.11,35.4,13,9,2.64,0.54,2.08,-,-,-,3.3,-,21.55,4.58,4.51,93.85,52.14
7,臺北市,2018/09,士林,2.1,0.26,-,29.1,28,15,12.4,2.41,10,-,-,-,2.24,1.91,28.91,-,-,73.8,-
8,新北市,2018/09,板橋,2.9,0.42,-,24.6,36,13,20.07,3.57,16.5,2.092,0.178,1.914,2.09,1.63,29.3,22.43,4.09,70.08,90.35
9,新北市,2018/09,三重,3.6,1.05,-,-,42,13,75,46.94,28.06,2.203,0.343,1.861,-,-,29.11,-,-,71.09,-
10,新北市,2018/09,菜寮,2.4,0.39,-,23.7,30,12,17.44,3.34,14.1,-,-,-,2.41,1.98,28.73,-,-,69.34,-
11,新北市,2018/09,永和,2,0.62,-,22.7,22,14,25.94,9.29,16.64,2.006,0.191,1.816,1.82,1.47,28.22,-,-,71.35,-
12,新北市,2018/09,新莊,3.7,0.38,-,27.2,28,13,18.23,3.85,14.39,-,-,-,2.8,2.43,28.79,-,-,64.61,-
13,新北市,2018/09,新店,1.8,0.29,-,25.9,28,13,12.58,2.44,10.14,-,-,-,2.01,1.58,28.09,-,-,66.12,-
14,新北市,2018/09,淡水,2.3,0.24,-,26.8,32,15,8.46,1.45,7.01,-,-,-,1.63,-,26.99,-,-,80.86,-
15,新北市,2018/09,汐止,2.3,0.31,-,28.6,25,7,16.95,4.84,12.11,-,-,-,1.79,1.43,28.35,-,-,76.15,-
16,新北市,2018/09,土城,2.1,0.37,-,25.4,31,14,18.78,4.39,14.39,1.985,0.151,1.834,1.51,0.9,28.47,-,-,70.93,-
17,新北市,2018/09,林口,2.7,0.24,-,31.7,33,9,14.12,2.95,11.16,-,-,-,2.94,2.58,27.06,-,-,77.87,-
18,新北市,2018/09,富貴角,1,0.12,-,36.5,44,16,2.97,0.36,2.7,1.834,0.021,1.813,5.52,5.41,27.65,-,-,81.21,-
19,新北市,2018/09,萬里,3,0.17,-,35.1,45,13,5.93,1.64,4.29,-,-,-,4.39,5.98,27.56,3.36,4.72,79.33,234.12
20,臺中市,2018/09,西屯,2.4,0.27,-,32.4,38,20,12.66,2.01,10.67,1.923,0.127,1.796,2.92,2.34,27.57,1.08,4.62,72.52,28.33
21,臺中市,2018/09,忠明,2.3,0.32,-,31.9,33,19,15.21,3.02,12.19,1.869,0.1,1.77,2.08,1.55,28.86,-,-,68.72,-
22,臺中市,2018/09,豐原,2.3,0.29,-,32.1,35,17,10.91,1.94,8.97,1.873,0.102,1.771,2.23,1.91,26.66,-,-,70.81,-
23,臺中市,2018/09,沙鹿,2.8,0.26,-,34.1,38,17,13.07,1.82,11.24,-,-,-,3.58,3.22,27.6,-,-,73.4,-
