序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/06,松山,3.5,0.78,397.04,23.3,47,-,42.52,16.79,25.73,-,-,-,26.96,-,-,-
2,臺北市,2003/06,古亭,2.3,0.87,-,25.8,35,25,34.1,10.73,23.38,2.948,0.63,2.32,27.55,-,-,-
3,臺北市,2003/06,中山,3.1,0.86,-,20.9,50,-,42.71,12.73,29.98,2.447,0.47,1.97,27.88,-,-,-
4,臺北市,2003/06,大同,6.7,2.61,-,-,89,-,124.1,80.43,43.67,3.717,1.31,2.4,28.64,-,-,-
5,臺北市,2003/06,萬華,2.2,0.83,-,27.2,40,-,33.46,11.08,22.38,-,-,-,27.05,-,-,-
6,臺北市,2003/06,陽明,1.4,0.32,376.8,44.4,19,-,5.05,0.33,4.72,-,-,-,21.68,-,-,-
7,臺北市,2003/06,士林,2.1,0.65,-,25.5,34,-,25.7,6.18,19.51,-,-,-,26.66,-,-,-
8,新北市,2003/06,板橋,4.5,0.95,-,26.7,-,-,-,-,-,-,-,-,-,-,-,-
9,新北市,2003/06,三重,5.7,2.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,新北市,2003/06,菜寮,4.2,0.94,-,19.4,41,-,38.42,10.73,27.69,-,-,-,28.05,-,-,-
11,新北市,2003/06,永和,4.3,1.55,-,21.1,-,-,-,-,-,-,-,-,-,-,-,-
12,新北市,2003/06,新莊,5.9,0.75,-,26.4,50,-,31.23,7.79,23.46,2.746,0.83,1.92,27.37,-,-,-
13,新北市,2003/06,新店,1.3,0.6,-,28.0,32,-,17.59,2.35,15.21,-,-,-,27.74,-,-,-
14,新北市,2003/06,淡水,2.5,0.75,-,26.8,43,-,26.01,5.99,20.02,-,-,-,27.07,-,-,-
15,新北市,2003/06,汐止,4.5,0.67,-,21.5,33,-,31.48,9.45,22.02,-,-,-,27.28,-,-,-
16,新北市,2003/06,土城,3.6,0.7,-,22.3,36,-,-,-,-,-,-,-,27.34,-,-,-
17,新北市,2003/06,林口,3.7,0.45,-,29.4,37,-,21.88,4.64,17.2,-,-,-,25.78,-,-,-
18,新北市,2003/06,萬里,0.4,0.4,-,27.0,31,-,10.59,2.31,8.29,2.702,0.27,2.43,26.13,-,-,-
19,臺中市,2003/06,西屯,2.1,0.57,-,23.7,47,-,20.97,7.22,13.75,2.167,0.29,1.88,27.61,-,-,-
20,臺中市,2003/06,忠明,2.7,0.77,-,26.4,50,47,25.43,4.72,20.71,-,-,-,28.38,-,-,-
21,臺中市,2003/06,豐原,2.7,0.66,-,28.4,43,-,18.61,1.88,16.77,-,-,-,27.03,-,-,-
22,臺中市,2003/06,沙鹿,3.0,0.5,-,22.4,32,-,16.15,2.13,14.03,-,-,-,27.33,-,-,-
23,臺中市,2003/06,大里,2.2,0.66,359.41,25.7,52,-,19.92,3.66,16.26,-,-,-,27.21,-,-,-
24,臺南市,2003/06,新營,2.0,0.45,-,30.1,35,-,10.46,1.37,9.18,2.603,0.28,2.32,27.76,-,-,-
25,臺南市,2003/06,善化,3.5,0.38,-,28.3,36,-,13.11,3.38,9.76,-,-,-,27.8,-,-,-
26,臺南市,2003/06,安南,2.4,0.5,-,30.3,43,-,14.52,3.1,11.43,-,-,-,29.11,-,-,-
27,臺南市,2003/06,臺南,2.7,0.53,-,27.1,39,-,12.15,2.11,10.1,2.211,0.29,1.92,27.73,-,-,-
28,高雄市,2003/06,左營,4.3,0.65,-,26.3,40,-,19.46,5.04,14.42,1.871,0.2,1.67,28.46,-,-,-
29,高雄市,2003/06,楠梓,8.4,0.58,-,24.1,-,-,23.62,9.0,15.03,2.149,0.37,1.78,28.15,-,-,-
30,高雄市,2003/06,前金,4.3,0.63,-,30.1,44,-,19.07,4.47,14.72,-,-,-,27.77,-,-,-
31,高雄市,2003/06,前鎮,9.3,-,-,-,60,-,26.41,9.03,17.4,2.268,0.35,1.91,29.31,-,-,-
32,高雄市,2003/06,復興,5.5,0.67,-,-,53,-,22.53,5.35,17.19,2.685,0.34,2.35,28.75,-,-,-
33,高雄市,2003/06,小港,6.4,0.52,-,21.7,47,-,20.81,4.98,15.84,2.18,0.3,1.88,24.86,-,-,-
34,高雄市,2003/06,鳳山,6.0,0.69,-,28.9,44,-,21.76,8.12,13.63,-,-,-,29.03,-,-,-
35,高雄市,2003/06,林園,2.4,0.37,-,29.9,51,20,7.89,2.08,5.86,2.158,0.19,1.97,27.57,-,-,-
36,高雄市,2003/06,大寮,2.4,0.53,-,36.9,48,-,11.93,1.61,10.34,-,-,-,28.34,-,-,-
37,高雄市,2003/06,仁武,4.6,0.55,-,22.2,42,-,19.78,4.47,15.31,2.088,0.17,1.92,28.18,-,-,-
38,高雄市,2003/06,橋頭,2.7,0.44,-,24.5,27,-,16.44,3.66,12.78,2.348,0.23,2.12,27.92,-,-,-
39,高雄市,2003/06,美濃,1.8,0.44,-,35.2,47,-,8.27,0.72,7.56,-,-,-,27.15,-,-,-
40,基隆市,2003/06,基隆,4.2,0.7,-,26.6,43,-,27.6,6.86,20.73,2.81,0.44,2.37,26.64,-,-,-
41,新竹市,2003/06,新竹,3.7,0.58,-,20.5,31,-,19.56,3.85,15.71,2.378,0.24,2.13,27.68,-,-,-
42,嘉義市,2003/06,嘉義,1.4,0.49,-,30.0,49,-,11.27,2.54,8.72,2.026,0.28,1.75,27.26,-,-,-
43,宜蘭縣,2003/06,宜蘭,0.4,0.53,392.29,27.3,31,-,10.79,1.42,9.38,-,-,-,26.41,-,-,-
44,宜蘭縣,2003/06,冬山,1.5,0.57,-,20.6,37,-,15.89,4.73,11.16,2.299,0.36,1.93,27.41,-,-,-
45,桃園市,2003/06,桃園,6.7,0.64,-,21.9,46,-,28.15,6.23,21.92,2.707,0.48,2.22,26.84,-,-,-
