序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2005/04,松山,5.9,0.88,410.45,30.0,74,-,45.02,12.61,32.41,-,-,-,23.33,-,-,70.46,-
2,臺北市,2005/04,古亭,5.5,0.92,-,28.2,65,35,46.27,12.12,34.15,2.336,0.329,2.007,22.51,-,-,73.56,-
3,臺北市,2005/04,中山,6.4,1.18,-,19.4,72,40,58.42,20.17,38.25,-,-,-,23.05,-,-,68.74,-
4,臺北市,2005/04,大同,6.5,1.27,-,19.8,79,-,81.96,37.63,44.34,-,-,-,23.25,-,-,-,-
5,臺北市,2005/04,萬華,5.4,0.98,-,30.3,69,-,38.04,8.17,29.86,-,-,-,24.3,-,-,70.85,-
6,臺北市,2005/04,陽明,2.9,0.36,384.56,58.2,47,-,5.29,1.01,4.27,-,-,-,16.69,-,-,-,-
7,臺北市,2005/04,士林,4.6,0.64,-,34.1,63,-,32.19,6.86,25.33,-,-,-,23.1,-,-,71.65,-
8,新北市,2005/04,板橋,7.6,1.03,-,28.9,87,-,44.71,11.16,33.55,2.631,0.508,2.123,22.93,-,-,70.79,-
9,新北市,2005/04,三重,7.5,2.18,-,14.7,91,50,133.64,81.68,51.96,-,-,-,23.18,-,-,-,-
10,新北市,2005/04,菜寮,6.1,1.15,-,25.5,72,-,48.52,13.69,34.83,-,-,-,23.75,-,-,69.74,-
11,新北市,2005/04,永和,6.3,1.38,-,24.1,66,42,59.7,24.97,34.73,-,-,-,23.32,-,-,70.25,-
12,新北市,2005/04,新莊,8.5,0.96,-,30.1,88,47,39.68,11.01,28.66,-,-,-,23.56,-,-,75.94,-
13,新北市,2005/04,新店,4.1,0.64,-,34.3,61,-,26.72,5.87,20.85,-,-,-,21.53,-,-,71.58,-
14,新北市,2005/04,淡水,3.4,0.68,-,34.6,67,-,25.53,5.28,20.25,-,-,-,-,-,-,-,-
15,新北市,2005/04,汐止,7.1,0.79,-,24.0,66,-,41.18,13.16,28.01,-,-,-,22.79,-,-,73.23,-
16,新北市,2005/04,土城,6.6,0.9,-,30.8,78,-,44.71,13.66,31.05,-,-,-,23.49,-,-,69.66,-
17,新北市,2005/04,林口,6.2,0.53,-,33.1,71,-,31.35,6.21,25.14,-,-,-,20.87,-,-,76.31,-
18,新北市,2005/04,萬里,3.4,0.37,-,43.0,43,30,12.3,1.71,10.58,1.751,0.068,1.682,21.05,-,-,78.41,-
19,臺中市,2005/04,西屯,5.4,0.72,-,31.8,94,-,29.06,6.48,22.57,2.416,0.311,2.106,24.29,-,-,71.43,-
20,臺中市,2005/04,忠明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,臺中市,2005/04,豐原,5.7,0.8,-,32.7,73,-,25.94,4.86,21.09,-,-,-,22.88,-,-,70.05,-
