序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2017/10,松山,2.4,0.35,420.16,28.4,24,14,21.93,5.71,16.22,1.896,0.102,1.794,2,1.55,25.12,-,-,75.84,-
2,臺北市,2017/10,古亭,2,0.38,-,29.8,26,14,19.56,4.25,15.3,2.018,0.102,1.916,2.42,2.1,25.61,-,-,77.74,-
3,臺北市,2017/10,中山,2.2,0.59,-,21.3,38,14,30.22,9.25,20.96,2.074,0.175,1.899,0.93,0.48,26.25,-,-,80.86,-
4,臺北市,2017/10,大同,-,0.97,-,-,48,15,55.04,28.95,26.08,2.241,0.291,1.95,-,-,-,-,-,-,-
5,臺北市,2017/10,萬華,2.7,0.71,-,20.5,33,14,41.58,17.83,23.75,-,-,-,1.21,0.59,26.7,-,-,74.55,-
6,臺北市,2017/10,陽明,1.7,0.13,410.13,40.6,13,8,2.03,0.42,1.57,-,-,-,3.88,-,18.85,3.15,4.39,95.65,88.53
7,臺北市,2017/10,士林,1.9,0.29,-,35,31,14,11.93,2.83,9.1,-,-,-,2.66,2.21,26.27,-,-,75.67,-
8,新北市,2017/10,板橋,2.6,0.43,-,29.4,34,12,20.16,3.88,16.29,2.027,0.156,1.872,2.4,2.01,26.16,1.81,5.04,73.11,64.93
9,新北市,2017/10,三重,3.5,1.17,-,-,48,14,81.09,49.84,31.25,2.356,0.375,1.982,-,-,26.38,-,-,68.88,-
10,新北市,2017/10,菜寮,2.3,0.41,-,31.5,34,13,17.77,3.34,14.44,-,-,-,2.6,2.24,26.09,-,-,74.13,-
