序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2009/10,松山,2.6,0.44,396.04,29.3,49,28,25.9,4.9,21.0,1.869,0.159,1.711,24.97,73.96
2,臺北市,2009/10,古亭,2.7,0.52,-,30.1,51,27,26.56,5.94,20.62,2.007,0.147,1.86,24.72,77.79
3,臺北市,2009/10,中山,2.8,0.63,-,27.2,54,31,32.17,7.46,24.71,2.193,0.207,1.986,25.04,73.9
4,臺北市,2009/10,萬華,2.0,0.62,-,31.9,48,28,24.38,4.35,20.04,-,-,-,24.32,76.33
5,臺北市,2009/10,陽明,1.9,0.18,383.2,48.4,23,14,2.51,0.97,1.52,-,-,-,17.11,94.58
6,臺北市,2009/10,士林,2.0,0.31,-,42.8,57,19,11.59,1.89,9.7,-,-,-,24.91,70.81
7,新北市,2009/10,板橋,2.6,0.56,-,33.2,46,21,25.23,3.38,21.85,2.191,0.257,1.935,24.64,70.87
8,新北市,2009/10,三重,3.1,1.75,-,-,66,33,116.22,74.62,41.6,2.396,0.766,1.63,25.2,78.91
9,新北市,2009/10,菜寮,2.8,0.54,-,35.3,46,23,21.12,3.91,17.21,-,-,-,24.95,70.51
10,新北市,2009/10,永和,2.7,0.81,-,29.6,44,24,32.91,11.96,20.95,2.324,0.327,1.997,24.54,74.36
11,新北市,2009/10,新莊,2.9,0.44,-,37.5,44,23,18.46,2.25,16.2,-,-,-,24.02,74.37
12,新北市,2009/10,新店,2.0,0.36,-,35.8,36,17,14.8,2.45,12.35,-,-,-,24.13,79.09
13,新北市,2009/10,淡水,2.0,0.28,-,38.0,37,19,8.88,1.7,7.17,-,-,-,-,-
14,新北市,2009/10,汐止,3.1,0.34,-,37.0,43,17,16.29,2.36,13.92,-,-,-,24.01,83.94
15,新北市,2009/10,土城,2.3,0.46,-,35.4,43,23,17.63,2.76,14.87,2.096,0.191,1.905,24.86,75.06
16,新北市,2009/10,林口,2.5,0.28,-,43.1,44,20,10.12,1.33,8.77,-,-,-,22.96,77.39
17,新北市,2009/10,萬里,1.7,0.2,-,46.1,73,21,6.35,1.43,4.92,-,-,-,23.93,84.32
18,臺中市,2009/10,西屯,3.0,0.37,-,39.8,65,35,18.25,2.52,15.73,2.012,0.185,1.827,25.13,64.78
19,臺中市,2009/10,忠明,3.3,0.52,-,37.0,58,37,25.39,3.31,22.08,1.787,0.225,1.562,26.3,68.67
20,臺中市,2009/10,豐原,3.3,0.45,-,37.2,61,29,18.78,2.47,16.3,1.767,0.149,1.618,25.29,70.93
21,臺中市,2009/10,沙鹿,3.1,0.33,-,41.6,61,32,15.81,1.77,14.03,-,-,-,24.98,71.39
22,臺中市,2009/10,大里,3.1,0.53,423.81,33.6,62,37,24.11,3.4,20.7,1.832,0.259,1.573,26.93,66.68
23,臺南市,2009/10,新營,3.7,0.38,-,39.9,112,41,19.07,3.7,15.37,2.185,0.117,2.068,26.25,75.56
24,臺南市,2009/10,善化,3.9,0.34,412.22,40.0,104,41,18.25,3.03,15.22,-,-,-,25.7,78.25
25,臺南市,2009/10,安南,4.2,0.36,-,44.3,116,47,19.24,3.31,15.93,1.765,0.199,1.567,25.87,73.08
26,臺南市,2009/10,臺南,4.2,0.49,-,46.0,112,45,20.93,3.08,17.85,1.89,0.243,1.647,26.45,73.78
27,高雄市,2009/10,左營,6.4,0.55,-,42.5,105,51,22.81,3.8,19.01,1.867,0.238,1.629,26.7,75.42
28,高雄市,2009/10,楠梓,4.6,0.45,-,43.9,118,53,23.88,4.22,19.66,1.975,0.186,1.789,26.05,74.1
29,高雄市,2009/10,前金,6.2,0.52,-,46.3,101,57,23.3,4.12,19.18,2.171,0.222,1.949,26.34,75.58
30,高雄市,2009/10,前鎮,7.9,0.64,-,42.1,111,51,34.19,6.33,27.86,1.999,0.335,1.664,27.74,72.89
31,高雄市,2009/10,復興,8.7,0.89,-,40.3,110,47,36.44,7.46,28.97,2.443,0.439,2.004,27.14,76.92
32,高雄市,2009/10,小港,12.1,0.59,-,40.5,114,61,36.38,6.97,29.5,2.203,0.268,1.935,27.11,74.37
33,高雄市,2009/10,鳳山,9.9,0.67,-,40.5,130,52,29.88,4.74,25.14,2.098,0.376,1.722,26.83,75.07
34,高雄市,2009/10,林園,9.5,0.44,-,55.9,104,57,21.22,3.89,17.33,2.217,0.142,2.074,27.33,78.43
35,高雄市,2009/10,大寮,7.7,0.53,-,39.6,132,58,23.26,3.18,20.08,2.269,0.176,2.093,26.86,76.65
36,高雄市,2009/10,仁武,11.5,0.52,-,40.1,121,52,30.42,4.48,25.94,2.177,0.271,1.906,27.21,75.25
37,高雄市,2009/10,橋頭,5.1,0.47,-,39.2,104,48,23.1,3.01,20.09,-,-,-,26.58,77.19
38,高雄市,2009/10,美濃,3.4,0.39,-,46.3,102,50,12.05,2.37,9.67,-,-,-,27.05,79.87
39,基隆市,2009/10,基隆,1.9,0.31,-,39.4,40,21,11.53,2.38,9.14,1.721,0.11,1.611,24.05,78.98
40,新竹市,2009/10,新竹,2.7,0.38,-,40.0,52,29,17.03,2.24,14.79,1.965,0.139,1.826,25.38,70.92
41,嘉義市,2009/10,嘉義,4.7,0.48,-,32.6,90,50,21.76,2.68,19.08,2.091,0.187,1.904,26.1,70.33
42,宜蘭縣,2009/10,宜蘭,1.6,0.3,395.69,35.6,38,17,8.08,1.46,6.62,-,-,-,23.86,83.61
43,宜蘭縣,2009/10,冬山,2.0,0.34,-,33.8,38,19,14.64,3.64,11.0,-,-,-,23.72,83.56
44,桃園市,2009/10,桃園,4.8,0.43,-,37.1,52,26,17.79,2.47,15.32,1.863,0.138,1.725,24.38,77.21
45,桃園市,2009/10,中壢,5.0,0.65,-,28.9,63,28,32.14,9.15,22.99,2.221,0.297,1.924,23.7,79.93
46,桃園市,2009/10,大園,3.7,0.25,-,40.3,47,27,19.02,3.47,15.55,-,-,-,24.9,72.23
47,桃園市,2009/10,龍潭,2.6,0.35,-,40.0,56,23,15.22,2.76,12.45,-,-,-,22.63,84.22
48,桃園市,2009/10,平鎮,4.3,0.37,-,34.0,56,21,17.52,2.1,15.42,-,-,-,24.05,73.78
49,桃園市,2009/10,觀音,6.5,0.22,-,43.6,65,26,12.03,1.5,10.53,-,-,-,24.68,74.33
50,新竹縣,2009/10,竹東,1.7,0.29,-,37.0,38,20,12.22,2.4,9.82,-,-,-,24.53,72.09
51,新竹縣,2009/10,湖口,3.5,0.28,-,40.6,52,30,12.65,2.02,10.63,-,-,-,24.37,70.07
52,苗栗縣,2009/10,苗栗,3.9,0.38,-,38.7,48,25,16.65,2.67,13.98,-,-,-,25.24,69.36
53,苗栗縣,2009/10,頭份,2.9,0.31,-,41.7,51,28,15.17,1.87,13.29,-,-,-,24.73,71.7
54,苗栗縣,2009/10,三義,2.2,0.26,-,44.2,48,28,11.52,1.48,10.04,-,-,-,21.98,82.18
55,彰化縣,2009/10,彰化,4.2,0.43,-,33.4,74,40,28.54,5.6,22.94,1.99,0.193,1.797,25.65,67.1
56,彰化縣,2009/10,線西,4.1,0.29,-,40.5,66,33,16.74,2.5,14.24,-,-,-,25.65,71.41
57,彰化縣,2009/10,二林,2.7,0.27,-,39.1,74,41,14.06,1.54,12.51,-,-,-,25.48,71.78
58,南投縣,2009/10,南投,4.0,0.49,-,34.5,59,34,21.96,3.12,18.85,1.833,0.18,1.653,25.72,71.6
59,南投縣,2009/10,埔里,2.1,0.43,-,39.9,56,37,14.56,1.72,12.84,-,-,-,25.39,70.54
60,南投縣,2009/10,竹山,2.8,0.41,-,35.8,65,46,17.79,2.75,15.03,-,-,-,24.94,76.15
61,雲林縣,2009/10,斗六,3.0,0.41,-,37.1,79,45,19.39,2.45,16.94,-,-,-,26.22,72.61
62,雲林縣,2009/10,崙背,3.6,0.32,-,38.8,117,46,15.2,2.28,12.92,-,-,-,25.18,75.62
63,雲林縣,2009/10,臺西,4.7,0.25,-,42.8,92,36,11.56,1.77,9.79,-,-,-,25.41,77.54
64,嘉義縣,2009/10,朴子,3.6,0.34,-,44.0,132,39,14.5,1.61,12.88,-,-,-,26.05,74.18
65,嘉義縣,2009/10,新港,3.1,0.33,-,40.8,105,43,14.88,2.44,12.44,-,-,-,25.16,73.11
66,屏東縣,2009/10,屏東,4.7,0.59,-,43.9,107,53,18.85,1.84,17.01,2.263,0.259,2.004,27.21,72.37
67,屏東縣,2009/10,潮州,4.9,0.38,-,48.3,95,45,12.51,2.93,9.58,-,-,-,26.65,71.5
68,屏東縣,2009/10,恆春,1.8,0.15,383.25,42.7,38,17,3.77,1.95,1.82,-,-,-,26.36,76.12
69,臺東縣,2009/10,臺東,2.4,0.33,-,33.6,74,15,9.67,3.31,6.36,-,-,-,26.67,74.64
70,臺東縣,2009/10,關山,2.2,-,-,31.1,35,15,6.45,2.06,4.39,-,-,-,24.61,77.21
71,花蓮縣,2009/10,花蓮,2.2,0.45,-,24.7,38,23,15.05,3.29,11.75,-,-,-,25.58,80.43
72,澎湖縣,2009/10,馬公,1.6,0.21,-,55.9,57,25,3.38,0.75,2.59,-,-,-,25.63,72.83
73,金門縣,2009/10,金門,6.7,0.41,-,48.2,101,39,14.57,2.74,11.82,-,-,-,25.48,61.72
74,連江縣,2009/10,馬祖,3.1,0.27,-,57.9,72,35,6.1,1.51,4.6,-,-,-,23.23,78.5
,,,,,,,,,,,,,,,,,
