序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1994/08,松山,6.9,1.13,12.8,52.0,45,19,25.65,-,-,-,29.03,-,-
2,臺北市,1994/08,古亭,5.3,1.28,14.1,52.0,48,23,25.7,2.43,0.4,2.03,29.05,-,-
3,臺北市,1994/08,中山,7.6,1.51,10.9,53.0,57,28,27.46,2.72,0.47,2.25,29.17,-,-
4,臺北市,1994/08,大同,12.8,4.63,-,87.0,172,131,44.15,4.71,2.17,2.54,29.71,-,-
5,臺北市,1994/08,萬華,6.9,1.09,14.3,42.0,31,11,19.8,-,-,-,29.2,-,-
6,臺北市,1994/08,陽明,4.0,0.25,26.6,18.0,6,3,3.2,-,-,-,22.91,-,-
7,臺北市,1994/08,士林,5.5,0.89,12.4,39.0,27,12,12.25,-,-,-,29.05,-,-
8,新北市,1994/08,板橋,14.3,1.1,14.1,60.0,38,15,21.97,2.66,0.65,2.01,29.76,-,-
9,新北市,1994/08,菜寮,10.7,1.43,11.8,66.0,48,22,25.24,-,-,-,28.1,-,-
10,新北市,1994/08,新莊,15.4,0.85,12.5,56.0,35,15,19.33,3.14,0.93,2.23,28.53,-,-
11,新北市,1994/08,新店,3.7,0.67,17.7,36.0,21,5,14.54,-,-,-,28.87,-,-
12,新北市,1994/08,淡水,6.6,0.79,16.5,43.0,21,7,12.9,-,-,-,28.97,-,-
13,新北市,1994/08,汐止,7.1,0.73,11.2,36.0,44,22,19.92,-,-,-,28.5,-,-
14,新北市,1994/08,土城,8.7,0.72,17.6,50.0,28,9,17.61,-,-,-,28.93,-,-
15,新北市,1994/08,林口,7.7,0.61,17.6,50.0,23,13,13.24,-,-,-,26.84,-,-
16,新北市,1994/08,萬里,-,-,-,-,-,-,-,-,-,-,-,-,-
17,臺中市,1994/08,西屯,3.9,0.56,17.1,39.0,-,-,-,2.5,0.21,2.31,27.83,-,-
18,臺中市,1994/08,忠明,5.3,1.08,15.7,68.0,38,12,25.79,-,-,-,27.85,-,-
19,臺中市,1994/08,豐原,7.0,0.77,20.1,50.0,27,5,21.59,-,-,-,26.82,-,-
20,臺中市,1994/08,沙鹿,5.7,0.55,14.4,36.0,17,3,13.64,-,-,-,28.16,-,-
21,臺中市,1994/08,大里,5.8,0.45,16.6,56.0,25,5,19.44,-,-,-,28.22,-,-
22,臺南市,1994/08,新營,2.7,0.45,17.4,32.0,12,2,9.79,-,-,-,27.16,-,-
23,臺南市,1994/08,善化,3.0,0.33,26.5,26.0,9,2,7.79,-,-,-,26.82,-,-
24,臺南市,1994/08,安南,3.9,0.58,14.5,43.0,21,7,13.54,-,-,-,27.25,-,-
25,臺南市,1994/08,臺南,5.0,0.72,13.8,56.0,23,8,14.89,2.39,0.33,2.05,27.4,-,-
26,高雄市,1994/08,左營,7.8,0.78,15.5,41.0,29,12,16.54,2.1,0.34,1.77,28.74,-,-
27,高雄市,1994/08,楠梓,6.2,0.54,10.9,40.0,29,11,17.86,2.55,0.65,1.89,28.64,-,-
