序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/04,松山,4.0,1.11,19.8,73.0,-,62,23.1,39.23,-,-,-,21.19,-,-,-
2,臺北市,2000/04,古亭,3.4,1.12,22.3,70.0,30,55,20.69,33.82,2.48,0.45,2.04,21.61,-,-,-
3,臺北市,2000/04,中山,4.0,1.31,19.0,90.0,-,63,24.8,38.63,3.02,0.57,2.45,21.66,-,-,-
4,臺北市,2000/04,大同,7.3,3.51,-,94.0,-,179,124.59,54.09,4.38,1.98,2.4,22.35,-,-,-
5,臺北市,2000/04,萬華,3.6,1.28,22.0,71.0,-,49,14.64,33.9,-,-,-,20.99,-,-,-
6,臺北市,2000/04,陽明,1.2,0.33,49.8,27.0,-,4,0.22,3.72,-,-,-,16.1,-,-,-
7,臺北市,2000/04,士林,2.0,0.97,24.9,61.0,-,-,-,-,-,-,-,21.3,-,-,-
8,新北市,2000/04,板橋,6.3,1.28,20.7,87.0,-,55,19.97,35.07,2.86,0.69,2.17,21.8,-,-,-
9,新北市,2000/04,三重,5.0,2.82,-,112.0,29,165,110.05,53.57,2.97,0.93,2.04,21.66,-,-,-
10,新北市,2000/04,菜寮,4.9,1.27,20.8,89.0,-,60,22.72,37.5,-,-,-,21.22,-,-,-
11,新北市,2000/04,永和,5.4,1.84,-,100.0,-,81,42.66,38.36,2.97,0.76,2.21,21.48,-,-,-
12,新北市,2000/04,新莊,6.1,1.04,27.6,82.0,-,48,15.24,33.31,2.67,0.6,2.07,20.92,-,-,-
13,新北市,2000/04,新店,2.1,0.8,28.0,63.0,-,30,6.51,23.08,-,-,-,21.5,-,-,-
14,新北市,2000/04,淡水,2.1,0.81,30.8,54.0,-,27,6.66,20.41,-,-,-,20.89,-,-,-
15,新北市,2000/04,汐止,3.4,0.96,22.2,74.0,-,53,18.53,34.3,-,-,-,20.58,-,-,-
16,新北市,2000/04,土城,4.3,1.08,22.5,70.0,-,47,17.24,30.23,-,-,-,21.07,-,-,-
17,新北市,2000/04,林口,3.4,0.62,29.8,64.0,-,27,5.29,21.77,-,-,-,19.35,-,-,-
18,新北市,2000/04,萬里,1.3,0.38,43.4,70.0,-,10,1.44,8.96,2.09,0.04,2.05,20.28,-,-,-
19,臺中市,2000/04,西屯,3.2,0.69,20.7,96.0,-,42,15.59,26.53,2.61,0.29,2.32,22.64,-,-,-
20,臺中市,2000/04,忠明,2.8,1.15,19.0,73.0,47,46,16.8,28.97,-,-,-,23.51,-,-,-
21,臺中市,2000/04,豐原,3.1,0.76,19.0,67.0,-,40,9.34,30.58,-,-,-,22.02,-,-,-
22,臺中市,2000/04,沙鹿,4.4,0.67,21.9,60.0,-,31,6.08,25.06,-,-,-,22.66,-,-,-
23,臺中市,2000/04,大里,3.3,0.92,15.7,59.0,-,42,11.48,30.69,-,-,-,22.18,-,-,-
24,臺南市,2000/04,新營,3.5,0.59,25.0,52.0,-,-,-,-,2.44,0.16,2.28,24.37,-,-,-
25,臺南市,2000/04,善化,4.1,0.53,26.9,67.0,-,23,4.13,18.49,-,-,-,24.58,-,-,-
26,臺南市,2000/04,安南,4.6,0.58,27.6,74.0,-,24,4.68,19.78,-,-,-,24.19,-,-,-
27,臺南市,2000/04,臺南,5.3,0.9,20.9,74.0,-,33,7.66,24.98,2.69,0.36,2.33,25.12,-,-,-
28,高雄市,2000/04,左營,5.5,0.65,32.4,75.0,-,27,5.09,21.44,2.39,0.3,2.1,25.11,-,-,-
29,高雄市,2000/04,楠梓,4.0,0.56,33.0,80.0,-,31,7.42,23.24,2.43,0.23,2.2,25.43,-,-,-
30,高雄市,2000/04,前金,6.5,0.71,26.4,64.0,-,28,5.64,22.68,-,-,-,26.33,-,-,-
31,高雄市,2000/04,前鎮,11.5,-,-,78.0,-,38,9.3,28.63,2.34,0.35,1.99,25.13,-,-,-
