序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/05,松山,10.4,1.33,19.3,69.0,62,23,38.78,-,-,-,24.13,-,-
2,臺北市,1995/05,古亭,6.2,1.38,18.7,61.0,57,21,35.25,2.59,0.5,2.1,24.44,-,-
3,臺北市,1995/05,中山,10.3,1.58,17.0,66.0,64,26,37.49,2.94,0.6,2.33,24.43,-,-
4,臺北市,1995/05,大同,16.5,4.75,-,85.0,201,143,57.48,4.8,2.24,2.56,25.14,-,-
5,臺北市,1995/05,萬華,7.9,1.4,21.2,66.0,47,14,32.68,-,-,-,24.38,-,-
6,臺北市,1995/05,陽明,3.1,0.3,47.5,21.0,2,0,1.81,-,-,-,18.69,-,-
7,臺北市,1995/05,士林,5.7,1.05,20.0,59.0,46,15,31.03,-,-,-,24.35,-,-
8,新北市,1995/05,板橋,14.7,1.4,19.8,76.0,62,20,42.28,2.99,0.76,2.23,24.45,-,-
9,新北市,1995/05,菜寮,9.9,1.56,17.7,71.0,63,24,38.81,-,-,-,24.63,-,-
10,新北市,1995/05,新莊,12.6,1.19,24.7,68.0,51,20,31.68,2.84,0.57,2.29,24.0,-,-
11,新北市,1995/05,新店,4.0,0.88,30.4,51.0,28,5,23.27,-,-,-,24.24,-,-
12,新北市,1995/05,淡水,4.3,1.05,23.7,62.0,31,10,20.76,-,-,-,24.4,-,-
13,新北市,1995/05,汐止,10.1,1.03,18.8,68.0,62,27,35.03,-,-,-,23.23,-,-
14,新北市,1995/05,土城,9.2,1.03,21.7,65.0,46,14,32.2,-,-,-,24.34,-,-
15,新北市,1995/05,林口,7.8,0.61,29.2,57.0,28,7,21.69,-,-,-,22.18,-,-
16,新北市,1995/05,萬里,2.6,0.47,38.6,55.0,12,2,9.87,2.12,0.1,2.01,22.81,-,-
17,臺中市,1995/05,西屯,6.4,0.75,20.4,-,37,14,23.52,2.78,0.48,2.3,24.93,-,-
18,臺中市,1995/05,忠明,7.0,1.15,20.1,80.0,52,18,34.02,-,-,-,25.38,-,-
19,臺中市,1995/05,豐原,7.5,1.06,21.7,65.0,46,13,32.93,-,-,-,24.19,-,-
20,臺中市,1995/05,沙鹿,6.1,0.68,19.4,65.0,32,7,24.34,-,-,-,24.92,-,-
21,臺中市,1995/05,大里,-,1.01,22.1,85.0,36,11,25.62,-,-,-,25.75,-,-
22,臺南市,1995/05,新營,5.6,0.56,20.2,63.0,22,5,17.69,-,-,-,26.24,-,-
23,臺南市,1995/05,善化,4.3,0.47,29.9,49.0,18,4,14.12,-,-,-,26.14,-,-
24,臺南市,1995/05,安南,7.4,0.55,19.5,75.0,24,8,16.74,-,-,-,26.26,-,-
25,臺南市,1995/05,臺南,9.0,0.87,19.2,89.0,34,10,23.45,3.02,0.97,2.04,26.31,-,-
26,高雄市,1995/05,左營,12.5,0.78,22.3,57.0,32,10,22.57,2.58,0.35,2.25,26.16,-,-
27,高雄市,1995/05,楠梓,8.0,0.6,17.2,60.0,35,10,24.86,2.67,0.45,2.27,27.45,-,-
28,高雄市,1995/05,前金,11.8,0.89,22.2,72.0,31,8,22.69,-,-,-,26.63,-,-
29,高雄市,1995/05,前鎮,19.1,-,-,77.0,42,12,30.46,2.37,0.44,1.95,26.47,-,-
30,高雄市,1995/05,小港,17.1,0.89,17.1,75.0,38,12,25.71,2.29,0.33,1.96,27.87,-,-
31,高雄市,1995/05,鳳山,14.4,0.99,20.3,79.0,42,10,31.18,-,-,-,26.91,-,-
32,高雄市,1995/05,林園,7.4,0.46,23.5,75.0,15,2,12.98,2.56,0.26,2.3,26.51,-,-
33,高雄市,1995/05,大寮,10.8,0.61,19.1,73.0,23,4,19.44,-,-,-,26.59,-,-
34,高雄市,1995/05,仁武,9.9,0.69,16.7,71.0,34,11,23.36,2.4,0.36,2.07,26.8,-,-
35,高雄市,1995/05,橋頭,8.0,0.63,16.8,68.0,28,8,19.83,3.03,0.74,2.28,26.34,-,-
36,高雄市,1995/05,美濃,3.1,0.48,31.1,67.0,13,2,11.74,-,-,-,25.64,-,-
37,基隆市,1995/05,基隆,10.5,1.05,24.6,60.0,47,17,30.34,2.84,0.53,2.3,23.29,-,-
38,新竹市,1995/05,新竹,6.0,1.02,-,50.0,38,13,24.56,3.07,0.4,2.67,23.46,-,-
39,嘉義市,1995/05,嘉義,7.8,0.81,23.9,47.0,-,-,-,2.41,0.33,2.09,25.94,-,-
40,宜蘭縣,1995/05,宜蘭,2.2,0.69,26.2,46.0,21,3,17.07,-,-,-,23.57,-,-
41,宜蘭縣,1995/05,冬山,2.0,-,-,45.0,19,5,14.51,2.08,0.15,1.92,23.43,-,-
42,桃園市,1995/05,桃園,16.1,0.97,21.0,68.0,43,12,30.79,2.78,0.51,2.28,23.6,-,-
43,桃園市,1995/05,大園,7.6,0.7,31.0,52.0,31,9,22.01,-,-,-,22.46,-,-
44,桃園市,1995/05,龍潭,7.2,0.73,22.5,71.0,30,7,22.98,-,-,-,22.51,-,-
45,桃園市,1995/05,平鎮,9.6,0.97,18.8,72.0,38,10,28.18,3.16,0.72,2.44,23.5,-,-
46,桃園市,1995/05,觀音,9.7,0.42,31.6,57.0,19,3,16.37,2.17,0.19,1.98,23.49,-,-
47,新竹縣,1995/05,竹東,3.3,0.67,19.1,71.0,31,8,23.2,-,-,-,23.37,-,-
48,新竹縣,1995/05,湖口,6.1,0.68,21.0,53.0,32,10,22.36,-,-,-,23.95,-,-
49,苗栗縣,1995/05,苗栗,7.6,0.76,20.3,70.0,36,12,24.07,-,-,-,24.26,-,-
