序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/08,松山,3.5,0.42,422.45,20.8,26,24,6.31,17.9,2.04,0.206,1.837,29.56,68.97
2,臺北市,2013/08,古亭,2.8,0.49,-,18.3,33,25,7.49,17.73,2.0,0.193,1.809,29.4,76.32
3,臺北市,2013/08,中山,3.7,0.66,-,15.9,47,35,12.65,22.54,2.17,0.267,1.902,30.33,70.04
4,臺北市,2013/08,大同,4.2,1.68,-,-,40,66,39.76,25.94,2.54,0.556,1.987,-,-
5,臺北市,2013/08,萬華,3.2,0.56,-,15.9,30,29,8.52,20.73,-,-,-,30.19,71.09
6,臺北市,2013/08,陽明,1.8,0.12,402.74,28.5,11,5,1.32,3.58,-,-,-,23.61,92.68
7,臺北市,2013/08,士林,2.7,0.37,-,22.1,32,20,4.9,14.81,-,-,-,29.68,74.87
8,新北市,2013/08,板橋,4.8,0.52,-,19.1,30,26,7.91,18.38,2.17,0.297,1.869,30.13,69.3
9,新北市,2013/08,三重,4.0,1.53,-,-,46,100,67.53,32.53,2.59,0.624,1.965,29.68,70.06
10,新北市,2013/08,菜寮,3.9,0.51,-,20.7,31,25,6.43,18.44,-,-,-,29.91,68.51
11,新北市,2013/08,永和,3.0,0.91,-,16.4,28,35,14.75,20.43,2.23,0.331,1.895,29.91,76.41
12,新北市,2013/08,新莊,7.2,0.46,-,21.2,30,25,6.38,18.47,-,-,-,29.7,72.94
13,新北市,2013/08,新店,2.1,0.36,-,25.5,26,15,3.65,11.47,-,-,-,28.61,71.58
14,新北市,2013/08,淡水,2.9,0.3,-,20.6,26,15,4.12,10.53,-,-,-,-,-
15,新北市,2013/08,汐止,4.5,0.33,-,18.8,25,22,7.13,15.12,-,-,-,29.72,75.3
16,新北市,2013/08,土城,3.9,0.43,-,21.8,36,24,7.75,16.37,2.08,0.239,1.84,30.09,72.41
17,新北市,2013/08,林口,3.6,0.27,-,20.1,26,18,3.79,14.0,-,-,-,28.21,76.8
18,新北市,2013/08,萬里,3.0,0.16,-,24.9,25,8,2.23,6.23,-,-,-,28.0,76.28
19,臺中市,2013/08,西屯,3.0,0.28,-,22.4,35,18,4.03,13.65,1.97,0.18,1.785,29.02,77.57
20,臺中市,2013/08,忠明,3.1,0.36,-,27.0,27,18,4.07,13.77,1.92,0.136,1.782,29.35,73.47
21,臺中市,2013/08,豐原,4.2,0.3,-,25.5,36,11,2.12,8.47,1.91,0.12,1.792,27.87,80.57
22,臺中市,2013/08,沙鹿,3.4,0.26,-,25.2,29,14,2.46,11.45,-,-,-,29.3,77.83
23,臺中市,2013/08,大里,2.8,0.35,425.45,26.0,35,15,3.2,12.1,2.01,0.179,1.829,29.18,73.02
24,臺南市,2013/08,新營,2.3,0.24,-,24.7,41,9,1.65,7.54,2.06,0.063,1.993,28.49,81.59
25,臺南市,2013/08,善化,3.6,0.17,419.66,23.2,30,10,1.91,7.81,-,-,-,28.03,79.66
26,臺南市,2013/08,安南,2.9,0.25,-,22.1,38,13,2.91,9.77,1.98,0.185,1.795,29.31,79.94
27,臺南市,2013/08,臺南,3.3,0.29,-,24.2,35,11,1.88,9.44,1.84,0.143,1.699,29.69,81.16
28,高雄市,2013/08,左營,4.5,0.34,-,21.4,35,17,5.09,11.9,1.99,0.159,1.83,28.92,80.54
29,高雄市,2013/08,楠梓,5.0,0.3,-,20.0,40,18,5.17,13.11,1.97,0.217,1.749,29.04,79.93
30,高雄市,2013/08,前金,5.1,0.32,-,19.4,33,15,3.83,11.35,1.96,0.158,1.799,29.16,78.25
31,高雄市,2013/08,前鎮,6.6,0.31,-,18.0,33,20,5.0,15.19,2.01,0.213,1.799,28.91,76.82
32,高雄市,2013/08,復興,6.2,0.5,-,15.8,33,21,5.22,15.8,2.16,0.253,1.907,28.98,78.17
33,高雄市,2013/08,小港,10.2,0.35,-,18.1,37,21,5.65,15.41,1.98,0.194,1.788,29.72,78.01
34,高雄市,2013/08,鳳山,4.3,0.47,-,18.3,43,17,3.23,13.96,2.15,0.238,1.908,29.52,77.4
35,高雄市,2013/08,林園,2.9,0.15,-,24.3,25,8,1.65,6.46,1.97,0.07,1.898,28.3,78.52
36,高雄市,2013/08,大寮,3.6,0.25,-,19.2,32,12,2.72,9.75,2.04,0.125,1.918,28.37,82.36
37,高雄市,2013/08,仁武,5.1,0.3,-,18.9,34,18,4.17,14.15,2.02,0.163,1.857,28.73,80.85
38,高雄市,2013/08,橋頭,3.7,0.25,-,20.8,36,14,3.33,10.47,-,-,-,29.17,80.77
39,高雄市,2013/08,美濃,1.1,0.16,-,22.5,22,6,1.74,4.03,-,-,-,28.02,83.02
40,基隆市,2013/08,基隆,2.6,0.28,-,20.5,19,15,3.89,10.82,1.93,0.119,1.806,29.54,77.26
41,新竹市,2013/08,新竹,2.5,0.34,-,22.4,28,17,3.49,13.22,1.89,0.142,1.747,29.16,74.87
42,嘉義市,2013/08,嘉義,2.2,0.27,-,24.8,32,10,1.66,8.01,1.88,0.087,1.792,28.41,77.81
43,宜蘭縣,2013/08,宜蘭,1.7,0.21,412.08,21.4,27,7,1.98,5.08,-,-,-,30.12,78.85
44,宜蘭縣,2013/08,冬山,2.6,0.24,-,18.9,24,13,4.79,8.19,-,-,-,29.18,78.97
45,桃園市,2013/08,桃園,8.0,0.44,-,23.1,34,22,5.39,17.0,2.13,0.215,1.919,29.2,75.39
46,桃園市,2013/08,中壢,4.4,1.1,-,16.9,45,46,22.92,23.28,2.51,0.476,2.038,28.86,73.27
47,桃園市,2013/08,大園,2.5,0.26,-,23.6,36,17,4.54,12.43,-,-,-,29.49,82.27
48,桃園市,2013/08,龍潭,3.1,0.32,-,25.3,39,15,3.1,11.85,-,-,-,27.93,77.72
