序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
49,桃園市,2013/08,平鎮,4.2,0.34,-,21.7,39,20,4.03,15.75,-,-,-,28.98,76.99
50,桃園市,2013/08,觀音,4.9,0.22,-,23.1,38,12,2.98,9.3,-,-,-,29.19,80.74
51,新竹縣,2013/08,竹東,2.3,0.24,-,26.7,28,9,2.01,7.15,-,-,-,28.41,79.13
52,新竹縣,2013/08,湖口,3.5,0.22,-,23.4,26,15,3.54,11.33,-,-,-,28.88,75.15
53,苗栗縣,2013/08,苗栗,2.7,0.28,-,24.1,29,13,2.61,9.92,-,-,-,29.34,75.26
54,苗栗縣,2013/08,頭份,3.0,0.25,-,24.9,27,13,2.59,10.29,1.97,0.082,1.888,29.12,76.59
55,苗栗縣,2013/08,三義,2.1,0.19,-,25.5,32,9,1.69,7.45,-,-,-,26.9,79.57
56,彰化縣,2013/08,彰化,3.8,0.28,-,24.4,32,11,1.52,9.7,1.77,0.141,1.63,29.06,75.49
57,彰化縣,2013/08,線西,2.9,0.21,-,26.1,28,9,1.7,7.34,2.07,0.206,1.866,28.47,84.4
58,彰化縣,2013/08,二林,3.0,0.17,-,23.0,39,8,1.57,6.76,-,-,-,29.79,81.02
59,南投縣,2013/08,南投,2.1,0.3,-,23.7,37,12,2.01,9.52,1.94,0.094,1.845,28.47,79.28
60,南投縣,2013/08,埔里,1.8,0.28,-,26.7,29,10,1.63,8.08,-,-,-,27.3,79.17
61,南投縣,2013/08,竹山,2.3,0.2,-,25.1,34,8,1.45,6.78,-,-,-,27.39,77.68
62,雲林縣,2013/08,斗六,3.0,0.26,-,27.1,30,9,1.8,7.58,-,-,-,29.21,76.39
63,雲林縣,2013/08,崙背,2.4,0.17,-,24.4,31,8,1.45,6.79,-,-,-,29.19,84.71
64,雲林縣,2013/08,麥寮,3.1,0.17,-,24.9,33,10,2.81,7.29,2.12,0.076,2.039,28.98,83.24
65,雲林縣,2013/08,臺西,2.9,0.14,-,25.8,28,9,2.09,6.74,1.98,0.05,1.933,29.24,85.14
66,嘉義縣,2013/08,朴子,2.4,0.22,-,21.8,42,10,2.02,7.88,-,-,-,29.51,77.89
67,嘉義縣,2013/08,新港,2.9,0.23,-,23.4,33,11,2.36,8.87,-,-,-,29.06,78.25
68,屏東縣,2013/08,屏東,2.4,0.38,-,21.4,31,13,2.54,10.3,2.02,0.135,1.883,28.51,78.37
69,屏東縣,2013/08,潮州,1.8,0.15,-,22.8,33,5,1.21,4.13,-,-,-,27.73,85.26
70,屏東縣,2013/08,恆春,1.2,0.06,396.54,22.3,25,3,1.18,1.28,-,-,-,27.51,79.79
71,臺東縣,2013/08,臺東,1.0,0.3,-,15.3,25,8,3.29,5.09,-,-,-,28.63,80.94
72,臺東縣,2013/08,關山,1.2,-,-,13.1,21,4,1.56,2.2,-,-,-,26.58,82.62
73,花蓮縣,2013/08,花蓮,1.4,0.27,-,14.4,21,9,3.27,6.17,-,-,-,29.28,80.01
74,澎湖縣,2013/08,馬公,1.7,0.15,-,27.6,29,6,1.62,4.02,-,-,-,28.72,79.11
75,金門縣,2013/08,金門,4.8,0.2,-,28.3,45,12,2.35,9.45,-,-,-,28.31,78.02
76,連江縣,2013/08,馬祖,3.3,0.16,-,32.6,40,7,2.28,5.17,-,-,-,27.91,86.4
,,,,,,,,,,,,,,,,
