序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2006/07,松山,4.9,0.54,400.24,24.3,43,24,32.48,11.4,21.07,-,-,-,30.01,-,-,66.92,-
2,臺北市,2006/07,古亭,3.8,0.62,-,22.2,44,22,32.63,11.95,20.68,2.175,0.234,1.941,30.2,-,-,71.8,-
3,臺北市,2006/07,中山,4.4,0.79,-,18.1,45,24,42.78,17.84,24.94,2.466,0.435,2.031,30.38,-,-,65.51,-
4,臺北市,2006/07,萬華,3.6,0.61,-,26.7,38,22,27.65,8.79,18.86,-,-,-,31.32,-,-,67.41,-
5,臺北市,2006/07,陽明,2.4,0.14,388.65,35.4,15,10,5.21,1.22,3.98,-,-,-,23.62,-,-,-,-
6,臺北市,2006/07,士林,3.7,0.45,-,22.7,47,19,23.19,6.54,16.64,-,-,-,30.24,-,-,69.15,-
7,新北市,2006/07,板橋,5.2,0.58,-,24.4,46,21,28.93,9.68,19.25,2.341,0.336,2.005,30.26,-,-,67.68,-
8,新北市,2006/07,三重,5.6,1.78,-,13.1,56,31,114.29,79.8,34.49,2.671,0.733,1.939,31.23,-,-,-,-
9,新北市,2006/07,菜寮,4.7,0.72,-,17.7,38,16,37.27,14.28,23.0,-,-,-,31.15,-,-,65.59,-
10,新北市,2006/07,永和,3.9,1.1,-,17.1,40,25,48.12,22.16,25.96,-,-,-,31.3,-,-,67.84,-
11,新北市,2006/07,新莊,9.0,0.56,-,24.2,41,24,29.51,10.07,19.43,-,-,-,30.04,-,-,68.51,-
12,新北市,2006/07,新店,3.4,0.36,-,29.3,30,16,16.48,3.51,12.96,-,-,-,29.65,-,-,69.16,-
13,新北市,2006/07,淡水,2.7,0.39,-,20.5,42,15,18.09,5.03,13.06,-,-,-,-,-,-,-,-
14,新北市,2006/07,汐止,5.4,0.41,-,23.9,37,16,25.87,8.65,17.21,-,-,-,29.68,-,-,69.89,-
15,新北市,2006/07,土城,4.7,0.48,-,23.8,39,20,31.86,11.93,19.94,-,-,-,30.39,-,-,70.48,-
16,新北市,2006/07,林口,5.9,0.38,-,19.6,49,18,26.37,8.11,18.26,-,-,-,28.24,-,-,77.34,-
17,新北市,2006/07,萬里,2.9,0.2,-,29.1,28,14,11.17,2.59,8.57,1.742,0.092,1.65,28.9,-,-,75.48,-
18,臺中市,2006/07,西屯,3.1,0.27,-,25.1,41,24,15.87,4.34,11.53,-,-,-,29.75,-,-,70.69,-
19,臺中市,2006/07,忠明,2.6,0.44,-,23.2,42,21,20.56,5.62,14.94,-,-,-,29.16,-,-,71.35,-
20,臺中市,2006/07,豐原,2.7,0.39,-,28.3,43,21,14.03,2.38,11.65,1.917,0.166,1.753,27.97,-,-,73.35,-
21,臺中市,2006/07,沙鹿,2.9,0.22,-,30.2,33,16,11.96,2.83,9.12,-,-,-,29.27,-,-,74.51,-
22,臺中市,2006/07,大里,3.0,0.38,382.2,25.0,42,24,14.16,3.43,10.73,-,-,-,29.99,-,-,68.62,-
