序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2011/10,松山,3.0,0.46,405.16,26.0,41,24,31.2,10.53,20.67,2.133,0.175,1.958,24.01,75.95
2,臺北市,2011/10,古亭,2.6,0.53,-,27.9,45,24,29.43,8.92,20.51,2.115,0.163,1.953,24.5,79.42
3,臺北市,2011/10,中山,2.8,0.64,-,24.1,53,30,38.18,13.19,25.0,2.341,0.357,1.984,24.9,74.82
4,臺北市,2011/10,大同,3.5,1.49,-,-,47,28,73.52,42.37,31.15,2.563,0.57,1.993,-,-
5,臺北市,2011/10,萬華,2.3,0.56,-,23.3,38,25,34.3,10.13,24.16,-,-,-,25.19,74.96
6,臺北市,2011/10,陽明,1.4,0.16,390.84,43.7,14,11,2.45,1.0,1.43,-,-,-,17.64,96.69
7,臺北市,2011/10,士林,2.1,0.36,-,35.3,37,20,16.91,4.81,12.1,-,-,-,24.62,68.72
8,新北市,2011/10,板橋,2.9,0.55,-,27.5,41,25,27.23,6.49,20.74,2.237,0.27,1.968,24.44,71.77
9,新北市,2011/10,三重,3.1,1.84,-,-,56,29,121.03,79.82,41.21,2.861,0.784,2.078,24.45,70.84
10,新北市,2011/10,菜寮,2.9,0.56,-,31.7,41,27,25.29,6.83,18.45,-,-,-,24.56,72.15
11,新北市,2011/10,永和,2.6,0.77,-,26.2,38,24,30.89,12.94,17.95,2.259,0.328,1.931,24.37,74.34
12,新北市,2011/10,新莊,2.7,0.45,-,29.4,37,23,21.32,4.55,16.77,-,-,-,25.1,74.12
13,新北市,2011/10,新店,2.0,0.34,-,31.6,34,20,14.17,2.92,11.25,-,-,-,24.06,77.13
