序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2009/02,松山,3.3,0.75,411.22,19.6,49,32,38.59,12.06,26.53,2.269,0.274,1.995,20.13,76.52
2,臺北市,2009/02,古亭,3.2,0.79,-,22.5,56,33,38.99,12.54,26.46,2.157,0.24,1.916,20.57,78.91
3,臺北市,2009/02,中山,3.7,0.92,-,19.3,59,39,48.86,17.1,31.76,2.365,0.338,2.027,19.87,75.6
4,臺北市,2009/02,萬華,2.9,0.8,-,22.5,53,33,36.6,9.83,26.77,-,-,-,20.29,77.79
5,臺北市,2009/02,陽明,2.1,0.31,392.86,43.3,22,15,5.12,1.25,3.86,-,-,-,15.96,88.12
6,臺北市,2009/02,士林,3.1,0.65,-,26.7,58,29,27.21,6.98,20.24,-,-,-,20.32,74.64
7,新北市,2009/02,板橋,4.8,0.83,-,22.4,56,35,38.1,9.59,28.5,2.445,0.382,2.063,20.43,71.73
8,新北市,2009/02,三重,3.9,2.06,-,-,68,39,136.39,91.8,44.6,2.783,0.901,1.882,20.85,70.89
9,新北市,2009/02,菜寮,3.5,0.91,-,24.8,52,35,39.55,12.97,26.58,-,-,-,20.66,72.6
10,新北市,2009/02,永和,3.8,1.21,-,21.6,52,35,49.04,23.01,26.03,-,-,-,20.37,74.43
11,新北市,2009/02,新莊,5.2,0.76,-,26.5,52,35,35.51,9.69,25.82,-,-,-,19.84,74.12
12,新北市,2009/02,新店,3.0,0.58,-,30.4,39,26,24.61,4.71,19.88,-,-,-,20.12,78.44
13,新北市,2009/02,淡水,2.6,0.56,-,26.6,43,27,19.88,4.62,15.26,-,-,-,-,-
14,新北市,2009/02,汐止,3.0,0.61,-,24.0,49,28,31.38,10.51,20.86,-,-,-,19.75,86.53
15,新北市,2009/02,土城,4.6,0.73,-,29.2,57,36,34.9,10.88,24.02,2.294,0.307,1.987,20.24,75.52
16,新北市,2009/02,林口,3.8,0.48,-,30.4,49,28,21.42,3.78,17.64,-,-,-,17.85,88.42
17,新北市,2009/02,萬里,1.9,0.37,-,37.7,50,22,10.46,2.12,8.33,-,-,-,18.86,86.38
18,臺中市,2009/02,西屯,2.9,0.51,-,26.9,73,47,24.49,4.72,19.76,2.18,0.229,1.951,20.73,69.09
19,臺中市,2009/02,忠明,3.5,0.68,-,24.2,76,47,32.05,7.14,24.91,2.04,0.319,1.721,20.89,71.97
20,臺中市,2009/02,豐原,3.6,0.62,-,25.3,72,39,25.04,4.08,20.96,1.869,0.207,1.662,20.66,74.62
21,臺中市,2009/02,沙鹿,3.3,0.47,-,30.8,75,43,18.71,2.99,15.72,-,-,-,20.5,77.44
22,臺中市,2009/02,大里,2.5,0.66,415.29,25.4,72,48,31.27,6.96,24.31,2.025,0.298,1.726,21.38,74.62
23,臺南市,2009/02,新營,3.6,0.47,-,32.5,98,50,20.79,4.11,16.67,2.206,0.128,2.078,22.51,76.22
24,臺南市,2009/02,善化,3.9,0.42,394.95,34.2,87,46,20.96,5.15,15.82,-,-,-,21.74,63.1
25,臺南市,2009/02,安南,4.4,0.46,-,32.0,92,49,20.68,4.03,16.65,1.984,0.19,1.794,22.95,75.74
26,臺南市,2009/02,臺南,4.3,0.6,-,35.5,81,55,24.41,3.24,21.17,2.119,0.273,1.846,22.84,76.93
