序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2004/04,松山,3.7,0.86,421.12,31.5,74,-,51.2,13.61,37.6,-,-,-,22.1,-,-,70.59,-
2,臺北市,2004/04,古亭,3.4,0.92,-,26.0,76,-,50.55,12.22,38.33,3.235,0.635,2.6,21.49,-,-,66.5,-
3,臺北市,2004/04,中山,-,0.99,-,26.4,70,-,66.73,20.32,46.42,2.862,0.837,2.025,24.51,-,-,68.48,-
4,臺北市,2004/04,大同,5.7,0.79,-,-,73,-,82.26,37.34,44.92,3.019,0.655,2.364,22.73,-,-,-,-
5,臺北市,2004/04,萬華,-,0.9,-,36.1,67,43,38.3,7.53,30.77,-,-,-,23.33,-,-,70.3,-
6,臺北市,2004/04,陽明,1.6,0.28,381.28,63.4,40,-,5.02,0.27,4.77,-,-,-,17.06,-,-,-,-
7,臺北市,2004/04,士林,3.3,0.65,-,36.8,64,-,32.04,6.3,25.75,-,-,-,21.95,-,-,72.47,-
8,新北市,2004/04,板橋,6.9,0.93,-,32.3,88,-,44.95,9.52,35.43,2.911,0.708,2.204,22.02,-,-,67.43,-
9,新北市,2004/04,三重,9.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,新北市,2004/04,菜寮,3.9,0.88,-,29.9,73,-,46.59,12.79,33.66,-,-,-,22.31,-,-,69.85,-
11,新北市,2004/04,永和,4.4,-,-,28.8,64,-,55.03,20.93,34.1,2.756,0.615,2.142,19.43,-,-,70.44,-
12,新北市,2004/04,新莊,6.6,0.86,-,34.2,73,-,45.24,11.09,34.32,3.096,0.719,2.377,22.45,-,-,70.24,-
13,新北市,2004/04,新店,2.4,0.61,-,38.8,62,-,26.35,3.27,23.08,-,-,-,22.68,-,-,-,-
14,新北市,2004/04,淡水,3.1,0.86,-,38.6,60,-,29.78,5.18,24.6,-,-,-,22.59,-,-,-,-
15,新北市,2004/04,汐止,5.1,0.76,-,30.5,71,-,45.92,14.66,31.26,-,-,-,21.76,-,-,73.91,-
16,新北市,2004/04,土城,5.3,0.87,-,31.3,79,-,47.29,13.8,33.51,-,-,-,22.09,-,-,-,-
17,新北市,2004/04,林口,3.9,0.47,-,41.2,67,-,28.91,4.22,24.71,-,-,-,20.76,-,-,77.13,-
18,新北市,2004/04,萬里,1.6,0.3,-,36.4,59,-,10.16,1.12,9.02,2.659,0.407,2.252,21.92,-,-,77.09,-
19,臺中市,2004/04,西屯,4.0,0.77,-,33.5,86,-,33.34,7.64,25.72,2.818,0.454,2.363,23.4,-,-,70.79,-
20,臺中市,2004/04,忠明,3.8,0.86,-,27.4,80,52,36.53,7.62,28.92,-,-,-,23.51,-,-,71.01,-
21,臺中市,2004/04,豐原,4.2,0.79,-,33.2,65,-,27.38,3.91,23.49,-,-,-,22.14,-,-,73.82,-
22,臺中市,2004/04,沙鹿,4.6,0.64,-,37.6,-,-,-,-,-,-,-,-,23.45,-,-,72.79,-
23,臺中市,2004/04,大里,4.3,0.9,436.3,33.6,84,-,40.48,7.37,33.11,-,-,-,22.68,-,-,69.27,-
24,臺南市,2004/04,新營,4.0,0.49,-,42.1,87,-,20.35,2.08,18.36,2.609,0.373,2.236,23.35,-,-,71.02,-
25,臺南市,2004/04,善化,3.4,0.46,-,36.0,82,-,18.8,2.01,16.81,-,-,-,24.8,-,-,76.84,-
26,臺南市,2004/04,安南,3.4,0.62,-,38.9,78,-,-,-,-,-,-,-,24.75,-,-,-,-
27,臺南市,2004/04,臺南,3.6,0.76,-,45.2,73,-,20.75,1.66,19.19,2.627,0.344,2.283,24.2,-,-,-,-
28,高雄市,2004/04,左營,4.9,0.59,-,40.8,81,-,27.13,3.66,23.48,2.31,0.254,2.057,25.48,-,-,71.69,-
29,高雄市,2004/04,楠梓,5.5,0.57,-,27.8,80,-,26.29,4.96,21.35,2.569,0.325,2.244,25.48,-,-,70.68,-
30,高雄市,2004/04,前金,5.8,0.7,-,36.2,64,-,24.62,2.56,22.03,-,-,-,24.87,-,-,70.89,-
31,高雄市,2004/04,前鎮,7.9,-,-,-,75,-,34.24,7.14,27.1,2.56,0.311,2.249,25.6,-,-,70.88,-
32,高雄市,2004/04,復興,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,高雄市,2004/04,小港,10.1,0.58,-,33.3,78,-,33.41,6.95,26.47,2.43,0.414,2.017,25.93,-,-,72.45,-
34,高雄市,2004/04,鳳山,8.2,0.74,-,26.8,114,91,31.1,6.11,24.99,-,-,-,25.08,-,-,69.52,-
35,高雄市,2004/04,林園,6.3,0.43,-,44.9,74,49,17.74,2.82,14.92,2.988,0.263,2.725,25.92,-,-,71.64,-
36,高雄市,2004/04,大寮,8.4,0.51,-,34.0,88,-,28.2,3.78,24.58,2.7,0.234,2.467,25.9,-,-,72.22,-
37,高雄市,2004/04,仁武,9.0,0.49,-,30.7,86,-,33.66,5.88,27.77,2.446,0.303,2.144,24.64,-,-,70.23,-
