序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/06,松山,9.3,1.25,13.9,55.0,55,22,33.65,-,-,-,28.04,-,-
2,臺北市,1995/06,古亭,7.3,1.27,13.0,-,51,25,26.2,2.54,0.43,2.11,28.19,-,-
3,臺北市,1995/06,中山,10.7,1.46,11.7,55.0,58,27,30.86,2.8,0.61,2.19,28.39,-,-
4,臺北市,1995/06,大同,15.2,4.4,-,72.0,170,125,45.04,4.34,1.99,2.35,29.15,-,-
5,臺北市,1995/06,萬華,8.3,1.07,15.2,52.0,38,10,28.03,-,-,-,28.14,-,-
6,臺北市,1995/06,陽明,3.7,0.25,32.8,17.0,5,0,4.46,-,-,-,22.3,-,-
7,臺北市,1995/06,士林,7.4,0.88,17.5,53.0,39,15,24.37,-,-,-,28.17,-,-
8,新北市,1995/06,板橋,15.5,1.1,15.4,70.0,46,15,31.3,2.48,0.75,1.74,28.26,-,-
9,新北市,1995/06,菜寮,11.3,1.39,11.6,59.0,54,23,30.65,-,-,-,28.65,-,-
10,新北市,1995/06,新莊,18.6,0.95,16.5,57.0,42,15,26.43,2.86,0.54,2.32,27.89,-,-
11,新北市,1995/06,新店,4.6,0.71,21.9,48.0,22,4,18.52,-,-,-,27.72,-,-
12,新北市,1995/06,淡水,5.6,0.85,15.2,46.0,26,8,17.28,-,-,-,28.43,-,-
13,新北市,1995/06,汐止,10.8,0.98,14.5,62.0,57,28,29.75,-,-,-,27.12,-,-
14,新北市,1995/06,土城,9.9,0.82,15.8,52.0,37,12,24.34,-,-,-,28.36,-,-
15,新北市,1995/06,林口,9.4,0.49,19.4,46.0,27,9,18.62,-,-,-,25.98,-,-
16,新北市,1995/06,萬里,3.3,0.4,27.7,42.0,13,4,9.7,2.05,0.1,1.97,26.89,-,-
17,臺中市,1995/06,西屯,4.8,0.53,15.2,56.0,27,12,15.45,2.19,0.25,1.94,28.04,-,-
18,臺中市,1995/06,忠明,5.3,0.85,20.1,49.0,32,10,21.69,-,-,-,28.29,-,-
19,臺中市,1995/06,豐原,6.2,0.68,19.1,40.0,22,5,17.46,-,-,-,27.25,-,-
20,臺中市,1995/06,沙鹿,6.7,0.45,15.0,38.0,19,4,15.26,-,-,-,28.17,-,-
21,臺中市,1995/06,大里,-,0.71,16.3,62.0,17,5,12.34,-,-,-,28.67,-,-
22,臺南市,1995/06,新營,4.4,0.47,16.4,34.0,13,3,10.46,-,-,-,28.5,-,-
