序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/06,松山,2.9,0.35,426.67,29.5,29,13,19.73,4.78,14.95,1.9,0.114,1.786,1.84,1.39,28.23,-,-,73.2,-
2,臺北市,2018/06,古亭,2.3,0.36,-,30.3,29,11,19.33,4.48,14.85,1.952,0.109,1.843,2.05,1.73,28.77,-,-,68.63,-
3,臺北市,2018/06,中山,2.9,0.49,-,23.9,30,12,25.71,6.73,18.98,2.003,0.154,1.849,2.02,1.55,28.88,-,-,74.04,-
4,臺北市,2018/06,大同,3.4,1.18,-,-,44,15,57.62,30.85,26.77,2.294,0.345,1.949,-,-,-,-,-,-,-
5,臺北市,2018/06,萬華,2.4,0.4,-,26.9,28,14,21.52,4.53,16.99,-,-,-,1.97,1.59,29,-,-,71.66,-
6,臺北市,2018/06,陽明,1.8,0.14,417.25,38,13,9,3.32,0.67,2.63,-,-,-,2.22,-,21.78,1.33,4.6,91.92,34.78
7,臺北市,2018/06,士林,2.7,0.29,-,29.5,26,15,13.79,2.41,11.38,-,-,-,2.14,1.77,29.3,-,-,74.98,-
8,新北市,2018/06,板橋,3,0.42,-,28.4,32,12,20.31,3.57,16.74,2.117,0.182,1.935,2.14,1.67,29.2,31.95,4.66,69.77,24.49
9,新北市,2018/06,三重,3.8,1.08,-,-,46,13,69.54,41.45,28.09,2.235,0.37,1.866,-,-,29.48,-,-,70.22,-
10,新北市,2018/06,菜寮,2.8,0.39,-,24.4,26,17,16.18,3.04,13.15,-,-,-,2.38,1.97,29.08,-,-,69.23,-
11,新北市,2018/06,永和,2.6,0.54,-,27.9,23,12,24.32,7.91,16.41,2.003,0.194,1.809,1.9,1.57,27.96,-,-,71.38,-
12,新北市,2018/06,新莊,3.7,0.37,-,32.4,25,13,17.34,3.32,14.03,-,-,-,2.65,2.23,29.1,-,-,63.89,-
13,新北市,2018/06,新店,2.1,0.3,-,31.6,24,14,12.88,2.47,10.41,-,-,-,1.79,1.35,28.29,-,-,75.9,-
14,新北市,2018/06,淡水,2.4,0.26,-,25.1,33,13,10.73,1.89,8.85,-,-,-,1.47,-,27.98,-,-,75.31,-
15,新北市,2018/06,汐止,2.9,0.33,-,31.3,24,8,18.68,5.02,13.65,-,-,-,1.82,1.52,28.05,-,-,81.75,-
16,新北市,2018/06,土城,2.3,0.35,-,31,27,13,16.81,3.69,13.12,2.001,0.135,1.866,1.53,0.88,28.82,-,-,70.43,-
17,新北市,2018/06,林口,2.8,0.25,-,32.7,27,12,15.49,3.08,12.42,-,-,-,2.69,2.33,27.48,-,-,76.73,-
18,新北市,2018/06,富貴角,0.9,0.14,-,39.7,22,12,3.55,0.49,3.16,1.847,0.021,1.827,4.4,4.29,26.72,-,-,83.85,-
19,新北市,2018/06,萬里,3.2,0.19,-,36.8,37,14,6.92,1.62,5.29,-,-,-,2.83,2.53,27.36,2.41,4.31,77.75,92.18
20,臺中市,2018/06,西屯,2.8,0.27,-,31.6,35,15,13.43,1.59,11.87,1.946,0.142,1.804,2.31,2.07,27.97,5.45,5.32,71.84,14.98
21,臺中市,2018/06,忠明,2.6,0.31,-,31,29,14,15.19,2.53,12.66,1.813,0.107,1.706,1.93,1.47,29.81,-,-,68.4,-
22,臺中市,2018/06,豐原,2.5,0.29,-,32.7,28,14,10.47,1.71,8.77,1.796,0.106,1.69,2.3,1.96,27.22,-,-,71.41,-
23,臺中市,2018/06,沙鹿,3,0.27,-,32.6,28,14,12.93,1.99,10.93,-,-,-,3.11,2.81,28.34,-,-,74.07,-
