序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1993/08,松山,9.3,1.36,17.5,70.0,55,23,34.56,-,-,-,29.15,-,-
2,臺北市,1993/08,古亭,6.4,1.72,16.2,61.0,57,27,30.92,2.49,0.49,2.02,28.1,-,-
3,臺北市,1993/08,中山,10.0,1.71,12.9,71.0,67,30,36.72,2.56,0.51,2.05,29.97,-,-
4,臺北市,1993/08,大同,22.9,5.53,-,107.0,200,152,50.2,4.46,2.41,2.06,30.68,-,-
5,臺北市,1993/08,萬華,6.9,1.19,17.8,46.0,35,8,26.8,-,-,-,29.57,-,-
6,臺北市,1993/08,陽明,5.0,0.3,36.4,27.0,7,2,-,-,-,-,22.97,-,-
7,臺北市,1993/08,士林,6.7,1.15,15.7,63.0,41,16,23.41,-,-,-,29.21,-,-
8,新北市,1993/08,板橋,16.1,1.15,27.2,83.0,40,14,25.1,2.67,0.69,1.96,29.98,-,-
9,新北市,1993/08,菜寮,25.7,1.51,13.0,81.0,52,23,28.92,-,-,-,29.71,-,-
10,新北市,1993/08,新莊,10.7,0.99,15.5,72.0,40,15,24.76,1.53,0.42,1.22,29.0,-,-
11,新北市,1993/08,新店,5.9,0.76,19.3,44.0,23,4,18.92,-,-,-,28.75,-,-
12,新北市,1993/08,淡水,4.0,1.0,17.0,78.0,31,10,20.57,-,-,-,30.19,-,-
13,新北市,1993/08,汐止,9.6,0.98,17.8,66.0,52,24,29.25,-,-,-,28.46,-,-
14,新北市,1993/08,土城,9.0,0.81,20.5,60.0,25,7,19.26,-,-,-,28.72,-,-
15,新北市,1993/08,林口,5.6,0.69,24.4,63.0,26,12,17.67,-,-,-,27.87,-,-
16,新北市,1993/08,萬里,3.9,0.42,32.4,36.0,13,-,10.62,1.61,-,1.55,28.17,-,-
17,臺中市,1993/08,西屯,5.8,0.59,19.2,49.0,28,10,18.13,1.88,0.16,1.76,28.67,-,-
18,臺中市,1993/08,忠明,4.7,1.06,17.9,63.0,33,9,23.94,-,-,-,28.56,-,-
19,臺中市,1993/08,豐原,5.9,0.81,23.2,45.0,30,5,25.35,-,-,-,27.75,-,-
20,臺中市,1993/08,沙鹿,7.1,0.51,20.4,47.0,21,5,16.17,-,-,-,29.21,-,-
21,臺中市,1993/08,大里,6.3,0.79,19.9,56.0,44,19,25.32,-,-,-,28.72,-,-
22,臺南市,1993/08,新營,3.6,0.42,20.2,32.0,15,2,13.25,-,-,-,28.39,-,-
23,臺南市,1993/08,善化,7.0,0.33,24.5,-,11,2,-,-,-,-,27.82,-,-
24,臺南市,1993/08,安南,7.3,0.37,13.2,42.0,24,10,16.26,-,-,-,28.78,-,-
25,臺南市,1993/08,臺南,8.8,0.7,13.2,55.0,24,10,14.23,3.3,0.26,1.92,29.05,-,-
26,高雄市,1993/08,左營,12.1,0.79,11.9,46.0,30,13,20.31,1.1,0.24,0.85,28.56,-,-
27,高雄市,1993/08,楠梓,12.6,0.43,11.9,46.0,34,15,18.37,1.91,0.54,-,29.97,-,-
28,高雄市,1993/08,前金,13.7,0.87,12.1,40.0,29,11,18.33,-,-,-,29.16,-,-
29,高雄市,1993/08,前鎮,22.3,-,-,62.0,-,-,-,1.97,0.37,1.6,29.36,-,-
30,高雄市,1993/08,小港,15.6,0.73,11.2,59.0,28,12,14.3,2.21,0.24,1.99,30.26,-,-
31,高雄市,1993/08,鳳山,11.2,0.93,14.4,52.0,8,8,-,-,-,-,28.76,-,-
32,高雄市,1993/08,林園,6.9,0.45,20.6,94.0,10,3,-,2.46,0.23,2.24,26.38,-,-
33,高雄市,1993/08,大寮,8.4,0.51,13.0,52.0,16,4,14.67,-,-,-,28.93,-,-
34,高雄市,1993/08,仁武,-,0.56,11.4,-,26,10,16.04,1.67,0.23,1.46,28.61,-,-
35,高雄市,1993/08,橋頭,19.3,0.5,14.8,39.0,27,11,15.03,2.05,0.18,1.87,28.98,-,-
36,高雄市,1993/08,美濃,-,0.42,21.7,50.0,10,1,8.96,-,-,-,28.04,-,-
37,基隆市,1993/08,基隆,12.1,0.95,22.3,43.0,35,12,23.85,2.04,0.37,1.66,29.0,-,-
38,新竹市,1993/08,新竹,8.7,0.79,15.9,59.0,30,11,19.13,2.05,0.09,1.95,29.17,-,-
39,嘉義市,1993/08,嘉義,3.2,0.7,18.0,48.0,22,4,18.4,2.17,0.33,1.85,29.06,-,-
40,宜蘭縣,1993/08,宜蘭,3.1,0.52,20.7,43.0,14,3,9.97,-,-,-,28.6,-,-
41,宜蘭縣,1993/08,冬山,2.6,-,-,51.0,19,6,12.74,2.06,0.1,1.97,28.75,-,-
42,桃園市,1993/08,桃園,20.8,0.99,18.1,76.0,41,12,29.05,2.72,0.4,2.32,28.51,-,-
43,桃園市,1993/08,大園,8.3,0.53,19.8,-,26,9,18.39,-,-,-,27.97,-,-
44,桃園市,1993/08,龍潭,9.4,0.59,19.0,-,17,4,12.66,-,-,-,27.37,-,-
45,桃園市,1993/08,平鎮,7.1,0.86,19.3,70.0,31,8,23.34,2.01,0.28,1.72,26.92,-,-
46,桃園市,1993/08,觀音,7.9,0.44,20.7,60.0,17,4,13.41,1.59,0.76,0.87,28.58,-,-
47,新竹縣,1993/08,竹東,2.6,0.49,16.9,-,24,7,16.59,-,-,-,28.26,-,-
48,新竹縣,1993/08,湖口,6.4,0.56,17.0,54.0,27,13,16.22,-,-,-,28.81,-,-
49,苗栗縣,1993/08,苗栗,6.4,0.55,19.8,47.0,25,7,16.86,-,-,-,28.84,-,-
50,苗栗縣,1993/08,頭份,17.0,-,-,63.0,46,24,22.17,1.76,0.31,1.45,29.22,-,-
51,苗栗縣,1993/08,三義,3.0,0.38,22.5,40.0,-,-,-,1.97,0.05,1.92,25.53,-,-
52,彰化縣,1993/08,彰化,4.6,0.72,16.1,88.0,20,7,13.61,2.23,0.16,2.13,29.16,-,-
53,彰化縣,1993/08,線西,4.9,-,-,44.0,20,5,14.92,-,-,-,28.87,-,-
54,彰化縣,1993/08,二林,2.6,0.44,16.3,55.0,13,4,9.27,-,-,-,28.24,-,-
55,南投縣,1993/08,南投,2.1,0.51,21.0,35.0,19,4,14.23,-,-,-,28.71,-,-
56,雲林縣,1993/08,斗六,4.1,0.62,18.1,41.0,16,4,11.65,-,-,-,28.67,-,-
57,雲林縣,1993/08,崙背,2.5,0.41,15.7,46.0,20,5,15.17,-,-,-,28.67,-,-
58,雲林縣,1993/08,臺西,1.5,0.3,19.0,44.0,7,1,-,-,-,-,28.83,-,-
59,嘉義縣,1993/08,朴子,3.0,0.4,17.0,38.0,12,3,9.71,-,-,-,28.93,-,-
60,嘉義縣,1993/08,新港,3.3,0.46,17.8,43.0,19,5,14.25,-,-,-,30.04,-,-
61,屏東縣,1993/08,屏東,5.0,0.68,17.0,63.0,22,5,16.03,2.33,0.35,1.98,28.85,-,-
62,屏東縣,1993/08,潮州,-,0.39,17.4,40.0,12,3,9.57,-,-,-,28.22,-,-
