序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm),小時風向值 WD_HR (degrees)
61,南投縣,2017/11,竹山,2.1,0.36,-,26.1,60,37,16.74,2.74,14,-,-,-,1.5,1.19,23.25,-,-,80.78,-,-
62,南投縣,2017/11,埔里,2,0.38,-,26.1,42,25,13.11,1.66,11.43,-,-,-,1.27,0.98,23.02,-,-,84.77,-,-
63,雲林縣,2017/11,麥寮,2.8,0.28,-,33.2,86,26,10.74,1.57,9.16,2.011,0.056,1.955,4.46,4.13,23.28,-,-,82.98,-,-
64,雲林縣,2017/11,臺西,2.7,0.22,-,39.4,53,22,8.92,1.1,7.81,1.937,0.02,1.921,7.07,6.81,22.32,-,-,83.9,-,-
65,雲林縣,2017/11,斗六,2.8,0.37,-,27.4,59,26,18.83,2.32,16.51,-,-,-,1.82,1.59,24.73,-,-,74.82,-,-
66,雲林縣,2017/11,崙背,3,0.31,-,31.3,77,26,13.18,1.56,11.62,-,-,-,3.21,2.91,23.39,1.23,6.79,78.75,33.35,-
67,嘉義縣,2017/11,新港,2.5,0.34,-,30,72,27,13.32,1.83,11.49,-,-,-,2.71,2.46,22.92,-,-,76.24,-,-
68,嘉義縣,2017/11,朴子,3,0.31,-,34.1,86,22,11.6,1.84,9.75,-,-,-,2.27,1.95,23.83,-,-,82.66,-,-
69,屏東縣,2017/11,潮州,2.8,0.4,-,36.4,90,40,14.82,1.74,13.07,-,-,-,1.33,1.06,25.58,-,-,83.66,-,-
70,屏東縣,2017/11,恆春,1.9,0.12,409.97,39.4,25,11,2.96,0.63,2.3,-,-,-,7.66,7.32,25.1,1.25,4.98,80.88,19.45,-
71,屏東縣,2017/11,屏東,3.1,0.53,-,32.2,80,39,18.55,1.41,17.13,2.203,0.162,2.042,1.48,1.18,25.42,-,-,75.11,-,-
72,臺東縣,2017/11,關山,0.9,-,-,23.4,25,9,5.29,1.41,3.87,-,-,-,1.79,1.42,22.95,-,-,80.81,-,-
73,臺東縣,2017/11,臺東,1.2,0.28,-,24.9,28,7,7.36,2.3,5.06,-,-,-,2.18,1.78,24.83,0.75,6.2,75.71,21.32,-
74,花蓮縣,2017/11,花蓮,1.6,0.28,-,25.9,20,7,9.05,1.52,7.53,-,-,-,2.21,1.9,23.47,1.22,5.54,76.92,22.83,-
75,澎湖縣,2017/11,馬公,1.5,0.21,-,41,33,15,4.23,0.92,3.31,-,-,-,5.93,5.14,23.44,1.5,5.29,84.28,103.99,-
76,金門縣,2017/11,金門,4.5,0.32,-,38.2,59,30,13.45,1.51,11.91,-,-,-,3.08,2.64,20.93,2.68,5.34,67.34,67.99,-
77,連江縣,2017/11,馬祖,2.5,0.27,-,44.4,44,24,6.37,0.72,5.63,-,-,-,4.48,4.03,18.01,0.68,5.9,80.05,40.77,-
,,,,,,,,,,,,,,,,,,,,,,,
