序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/11,松山,3.3,0.44,426.84,23.4,32,13,27.94,7.22,20.71,2.008,0.146,1.863,1.74,1.32,22.4,-,-,76.7,-
2,臺北市,2016/11,古亭,2.7,0.47,-,26.2,31,16,25.38,5.95,19.43,2.042,0.134,1.908,2.25,2,22.53,-,-,76.64,-
3,臺北市,2016/11,中山,2.8,0.62,-,21.4,32,15,35.2,10.7,24.5,2.08,0.191,1.89,2.08,1.68,23.28,-,-,78.47,-
4,臺北市,2016/11,大同,3.6,1.18,-,-,47,13,69.43,39.23,30.21,2.425,0.381,2.045,-,-,-,-,-,-,-
5,臺北市,2016/11,萬華,2.8,0.51,-,21.8,34,15,31.01,7.19,23.82,-,-,-,2.28,1.96,23.59,-,-,74.55,-
6,臺北市,2016/11,陽明,1.9,0.18,412.93,41.6,12,7,2.88,0.46,2.32,-,-,-,-,-,16.25,2.33,4.69,92.53,99.55
7,臺北市,2016/11,士林,2.6,0.38,-,31.5,30,14,18.2,4.34,13.86,-,-,-,2.18,1.84,22.88,-,-,73.56,-
8,新北市,2016/11,板橋,3.5,0.56,-,24.1,39,14,27.21,5.81,21.4,2.077,0.218,1.859,2.24,1.84,23.24,1.46,5.09,72.31,36.2
9,新北市,2016/11,三重,3.1,1.43,-,-,50,14,93.13,57.31,35.82,2.514,0.486,2.027,-,-,23.46,-,-,70.37,-
10,新北市,2016/11,菜寮,2.8,0.53,-,26.9,33,14,24.15,5.12,19.02,-,-,-,2.46,2.14,23.65,-,-,72.96,-
