序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/10,松山,3.2,0.7,-,23.7,50,-,38.57,9.88,28.69,-,-,-,23.75,-,-,-
2,臺北市,2001/10,古亭,2.6,0.68,-,27.5,37,23,32.24,8.66,23.58,2.419,0.35,2.07,24.69,-,-,-
3,臺北市,2001/10,中山,3.1,0.73,-,26.6,52,-,35.27,8.09,27.18,2.297,0.23,2.06,24.54,-,-,-
4,臺北市,2001/10,大同,6.2,2.69,-,-,69,-,141.83,93.46,48.37,3.555,1.28,2.28,25.15,-,-,-
5,臺北市,2001/10,萬華,2.5,0.76,-,26.6,45,-,26.17,4.06,22.11,-,-,-,25.25,-,-,-
6,臺北市,2001/10,陽明,0.7,0.29,-,54.4,17,-,1.59,0.07,1.52,-,-,-,17.63,-,-,-
7,臺北市,2001/10,士林,2.1,0.55,-,33.8,44,-,18.38,3.13,15.25,-,-,-,23.56,-,-,-
8,新北市,2001/10,板橋,3.8,0.72,-,28.8,-,-,-,-,-,-,-,-,24.35,-,-,-
9,新北市,2001/10,三重,5.5,2.19,-,-,68,-,116.9,73.21,39.4,3.37,0.64,2.06,25.42,-,-,-
10,新北市,2001/10,菜寮,3.4,0.7,-,27.9,48,-,27.78,4.94,22.86,-,-,-,24.24,-,-,-
11,新北市,2001/10,永和,3.9,1.23,-,23.8,54,-,46.08,19.54,26.44,2.669,0.54,2.27,24.29,-,-,-
12,新北市,2001/10,新莊,3.7,0.68,-,31.8,48,-,26.96,3.23,23.75,2.26,0.33,1.93,24.39,-,-,-
13,新北市,2001/10,新店,1.7,0.51,-,30.8,34,-,17.62,2.16,15.46,-,-,-,24.45,-,-,-
14,新北市,2001/10,淡水,1.3,0.53,-,35.6,39,-,12.57,2.71,10.26,-,-,-,24.14,-,-,-
15,新北市,2001/10,汐止,3.0,0.53,-,29.0,71,-,22.14,4.05,18.09,-,-,-,23.63,-,-,-
16,新北市,2001/10,土城,2.4,0.65,-,31.9,37,-,24.01,4.06,19.96,-,-,-,24.27,-,-,-
17,新北市,2001/10,林口,2.7,0.45,-,37.8,41,-,18.0,1.74,16.26,-,-,-,22.43,-,-,-
18,新北市,2001/10,萬里,0.8,0.28,-,48.5,62,-,5.47,0.68,4.79,2.125,0.08,2.05,23.72,-,-,-
19,臺中市,2001/10,西屯,2.6,0.6,-,29.6,65,-,25.1,6.92,18.26,2.22,0.23,1.99,23.8,-,-,-
20,臺中市,2001/10,忠明,3.3,0.85,-,25.3,60,26,39.85,10.22,29.63,-,-,-,25.4,-,-,-
21,臺中市,2001/10,豐原,2.7,0.8,-,30.0,56,-,29.03,5.26,23.77,-,-,-,23.71,-,-,-
22,臺中市,2001/10,沙鹿,4.9,0.55,-,23.8,58,-,24.6,3.69,20.92,-,-,-,24.61,-,-,-
23,臺中市,2001/10,大里,3.0,0.98,-,26.6,60,-,40.56,9.11,31.45,-,-,-,25.49,-,-,-
24,臺南市,2001/10,新營,4.1,0.58,-,32.4,83,-,27.56,5.98,21.83,-,-,-,24.72,-,-,-
25,臺南市,2001/10,善化,5.4,0.54,-,40.1,73,-,22.15,3.35,18.8,-,-,-,25.31,-,-,-
26,臺南市,2001/10,安南,7.4,0.57,-,38.2,82,-,25.55,5.36,20.22,-,-,-,25.36,-,-,-
27,臺南市,2001/10,臺南,5.5,0.8,-,46.5,92,-,27.88,3.99,23.92,2.548,0.27,2.3,25.72,-,-,-
28,高雄市,2001/10,左營,7.7,0.86,-,48.4,97,-,28.44,4.55,23.91,2.522,0.32,2.2,25.99,-,-,-
29,高雄市,2001/10,楠梓,5.7,0.63,-,38.3,79,-,31.02,6.12,25.11,2.525,0.33,2.19,25.97,-,-,-
30,高雄市,2001/10,前金,7.0,0.84,-,54.7,84,-,26.99,2.88,24.26,-,-,-,26.41,-,-,-
31,高雄市,2001/10,前鎮,12.2,-,-,-,101,-,35.66,6.72,28.94,2.385,0.36,2.03,26.68,-,-,-
32,高雄市,2001/10,復興,11.3,1.19,-,-,117,-,43.69,11.63,32.06,2.745,0.54,2.21,26.78,-,-,-
33,高雄市,2001/10,小港,11.5,0.79,-,40.6,88,-,40.85,8.53,32.32,2.456,0.37,2.09,26.29,-,-,-
34,高雄市,2001/10,鳳山,9.2,1.16,-,46.9,90,54,36.65,8.85,27.79,-,-,-,26.02,-,-,-
35,高雄市,2001/10,林園,6.6,0.47,-,53.8,103,58,16.19,2.09,14.17,2.57,0.3,2.27,26.53,-,-,-
36,高雄市,2001/10,大寮,9.8,0.78,-,40.2,95,-,27.55,-,24.64,2.79,0.34,2.45,25.87,-,-,-
37,高雄市,2001/10,仁武,7.4,0.72,-,42.0,96,-,34.14,6.43,27.81,2.922,0.37,2.55,26.31,-,-,-
38,高雄市,2001/10,橋頭,5.6,0.9,-,42.7,64,-,26.28,4.45,21.86,2.406,0.15,2.25,25.95,-,-,-
39,高雄市,2001/10,美濃,2.4,0.55,-,46.7,85,-,16.76,0.92,15.83,-,-,-,25.9,-,-,-
40,基隆市,2001/10,基隆,3.1,0.58,-,34.8,52,-,22.67,6.36,16.31,2.251,0.12,2.13,24.07,-,-,-
41,新竹市,2001/10,新竹,5.1,0.59,-,26.6,44,-,26.49,4.26,22.23,2.346,0.21,2.14,24.27,-,-,-
42,嘉義市,2001/10,嘉義,5.7,0.82,-,29.8,109,-,34.96,6.75,28.21,2.284,0.29,2.0,25.24,-,-,-
43,宜蘭縣,2001/10,宜蘭,1.0,0.48,-,32.1,34,-,12.2,0.89,11.31,-,-,-,23.57,-,-,-
44,宜蘭縣,2001/10,冬山,0.9,0.45,-,20.2,37,-,17.76,4.27,13.49,2.231,0.15,2.08,23.18,-,-,-
45,桃園市,2001/10,桃園,5.8,0.64,-,30.4,42,-,24.62,3.35,21.27,2.182,0.2,1.98,23.59,-,-,-
46,桃園市,2001/10,中壢,4.8,1.04,-,-,46,-,45.96,14.63,31.33,2.609,0.72,1.89,24.13,-,-,-
47,桃園市,2001/10,大園,2.9,0.36,-,36.5,46,-,15.46,2.53,12.94,-,-,-,24.05,-,-,-
48,桃園市,2001/10,龍潭,2.5,0.45,-,37.8,48,-,21.5,3.27,18.26,-,-,-,22.67,-,-,-
49,桃園市,2001/10,平鎮,4.6,0.71,-,31.2,62,-,26.72,4.01,22.71,2.438,0.25,2.19,23.55,-,-,-
50,桃園市,2001/10,觀音,6.4,0.33,-,36.2,50,-,20.37,4.03,16.35,2.311,0.2,2.12,23.77,-,-,-
51,新竹縣,2001/10,竹東,1.7,0.49,-,30.1,44,-,17.18,2.8,14.42,-,-,-,23.64,-,-,-
52,新竹縣,2001/10,湖口,3.0,0.48,-,32.0,55,-,18.57,3.27,15.35,-,-,-,25.05,-,-,-
53,苗栗縣,2001/10,苗栗,3.3,0.58,-,27.8,40,-,27.59,6.49,21.1,-,-,-,23.33,-,-,-
54,苗栗縣,2001/10,頭份,3.4,-,-,-,70,-,26.78,6.08,21.02,2.149,0.11,2.03,24.63,-,-,-
55,苗栗縣,2001/10,三義,1.4,0.41,-,32.7,42,-,18.44,2.92,15.53,2.061,0.14,1.92,21.05,-,-,-
56,彰化縣,2001/10,彰化,5.5,0.81,-,21.7,80,-,38.94,9.7,29.24,2.463,0.36,2.1,24.88,-,-,-
57,彰化縣,2001/10,線西,5.3,-,-,-,57,-,25.67,4.51,21.22,2.301,0.13,2.17,23.85,-,-,-
58,彰化縣,2001/10,二林,3.5,0.39,-,30.5,92,-,19.97,2.54,17.54,-,-,-,24.14,-,-,-
59,南投縣,2001/10,南投,1.9,0.81,-,29.1,79,-,35.06,8.06,27.0,2.403,0.3,2.1,24.68,-,-,-
60,南投縣,2001/10,埔里,2.5,0.89,-,44.4,109,-,13.47,1.3,11.45,2.199,0.21,1.99,23.83,-,-,-
61,南投縣,2001/10,竹山,3.2,0.65,-,29.8,87,-,27.92,4.93,22.99,-,-,-,24.69,-,-,-
62,雲林縣,2001/10,斗六,4.9,0.59,-,29.9,88,-,29.56,6.05,23.6,-,-,-,24.51,-,-,-
63,雲林縣,2001/10,崙背,2.8,0.44,-,29.1,93,-,21.77,3.21,18.56,2.303,0.16,2.14,24.28,-,-,-
64,雲林縣,2001/10,臺西,4.1,0.44,-,36.1,86,-,16.19,2.07,14.16,-,-,-,24.46,-,-,-
65,嘉義縣,2001/10,朴子,3.1,0.44,-,34.1,82,-,21.09,3.52,17.66,-,-,-,24.82,-,-,-
66,嘉義縣,2001/10,新港,3.0,0.48,-,32.7,88,-,23.18,5.38,17.93,-,-,-,24.45,-,-,-
67,屏東縣,2001/10,屏東,5.8,0.77,-,45.2,99,-,22.84,1.16,21.71,2.438,0.26,2.17,26.37,-,-,-
68,屏東縣,2001/10,潮州,2.6,0.46,-,44.6,95,-,15.34,1.19,14.15,-,-,-,25.69,-,-,-
69,屏東縣,2001/10,恆春,0.2,0.26,-,41.0,36,-,1.09,0.07,1.02,-,-,-,25.85,-,-,-
70,臺東縣,2001/10,臺東,0.3,0.51,-,34.0,38,-,10.58,1.89,8.68,2.092,0.09,2.0,25.98,-,-,-
71,花蓮縣,2001/10,花蓮,0.6,0.66,-,22.7,33,-,21.26,6.23,15.05,2.199,0.25,1.95,25.41,-,-,-
72,連江縣,2001/10,馬祖,1.5,0.24,-,57.8,67,-,2.69,0.69,2.0,-,-,-,22.05,-,-,-
,,,,,,,,,,,,,,,,,,,
