序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/12,松山,6.3,1.06,15.7,53.0,52,19,32.62,-,-,-,16.18,-,-
2,臺北市,1995/12,古亭,4.7,0.97,17.7,51.0,50,20,30.05,2.42,0.35,2.07,16.47,-,-
3,臺北市,1995/12,中山,5.7,1.12,16.1,49.0,57,22,34.79,2.58,0.41,2.17,16.51,-,-
4,臺北市,1995/12,大同,12.4,4.22,-,63.0,235,178,57.08,4.41,2.09,2.31,17.04,-,-
5,臺北市,1995/12,萬華,7.6,1.11,17.1,48.0,45,12,33.33,-,-,-,16.35,-,-
6,臺北市,1995/12,陽明,2.1,0.28,43.8,17.0,2,0,1.76,-,-,-,9.19,-,-
7,臺北市,1995/12,士林,3.2,0.68,27.9,42.0,28,10,17.57,-,-,-,16.6,-,-
8,新北市,1995/12,板橋,9.0,1.02,15.5,53.0,45,14,31.17,2.54,0.47,2.07,16.44,-,-
9,新北市,1995/12,三重,5.7,2.02,-,70.0,111,71,40.13,-,-,-,17.07,-,-
10,新北市,1995/12,菜寮,5.5,1.03,20.3,55.0,44,15,28.01,-,-,-,16.67,-,-
11,新北市,1995/12,新莊,6.3,0.82,21.9,39.0,40,12,27.37,2.9,0.47,2.42,16.47,-,-
12,新北市,1995/12,新店,3.9,0.67,25.4,42.0,21,4,17.79,-,-,-,16.15,-,-
13,新北市,1995/12,淡水,2.0,0.58,31.9,42.0,15,3,11.54,-,-,-,16.15,-,-
14,新北市,1995/12,汐止,9.3,0.93,15.1,67.0,54,31,22.18,-,-,-,15.24,-,-
15,新北市,1995/12,土城,4.8,0.71,22.0,47.0,29,7,21.46,-,-,-,16.51,-,-
16,新北市,1995/12,林口,3.2,0.46,34.6,39.0,15,2,13.1,-,-,-,14.4,-,-
17,新北市,1995/12,萬里,1.6,0.29,41.0,62.0,4,1,3.4,2.11,0.02,2.08,16.16,-,-
18,臺中市,1995/12,西屯,4.9,0.59,24.1,65.0,26,7,19.43,2.12,0.2,1.92,16.81,-,-
19,臺中市,1995/12,忠明,5.8,0.95,19.8,75.0,45,14,30.49,-,-,-,16.74,-,-
20,臺中市,1995/12,豐原,6.5,0.86,18.2,59.0,33,8,25.13,-,-,-,15.78,-,-
21,臺中市,1995/12,沙鹿,8.5,0.59,24.1,76.0,28,6,22.41,-,-,-,16.53,-,-
22,臺中市,1995/12,大里,5.7,1.02,15.5,76.0,44,14,29.97,-,-,-,17.64,-,-
23,臺南市,1995/12,新營,8.1,0.69,16.1,94.0,38,11,27.08,-,-,-,17.11,-,-
24,臺南市,1995/12,善化,8.6,0.6,21.7,98.0,32,7,24.85,-,-,-,16.91,-,-
25,臺南市,1995/12,安南,9.2,0.61,24.0,102.0,34,10,24.39,-,-,-,17.36,-,-
26,臺南市,1995/12,臺南,10.9,1.0,14.1,112.0,46,14,32.82,2.62,0.39,2.23,17.7,-,-
27,高雄市,1995/12,左營,13.1,0.93,28.9,95.0,46,13,32.84,2.87,0.41,2.45,18.08,-,-
28,高雄市,1995/12,楠梓,8.7,0.69,20.0,137.0,53,16,36.85,2.68,0.3,2.38,18.78,-,-
29,高雄市,1995/12,前金,19.8,1.1,24.4,140.0,53,15,38.21,-,-,-,18.52,-,-
30,高雄市,1995/12,前鎮,16.5,-,-,140.0,68,27,40.19,-,-,-,18.71,-,-
31,高雄市,1995/12,小港,32.5,1.36,19.0,141.0,105,47,57.74,2.87,0.71,2.16,20.5,-,-
32,高雄市,1995/12,鳳山,31.2,1.3,19.3,151.0,84,35,49.35,-,-,-,19.18,-,-
33,高雄市,1995/12,林園,35.1,0.98,29.4,166.0,58,20,38.66,-,-,-,19.74,-,-
34,高雄市,1995/12,大寮,22.8,0.93,27.6,144.0,49,11,37.92,-,-,-,18.97,-,-
35,高雄市,1995/12,仁武,27.6,0.95,20.9,123.0,67,25,41.62,3.48,0.77,2.71,18.59,-,-
36,高雄市,1995/12,橋頭,10.7,0.81,21.2,111.0,48,15,32.81,2.36,0.24,2.12,18.42,-,-
37,高雄市,1995/12,美濃,5.3,0.72,27.6,132.0,29,3,25.09,-,-,-,18.11,-,-
38,基隆市,1995/12,基隆,5.9,0.83,26.7,57.0,39,14,24.7,2.51,0.39,2.11,16.0,-,-
39,新竹市,1995/12,新竹,4.1,0.69,15.3,55.0,33,10,23.39,3.04,0.36,2.68,15.8,-,-
40,嘉義市,1995/12,嘉義,11.2,1.09,18.8,-,57,19,38.3,2.4,0.5,1.9,17.24,-,-
41,宜蘭縣,1995/12,宜蘭,2.0,0.64,23.7,38.0,20,3,16.3,-,-,-,16.01,-,-
42,宜蘭縣,1995/12,冬山,1.6,-,-,45.0,24,7,17.32,2.2,0.22,1.98,15.78,-,-
43,桃園市,1995/12,桃園,11.3,0.76,20.7,55.0,35,9,26.51,2.5,0.28,2.21,15.53,-,-
44,桃園市,1995/12,中壢,10.2,1.12,-,62.0,55,23,31.92,-,-,-,15.4,-,-
45,桃園市,1995/12,大園,6.7,0.4,37.7,45.0,14,3,10.97,-,-,-,16.15,-,-
46,桃園市,1995/12,龍潭,5.1,0.54,27.5,46.0,23,5,17.41,-,-,-,14.61,-,-
47,桃園市,1995/12,平鎮,7.6,0.81,21.1,46.0,28,6,22.53,2.28,0.52,1.76,15.16,-,-
48,桃園市,1995/12,觀音,8.1,0.29,38.8,59.0,11,1,9.54,2.15,0.1,2.05,16.22,-,-
49,新竹縣,1995/12,竹東,3.7,0.45,25.2,51.0,19,4,14.47,-,-,-,15.73,-,-
50,新竹縣,1995/12,湖口,3.8,0.49,33.8,45.0,19,4,14.49,-,-,-,16.17,-,-
51,苗栗縣,1995/12,苗栗,6.5,0.7,17.3,60.0,41,14,27.07,-,-,-,15.94,-,-
52,苗栗縣,1995/12,頭份,105.6,-,-,91.0,61,31,29.38,2.31,0.21,2.09,16.33,-,-
53,苗栗縣,1995/12,三義,2.9,0.4,26.9,47.0,20,3,17.39,2.12,0.12,2.0,13.2,-,-
54,彰化縣,1995/12,彰化,7.5,1.04,16.6,106.0,52,19,33.7,2.82,0.44,2.38,17.15,-,-
55,彰化縣,1995/12,線西,9.6,-,-,65.0,31,7,23.23,2.14,0.1,2.04,16.71,-,-
56,彰化縣,1995/12,二林,9.9,0.5,26.4,74.0,23,3,19.72,-,-,-,16.34,-,-
57,南投縣,1995/12,南投,3.7,0.99,18.4,83.0,44,14,29.53,-,-,-,16.42,-,-
58,南投縣,1995/12,竹山,7.0,-,21.7,123.0,42,10,32.25,-,-,-,15.68,-,-
59,雲林縣,1995/12,斗六,7.6,1.06,16.0,98.0,41,12,28.48,-,-,-,16.58,-,-
60,雲林縣,1995/12,崙背,9.9,0.62,22.2,98.0,34,7,27.03,-,-,-,16.45,-,-
61,雲林縣,1995/12,臺西,5.7,0.41,32.3,96.0,14,2,12.82,-,-,-,16.87,-,-
62,嘉義縣,1995/12,朴子,7.6,0.43,18.5,65.0,24,3,20.91,-,-,-,16.83,-,-
63,嘉義縣,1995/12,新港,7.0,0.57,18.0,97.0,28,5,22.65,-,-,-,16.44,-,-
64,屏東縣,1995/12,屏東,8.6,0.99,29.3,144.0,43,5,38.13,2.84,0.43,2.41,18.9,-,-
65,屏東縣,1995/12,潮州,9.1,0.79,20.7,161.0,38,6,31.59,-,-,-,19.92,-,-
66,屏東縣,1995/12,恆春,0.5,0.33,41.6,27.0,1,0,0.61,-,-,-,20.35,-,-
67,臺東縣,1995/12,臺東,1.0,0.56,30.0,41.0,11,2,8.94,2.05,0.09,1.96,19.59,-,-
68,花蓮縣,1995/12,花蓮,1.7,0.78,21.4,46.0,25,7,17.76,2.25,0.26,1.99,18.63,-,-
,,,,,,,,,,,,,,,,
