序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/07,松山,3.9,0.72,397.35,27.2,44,-,35.48,8.78,26.7,-,-,-,30.67,-,-,-
2,臺北市,2003/07,古亭,2.4,0.78,-,26.1,38,27,31.62,9.38,22.25,3.2,0.99,2.21,31.32,-,-,-
3,臺北市,2003/07,中山,4.4,0.82,-,19.5,47,-,46.29,18.0,29.68,2.763,0.55,2.21,31.41,-,-,-
4,臺北市,2003/07,大同,7.2,2.01,-,-,-,-,-,-,-,3.353,1.01,2.34,31.82,-,-,-
5,臺北市,2003/07,萬華,2.6,0.75,-,26.7,44,-,26.63,5.4,21.24,-,-,-,30.95,-,-,-
6,臺北市,2003/07,陽明,2.0,0.3,379.77,36.3,18,-,8.92,0.96,7.96,-,-,-,24.48,-,-,-
7,臺北市,2003/07,士林,2.3,0.61,-,20.0,37,-,25.92,6.76,19.16,-,-,-,29.98,-,-,-
8,新北市,2003/07,板橋,6.8,0.71,-,24.0,43,-,29.69,7.92,21.76,2.5,0.56,1.94,-,-,-,-
9,新北市,2003/07,三重,7.0,2.2,-,-,39,-,123.11,81.89,41.22,3.315,1.24,2.07,-,-,-,-
10,新北市,2003/07,菜寮,5.1,0.85,-,18.2,43,-,37.94,11.4,26.54,-,-,-,31.13,-,-,-
11,新北市,2003/07,永和,5.4,1.55,-,19.6,-,-,51.1,23.7,27.4,2.814,0.78,2.04,-,-,-,-
12,新北市,2003/07,新莊,10.4,0.61,-,23.6,51,-,32.6,10.1,22.5,2.631,0.74,1.89,30.83,-,-,-
13,新北市,2003/07,新店,1.9,0.49,-,28.4,38,-,15.65,1.7,13.96,-,-,-,30.89,-,-,-
14,新北市,2003/07,淡水,3.3,0.62,-,17.0,33,-,25.41,7.49,17.93,-,-,-,30.39,-,-,-
15,新北市,2003/07,汐止,5.5,0.57,-,25.8,44,-,29.67,7.73,21.94,-,-,-,31.1,-,-,-
16,新北市,2003/07,土城,4.1,0.61,-,20.8,37,-,32.66,11.65,21.01,-,-,-,30.56,-,-,-
17,新北市,2003/07,林口,5.7,0.4,-,22.7,38,-,23.65,6.34,17.31,-,-,-,29.67,-,-,-
18,新北市,2003/07,萬里,0.8,0.42,-,29.2,27,-,11.31,2.39,8.92,2.697,0.3,2.39,29.63,-,-,-
19,臺中市,2003/07,西屯,2.7,0.44,-,20.0,37,-,30.21,17.83,12.38,2.229,0.3,1.93,29.98,-,-,-
20,臺中市,2003/07,忠明,3.2,0.61,-,22.9,36,28,23.39,5.16,18.23,-,-,-,30.59,-,-,-
21,臺中市,2003/07,豐原,3.2,0.6,-,22.6,33,-,17.18,1.96,15.22,-,-,-,29.45,-,-,-
22,臺中市,2003/07,沙鹿,2.8,0.37,-,16.1,22,-,13.64,2.74,10.9,-,-,-,30.05,-,-,-
23,臺中市,2003/07,大里,2.1,0.5,-,22.7,-,-,17.59,2.98,14.61,-,-,-,29.5,-,-,-
24,臺南市,2003/07,新營,1.8,0.41,-,20.0,23,-,-,-,-,2.765,0.51,2.25,30.17,-,-,-
25,臺南市,2003/07,善化,2.6,0.35,-,19.4,25,-,12.15,2.74,9.39,-,-,-,29.96,-,-,-
26,臺南市,2003/07,安南,1.9,0.38,-,18.6,32,-,13.14,3.42,9.72,-,-,-,27.64,-,-,-
27,臺南市,2003/07,臺南,2.5,0.44,-,17.4,25,-,11.03,2.32,8.71,2.342,0.27,2.07,30.16,-,-,-
28,高雄市,2003/07,左營,3.3,0.47,-,14.4,26,-,17.17,5.39,11.78,2.553,0.2,2.35,-,-,-,-
29,高雄市,2003/07,楠梓,5.5,0.46,-,15.8,-,-,21.13,8.55,12.58,2.057,0.27,1.78,30.61,-,-,-
30,高雄市,2003/07,前金,4.8,0.45,-,19.0,24,-,14.59,4.35,10.22,-,-,-,30.19,-,-,-
31,高雄市,2003/07,前鎮,7.0,-,-,-,44,-,26.54,12.35,14.22,2.27,0.41,1.86,-,-,-,-
32,高雄市,2003/07,復興,7.0,0.53,-,-,31,-,19.92,6.64,13.28,2.985,0.45,2.54,31.16,-,-,-
33,高雄市,2003/07,小港,7.6,0.48,-,12.7,37,-,19.69,6.82,12.87,2.24,0.27,1.97,30.03,-,-,-
34,高雄市,2003/07,鳳山,6.6,0.58,-,18.9,30,16,21.55,9.11,12.44,-,-,-,32.1,-,-,-
35,高雄市,2003/07,林園,1.2,0.4,-,17.7,39,16,-,-,-,2.523,0.16,2.37,30.53,-,-,-
36,高雄市,2003/07,大寮,2.0,0.62,-,25.2,28,-,12.06,2.31,9.76,-,-,-,31.07,-,-,-
37,高雄市,2003/07,仁武,4.6,0.42,-,13.5,26,-,17.96,5.7,12.26,2.056,0.1,1.95,30.76,-,-,-
38,高雄市,2003/07,橋頭,2.9,0.38,-,13.7,22,-,16.35,5.55,10.8,2.136,0.14,2.0,30.33,-,-,-
39,高雄市,2003/07,美濃,1.2,0.37,-,29.6,31,-,8.06,1.04,7.02,-,-,-,29.37,-,-,-
40,基隆市,2003/07,基隆,4.9,0.65,-,27.5,43,-,26.24,5.7,20.54,2.65,0.43,2.22,30.45,-,-,-
41,新竹市,2003/07,新竹,3.6,0.51,-,13.4,23,-,17.93,5.02,12.92,2.274,0.26,2.01,30.62,-,-,-
42,嘉義市,2003/07,嘉義,1.6,0.43,-,21.1,34,-,12.31,2.2,10.1,2.616,0.18,2.44,30.36,-,-,-
43,宜蘭縣,2003/07,宜蘭,0.5,0.45,388.71,25.1,36,-,9.47,1.31,8.16,-,-,-,29.79,-,-,-
44,宜蘭縣,2003/07,冬山,1.6,0.54,-,18.6,45,-,15.55,4.45,11.1,2.508,0.34,2.17,31.44,-,-,-
45,桃園市,2003/07,桃園,7.1,0.52,-,19.9,41,-,25.81,6.94,18.87,2.56,0.47,2.1,30.38,-,-,-
46,桃園市,2003/07,中壢,5.4,1.41,-,-,40,-,54.88,30.77,24.1,2.576,0.75,1.82,29.32,-,-,-
47,桃園市,2003/07,大園,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,桃園市,2003/07,龍潭,2.8,0.45,-,29.4,40,-,17.99,3.94,14.05,-,-,-,29.0,-,-,-
49,桃園市,2003/07,平鎮,3.9,0.52,-,17.6,38,-,22.7,6.16,16.54,2.212,0.19,2.02,30.38,-,-,-
50,桃園市,2003/07,觀音,2.4,0.22,-,14.6,22,-,12.17,4.13,8.41,2.108,0.19,1.93,-,-,-,-
51,新竹縣,2003/07,竹東,1.4,0.38,-,23.2,32,-,14.11,2.84,11.27,-,-,-,28.46,-,-,-
52,新竹縣,2003/07,湖口,3.5,0.41,-,19.7,-,-,17.64,5.56,12.07,-,-,-,29.26,-,-,-
53,苗栗縣,2003/07,苗栗,2.7,0.34,-,22.1,32,-,14.52,2.7,11.82,-,-,-,30.5,-,-,-
54,苗栗縣,2003/07,頭份,10.3,-,-,-,37,-,26.25,11.75,14.5,2.484,0.32,2.17,29.68,-,-,-
55,苗栗縣,2003/07,三義,1.1,0.26,-,22.9,21,-,11.94,2.03,9.91,2.339,0.18,2.16,27.07,-,-,-
56,彰化縣,2003/07,彰化,4.1,0.42,-,19.9,31,-,17.39,4.25,13.14,2.688,0.27,2.42,30.45,-,-,-
57,彰化縣,2003/07,線西,1.4,-,-,-,28,-,10.99,2.25,8.74,2.726,0.25,2.48,29.84,-,-,-
58,彰化縣,2003/07,二林,4.7,0.23,-,17.0,34,-,10.67,2.44,8.26,-,-,-,29.96,-,-,-
59,南投縣,2003/07,南投,0.7,0.41,-,23.7,26,-,13.02,2.5,10.52,2.333,0.28,2.05,29.64,-,-,-
60,南投縣,2003/07,埔里,7.4,0.41,-,29.4,40,-,5.33,0.34,4.99,2.424,0.14,2.29,27.25,-,-,-
61,南投縣,2003/07,竹山,1.0,0.39,-,21.5,28,-,10.0,1.27,8.73,-,-,-,28.77,-,-,-
62,雲林縣,2003/07,斗六,2.6,0.5,-,18.0,29,-,13.07,2.84,10.24,-,-,-,29.71,-,-,-
63,雲林縣,2003/07,崙背,0.7,0.26,-,18.9,27,-,9.84,2.48,7.56,2.624,0.42,2.21,30.05,-,-,-
64,雲林縣,2003/07,臺西,1.6,0.22,-,18.6,26,-,6.78,1.51,5.27,-,-,-,29.55,-,-,-
65,嘉義縣,2003/07,朴子,1.6,0.31,-,19.5,32,-,11.8,2.91,8.89,-,-,-,30.48,-,-,-
66,嘉義縣,2003/07,新港,1.0,0.37,-,17.7,43,-,12.96,3.85,9.18,-,-,-,30.2,-,-,-
67,屏東縣,2003/07,屏東,1.4,0.47,-,17.8,32,-,15.78,3.07,12.72,-,-,-,30.29,-,-,-
68,屏東縣,2003/07,潮州,0.6,0.32,-,11.8,31,-,10.81,1.75,9.05,-,-,-,29.07,-,-,-
69,屏東縣,2003/07,恆春,0.1,0.18,368.46,15.3,21,-,0.52,0.06,0.46,-,-,-,27.45,-,-,-
70,臺東縣,2003/07,臺東,0.3,0.43,-,15.5,23,-,8.27,2.39,5.88,2.591,0.15,2.44,30.05,-,-,-
71,花蓮縣,2003/07,花蓮,0.3,0.42,-,12.0,23,-,8.83,2.73,6.11,2.145,0.28,1.86,30.93,-,-,-
72,金門縣,2003/07,金門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,連江縣,2003/07,馬祖,1.5,0.22,-,30.3,-,-,4.92,1.29,3.63,-,-,-,27.52,-,-,-
,,,,,,,,,,,,,,,,,,,
