序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/07,松山,2.9,0.41,428.22,23.3,29,15,23.19,6.37,16.82,1.89,0.159,1.731,1.71,1.23,30.29,-,-,68.99,-
2,臺北市,2016/07,古亭,2.5,0.4,-,26.2,27,14,19.99,4.92,15.07,1.966,0.138,1.829,2.03,1.65,30.04,-,-,70.24,-
3,臺北市,2016/07,中山,2.9,0.54,-,21,33,15,28.71,8.02,20.69,2.015,0.183,1.833,2.04,1.42,30.96,-,-,71.76,-
4,臺北市,2016/07,大同,3.9,1.42,-,-,48,16,61.37,35.68,25.69,2.433,0.434,2,-,-,-,-,-,-,-
5,臺北市,2016/07,萬華,2.6,0.46,-,22.4,30,16,22.83,5.23,17.6,-,-,-,1.86,1.45,31.28,-,-,69.82,-
6,臺北市,2016/07,陽明,2.2,0.13,413.71,31.6,15,12,4.32,0.86,3.42,-,-,-,-,-,23.59,2.6,4.84,86.6,15.25
7,臺北市,2016/07,士林,2.9,0.32,-,23.6,31,16,16.34,3.06,13.28,-,-,-,2.25,1.89,30.25,-,-,71.55,-
8,新北市,2016/07,板橋,3.9,0.47,-,22.9,33,13,24.23,6.18,18.05,2.063,0.238,1.825,2.04,1.55,30.8,6.19,4.98,67.94,21.6
9,新北市,2016/07,三重,3.5,1.29,-,-,46,16,81.94,50.94,31.01,2.386,0.479,1.906,-,-,31.11,-,-,65.46,-
10,新北市,2016/07,菜寮,2.8,0.43,-,22.2,32,13,20.61,4.42,16.2,-,-,-,2.36,1.89,31.22,-,-,67.95,-
11,新北市,2016/07,永和,2.5,0.7,-,22.7,26,12,26.54,9.3,17.24,2.095,0.245,1.851,1.88,1.56,30.33,-,-,64.22,-
12,新北市,2016/07,新莊,4.1,0.43,-,23.5,29,15,22.14,5.28,16.86,-,-,-,2.38,2.03,30.58,-,-,64.63,-
13,新北市,2016/07,新店,2.3,0.28,-,29.8,27,14,12.57,2.65,9.92,-,-,-,3.49,2.79,29.59,-,-,68.42,-
14,新北市,2016/07,淡水,2.7,0.28,-,20.8,30,16,13.54,2.86,10.68,-,-,-,-,-,-,-,-,-,-
